Transect,State,Address,Latitude,Longitude,Mouse_ID,Sex,Species,Year,Trap_date,Dissection_date,Head taken?,Ectoparasites,Body_weight,Body_length,Tail_length,Liver,Spleen,Testis,Left_epididymis,Seminal_vesicles,saliva glands,muscle pice,kidney and leg muscle,Worms_presence,Worms_count,Worms_collection,Worms_location,Worms_species,Syphacia,aspicularis,mastophorus (“ascaris”),tenia,trichuris,Liver,Spleen_tube,Fecal_sample,Small_int_content,Small_int_content,Cecum_content,Cecum_wall,Colon_content,Colon_wall,Mesentery,Embryo,Notes
,,,,,,nb male :,16,,,,0,,,,,,,,,,,,,1,,,,0,"NB: approximate counting (e.g. “aspi+syphacia 30” → “aspi 15, syphacia 15”)",,,,,,,,,,,,,,,,
,,,,,,nb female :,6,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0212,female (pregnant),mus musculus,2017,11.02.2017,14.02.2017,0,NA,14.49,80,65,NA,0.23,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X1,0 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O6,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0213,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,6.44,55,40,NA,0.76,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X2,1 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O7,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0214,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,14.4,70,25 (cut),NA,0.039,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X3,2 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O8,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0215,female,mus musculus,2017,11.02.2017,14.02.2017,0,NA,19.21,90,65,NA,0.069,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X4,3 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O9,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0216,female (pregnant),mus musculus,2017,11.02.2017,14.02.2017,0,NA,21.1,NA,NA,NA,0.98,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X5,4 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O10,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0217,NA,mus musculus,2017,11.02.2017,14.02.2017,0,NA,12.4,70,25,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X6,5 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O11,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0218,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,15.79,65,NA,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X7,6 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O12,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0219,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,17.874,80,65,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X8,7 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O13,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0220,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,17.28,70,55,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X9,8 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O14,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0221,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,16.8,85,55,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X10,9 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O15,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0222,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,16.28,75,55,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X11,10 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O16,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0223,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,7.301,65,40,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X12,11 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O17,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0224,NA,mus musculus,2017,11.02.2017,14.02.2017,0,NA,15.36,75,55,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X13,12 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O18,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0225,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,15.495,80,45,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X14,13 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O19,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,"Feldweg 5, Dorf mecklenburg",53.844626,11.481751,AA_0226,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,16.92,70,55,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X15,14 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O20,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0227,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,18.078,65,65,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X16,15 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O21,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0228,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,17.1,55,60,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X17,16 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O22,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0229,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,14.83,75,55,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X18,17 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O23,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0230,female,mus musculus,2017,11.02.2017,14.02.2017,0,NA,16.745,55,60,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X19,18 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O24,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0231,female,mus musculus,2017,11.02.2017,14.02.2017,0,NA,14.539,80,65,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X20,19 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O25,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0232,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,14.9,70,65,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X21,20 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O26,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0233,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,16.26,85,60,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X22,21 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O27,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0234,female,mus musculus,2017,11.02.2017,14.02.2017,0,NA,17.94,90,75,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X23,22 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O28,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0235,male,mus musculus,2017,11.02.2017,14.02.2017,0,NA,16.08,80,60,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,FALSE,NA,,NA,NA,,,,,,in alcohol X24,23 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O29,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
Meck-Pom,Germany,agrarbetrieb_steinhause,53.940819,11.606602,AA_0236,NA,mus musculus,2017,11.02.2017,14.02.2017,0,NA,15.985,55,50,NA,NA,NA,NA,NA,liq nitro,liq nitro,liq nitro,TRUE,NA,,NA,NA,,,,,,in alcohol X25,24 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O30,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,in alcohol X26,25 liq nitro (emanuel) + 1 alcohol (jaroslav),in K2Cr2O31,Dig_cont in liq nitro,NA,NA,NA,NA,NA,NA,,
