Transect,State,Locality,Code,ID,PIN,Sex,Year,Arrival,Wean,Death,Latitude,Longitude,Dist,Dissection_date,DaysInLab,BW,L,LCd,Spleen,Left_testis,Right_testis,Testes,Lepid,SemVes,Uterus,Ovaria,Grav,Litters,NN,MM,FF,Protocol,ASP,SYP,TM,Taenia taeniformis,Ectoparasites,Note
HZ_BR,Germany,Althüttendorf,AHDF7,SK,2930,M,2014,10/10/14,1M,Dissection,52.9625,13.8088888889,,10/10/14,0,16.3,78.7,74.8,0.0653,0.0535,0.0549,0.0542,0.0153,0.1532,,,,,,,,A,0,7,0,0,12,
HZ_BR,Germany,Althüttendorf,AHDF7,SK,2931,M,2014,10/10/14,1M,Dissection,52.9625,13.8088888889,,10/10/14,0,16.62,75.3,72.9,0.0695,0.0735,0.0795,0.0765,0.0214,0.1859,,,,,,,,A,21,9,0,0,11,
HZ_BR,Germany,Althüttendorf,AHDF7,SK,2934,M,2014,10/10/14,1M,Dissection,52.9625,13.8088888889,,10/10/14,0,12.53,71.4,73.7,0.0538,0.043,0.0459,0.0445,0.0104,0.0102,,,,,,,,A,3,14,0,0,6,
HZ_BR,Germany,Althüttendorf,AHDF7,SK,2900,F,2014,10/10/14,1F,Dissection,52.9625,13.8088888889,,10/10/14,0,11.84,70.4,62.3,,,,,,,,,B-,,,,,B,,,,0,3,
HZ_BR,Germany,Althüttendorf,AHDF7,SK,2933,F,2014,10/10/14,1F,Dissection,52.9625,13.8088888889,,10/10/14,0,14.47,75.6,73.8,0.0714,,,,,,,0.0107,B+,1,5,,,A,2,0,0,0,5,
HZ_BR,Germany,Beetz,BEETZ,SK,2836,M,2014,10/8/14,1M,Dissection,52.8136111111,13.0161111111,,10/9/14,1,17.73,80.8,84.6,0.0243,0.0825,0.0849,0.0837,0.0298,0.121,,,,,,,,A,0,0,0,0,0,
HZ_BR,Germany,Beetz,BEETZ,SK,2837,F,2014,10/8/14,1F,Dissection,52.8136111111,13.0161111111,,10/9/14,1,19.69,82.9,86.3,0.0354,,,,,,,0.0105,B-,,,,,A,0,0,0,0,0,
HZ_BR,Germany,Beetz,BEETZ,SK,2838,F,2014,10/8/14,1F,Dissection,52.8136111111,13.0161111111,,10/9/14,1,25.3,87.3,88.8,,,,,,,,0.016,B+,1,7,,,A,0,0,0,0,0,
HZ_BR,Germany,Böckenberg,BOECK,SK,2922,M,2014,10/9/14,1M,Dissection,53.1333333333,13.755,,10/10/14,1,18.14,82.8,63.8,0.0411,0.0499,0.048,0.049,0.0206,0.1154,,,,,,,,A,0,5,0,0,1,
HZ_BR,D,Brunn 3,BRUNN3,SK,2817,M,2014,10/6/14,1M,Dissection,52.9086111111,12.5269444444,,10/7/14,1,13.82,71,78.2,0.024,0.0634,0.0598,0.0616,0.0166,0.0419,,,,,,,,A,1,0,0,0,0,
