Mouse_ID,SYP,Aspiculuris,SyphaciaAspiculuris,Heterakis,Mastaphorus,Trichuris,HM,CP,Cysticercus,
AA_0145,0,0,0,0,0,0,0,0,0,
AA_0146,0,0,0,0,0,0,0,0,0,
AA_0147,0,0,0,0,0,0,0,0,0,
AA_0148,0,0,0,0,0,0,0,0,0,
AA_0149,10,0,0,0,0,0,0,0,0,
AA_0150,0,0,0,0,0,0,0,0,0,
AA_0151,0,0,0,0,0,0,0,0,0,
AA_0152,4,0,0,0,0,0,0,0,0,
AA_0153,0,0,0,0,0,0,0,0,0,
AA_0154,7,0,0,0,0,6,0,0,0,
AA_0155,0,0,0,0,0,0,0,0,0,
AA_0156,0,0,0,0,0,0,0,0,0,
AA_0157,4,0,0,0,0,0,0,0,0,
AA_0158,0,0,0,0,0,0,0,0,0,
AA_0159,0,0,0,0,0,0,0,0,0,
AA_0160,0,0,0,0,0,0,0,0,0,
AA_0161,3,0,0,0,0,0,0,0,0,
AA_0162,0,0,0,0,0,3,0,0,0,
AA_0163,0,0,0,0,0,0,0,0,0,
AA_0164,0,0,0,0,0,0,0,0,0,
AA_0165,0,0,0,0,0,0,0,0,0,
AA_0166,4,0,0,0,0,0,0,0,0,
AA_0167,28,0,0,0,0,0,0,0,0,
AA_0168,18,0,0,0,0,0,0,0,0,
AA_0169,4,0,0,0,0,0,0,0,0,
AA_0170,9,0,0,0,0,0,0,0,0,
AA_0171,2,0,0,0,0,0,1,0,0,
AA_0172,34,0,0,0,0,0,0,0,0,
AA_0173,0,0,66,0,0,0,1,0,0,
AA_0174,46,0,0,0,0,0,0,0,0,
AA_0175,5,0,0,0,0,0,0,0,0,
AA_0176,3,0,0,0,0,0,0,0,0,
AA_0177,0,0,0,0,0,0,0,0,0,
AA_0178,0,0,0,0,0,0,0,0,0,
AA_0179,0,0,0,0,0,0,0,0,0,
AA_0180,0,0,0,0,0,0,0,0,0,
AA_0181,5,0,0,0,0,0,0,0,0,
AA_0182,0,0,0,0,0,0,0,0,0,
AA_0183,0,41,0,0,0,0,0,0,0,
AA_0184,0,0,70,0,0,0,0,0,0,
AA_0185,0,0,13,0,0,0,0,0,0,
AA_0186,0,0,0,0,0,0,2,0,0,
AA_0187,0,0,0,0,0,0,1,0,0,
AA_0188,0,0,10,0,0,0,1,0,0,
AA_0189,38,0,0,0,0,0,0,0,0,
AA_0190,0,4,0,0,0,0,0,0,0,
AA_0191,0,0,0,0,3,0,1,0,0,
AA_0192,1,0,0,0,0,0,0,0,0,
AA_0193,26,0,0,0,0,0,0,0,0,
AA_0194,1,0,0,0,0,0,0,0,0,
AA_0195,0,0,28,0,0,0,0,0,0,
AA_0196,0,0,0,0,0,20,0,1,0,
AA_0197,0,0,37,0,0,0,0,0,0,
AA_0198,0,0,0,0,0,0,0,0,0,
AA_0199,0,65,0,0,0,0,0,1,0,
AA_0200,0,0,0,0,0,34,0,0,0,
AA_0201,0,0,0,0,0,31,0,0,0,
AA_0202,2,0,0,0,0,24,0,6,0,
AA_0203,8,0,0,0,0,0,0,0,0,
AA_0204,0,0,37,0,0,4,0,0,0,
AA_0205,0,0,0,0,0,0,0,0,0,
AA_0206,7,0,0,0,0,49,0,0,0,
AA_0207,0,76,0,0,0,0,1,0,0,
AA_0208,5,0,0,0,0,0,0,0,0,
AA_0209,0,0,0,0,0,0,0,0,0,
AA_0210,12,0,0,0,0,0,0,0,0,
AA_0211,0,0,114,0,0,0,0,0,0,
