# File Name: qPCR_eimeria_field_faeces_JK_09022022_3.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 01:40:28 PM UTC
# Run End Date/Time: 2022-02-09 02:58:31 PM UTC
# Run Duration: 78 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 02:04:05 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 02:04:27 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"24","B12","false","AA659","Eim","UNKNOWN","SYBR","None","Amp","1.4441669898079939","","","24.232942636120846","0.9007511513869186","24.58741727053611","0.38543504157034403","true","0.08142308673361928","true","3","21","75.40351867675781","","",""
"25","C1","false","AA718","Eim","UNKNOWN","SYBR","None","Amp","1.5177385903182492","","","27.052796524044183","0.9288067793683011","27.142080723938534","0.17509104631261233","true","0.08142308673361928","true","3","23","82.91301727294922","","",""
"26","C2","false","AA718","Eim","UNKNOWN","SYBR","None","Amp","1.5068397243327127","","","27.34381554566383","0.9146642608707766","27.142080723938534","0.17509104631261233","true","0.08142308673361928","true","3","23","82.76223754882812","","",""
"27","C3","false","AA718","Eim","UNKNOWN","SYBR","None","Amp","1.5171686644437348","","","27.029630102107596","0.9032544714073759","27.142080723938534","0.17509104631261233","true","0.08142308673361928","true","3","24","82.91301727294922","","",""
"28","C4","false","AA763","Eim","UNKNOWN","SYBR","None","Amp","1.4602262860138928","","","30.643621667612372","0.8956354666845474","30.71444164889989","0.13455766471457994","true","0.08142308673361928","true","3","26","80.80215454101562","84.4207763671875","",""
"29","C5","false","AA763","Eim","UNKNOWN","SYBR","None","Amp","1.4895511378833306","","","30.630084520429556","0.8917556665641095","30.71444164889989","0.13455766471457994","true","0.08142308673361928","true","3","27","80.65957641601562","84.5816879272461","",""
"30","C6","false","AA763","Eim","UNKNOWN","SYBR","None","Amp","1.4798071223040115","","","30.869618758657744","0.8708945627437478","30.71444164889989","0.13455766471457994","true","0.08142308673361928","true","3","27","80.81043243408203","","",""
"31","C7","false","AA710","Eim","UNKNOWN","SYBR","None","Amp","1.400316818339126","","","32.83733044050089","0.9033817191422054","33.06467312541702","0.3676971156780863","true","0.08142308673361928","true","3","28","75.98322296142578","83.82743835449219","",""
"32","C8","false","AA710","Eim","UNKNOWN","SYBR","None","Amp","1.401391853077213","","","33.48888858163237","0.9099122698931726","33.06467312541702","0.3676971156780863","true","0.08142308673361928","true","3","30","84.27998352050781","75.8323745727539","",""
"33","C9","false","AA710","Eim","UNKNOWN","SYBR","None","Amp","1.4094954088178657","","","32.867800354117804","0.9207170443708717","33.06467312541702","0.3676971156780863","true","0.08142308673361928","true","3","28","75.7056655883789","84.92109680175781","",""
