# File Name: qPCR_eimeria_field_faeces_JK_09022022_3.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 01:40:28 PM UTC
# Run End Date/Time: 2022-02-09 02:58:31 PM UTC
# Run Duration: 78 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 02:04:05 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 02:04:27 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","125520.34","39956.33","129397.3"
"2","A2","1","114919.375","35020.066","108540.98"
"3","A3","1","111288.03","35721.86","107324.555"
"4","A4","1","116692.85","34369.99","99990.79"
"5","A5","1","87904.24","28823.361","83422.29"
"6","A6","1","114431.61","35867.223","106079.055"
"7","A7","1","101841.945","33115.184","110804.33"
"8","A8","1","100649.95","32289.4","102934.57"
"9","A9","1","93441.766","32175.953","106187.766"
"10","A10","1","85567.125","28556.125","91161.46"
"11","A11","1","139019.58","40450.234","118735.51"
"12","A12","1","138106.84","39099.625","109170.5"
"13","B1","1","115953.04","39391.016","129407.69"
"14","B2","1","114846.24","35152.73","102192.47"
"15","B3","1","112009.625","32643.25","94740.77"
"16","B4","1","135315.17","41269.71","129010.49"
"17","B5","1","100476.43","28883.486","90080.75"
"18","B6","1","90083.44","26858.268","80926.016"
"19","B7","1","139697.16","37522.043","105505.93"
"20","B8","1","120002.91","31155.154","90542.83"
"21","B9","1","120749.82","31675.463","85989.984"
"22","B10","1","99225.734","32121.92","102880.51"
"23","B11","1","124140.375","34405.938","94185.79"
"24","B12","1","131337.28","38329.543","95385.0"
"25","C1","1","119177.61","40868.812","129178.61"
"26","C2","1","124639.81","37709.996","108864.21"
"27","C3","1","107875.79","32494.18","95238.445"
"28","C4","1","138855.67","40391.24","122348.83"
"29","C5","1","128497.19","34913.402","99389.49"
"30","C6","1","134434.56","34477.39","93769.445"
"31","C7","1","144211.95","42549.344","125310.96"
"32","C8","1","140903.36","39229.1","111733.71"
"33","C9","1","128147.29","35927.082","96111.8"
"34","C10","1","185740.48","52001.277","144893.69"
"35","C11","1","121914.9","32700.842","85944.75"
"36","C12","1","151587.61","42203.82","105374.18"
"37","D1","1","139074.8","43495.254","128586.25"
"38","D2","1","129394.97","38193.008","109974.305"
"39","D3","1","134917.9","38093.977","106307.42"
"40","D4","1","109173.57","38372.61","130872.7"
"41","D5","1","116214.21","35575.754","108835.4"
"42","D6","1","91255.88","27281.201","85059.51"
"43","D7","1","137016.9","38442.844","107877.19"
"44","D8","1","134282.2","34409.266","95508.87"
"45","D9","1","137587.95","33772.312","86513.85"
"46","D10","1","131805.66","35569.23","97227.89"
"47","D11","1","106543.2","28795.826","77433.625"
"48","D12","1","107280.83","30198.396","76924.93"
"49","E1","1","118768.164","39163.707","130106.66"
"50","E2","1","123433.02","36048.93","104569.875"
"51","E3","1","72554.24","22717.072","66095.08"
"52","E4","1","110202.99","35172.402","109191.375"
"53","E5","1","111150.54","31613.37","92236.766"
"54","E6","1","112736.13","29497.436","80615.55"
"55","E7","1","157145.19","42053.746","119064.97"
"56","E8","1","107494.53","27277.307","71214.586"
"57","E9","1","122448.0","32929.004","86992.695"
"58","E10","1","124724.59","37403.066","105547.27"
"59","E11","1","139737.17","39701.418","108388.22"
"60","E12","1","110392.1","31968.547","81289.28"
"61","F1","1","149621.81","42433.17","121427.39"
"62","F2","1","117204.125","31694.336","89480.75"
"63","F3","1","111948.0","30747.299","86929.76"
"64","F4","1","131897.66","36037.906","104426.77"
"65","F5","1","123860.2","33871.15","93197.56"
"66","F6","1","118948.16","29439.096","79493.73"
"67","F7","1","164787.81","41625.824","113570.97"
"68","F8","1","766460.44","37594.926","87073.57"
"69","F9","1","147633.69","33383.22","82724.695"
"70","F10","1","115160.11","32532.207","89112.914"
"71","F11","1","127640.73","32871.31","85595.75"
"72","F12","1","151595.47","40680.02","97048.125"
"73","G1","1","93502.14","38452.17","151942.64"
"74","G2","1","124031.086","39067.414","119698.99"
"75","G3","1","157436.33","39587.285","91887.016"
"76","G4","1","121654.984","37500.215","112546.2"
"77","G5","1","118899.79","34594.586","100808.71"
"78","G6","1","100675.99","28459.24","80208.99"
"79","G7","1","127614.586","37126.664","106760.63"
"80","G8","1","138926.22","38780.777","111278.484"
"81","G9","1","102467.85","27861.531","79588.375"
"82","G10","1","110259.43","32752.525","89332.91"
"83","G11","1","158068.77","44529.86","113245.45"
"84","G12","1","140461.73","37353.12","91615.766"
"85","H1","1","150469.28","47209.516","135463.67"
"86","H2","1","159013.14","45410.105","112412.79"
"87","H3","1","148851.31","40464.45","100090.84"
"88","H4","1","142245.95","46816.67","140558.05"
"89","H5","1","143829.25","42804.88","119449.06"
"90","H6","1","182562.98","49883.395","134975.23"
"91","H7","1","171776.4","45771.766","116724.91"
"92","H8","1","170576.28","45455.586","112706.266"
"93","H9","1","112536.125","30297.504","74057.984"
"94","H10","1","62394.99","24697.186","96794.07"
"95","H11","1","48475.54","25563.727","106801.38"
"96","H12","1","53771.1","21576.492","102417.42"
"1","A1","1","65597.92","28130.223","125423.6"
"2","A2","1","53802.195","24560.41","104493.87"
"3","A3","1","48021.938","25238.695","103049.08"
"4","A4","1","57666.82","25164.56","95764.734"
"5","A5","1","30580.422","20489.875","80181.71"
"6","A6","1","41307.484","24817.453","101181.05"
"7","A7","1","50500.965","26851.074","107351.36"
"8","A8","1","49100.29","25457.201","99225.2"
"9","A9","1","41758.633","24475.854","100208.71"
"10","A10","1","40058.24","21563.488","87926.164"
"11","A11","1","68111.805","27958.637","114362.82"
"12","A12","1","66514.46","26180.33","105364.61"
"13","B1","1","58478.254","28619.295","123374.09"
"14","B2","1","55480.895","24847.066","97876.47"
"15","B3","1","52045.223","23727.305","90720.92"
"16","B4","1","64828.023","31849.71","123644.93"
"17","B5","1","53746.125","22413.555","86685.76"
"18","B6","1","42671.86","20216.54","78086.414"
"19","B7","1","66822.61","28065.508","101466.87"
"20","B8","1","58684.785","22556.865","84854.5"
"21","B9","1","53684.29","22137.35","82598.35"
"22","B10","1","49599.297","25396.379","99001.664"
"23","B11","1","59325.164","23236.84","90411.11"
"24","B12","1","50978.96","23660.04","91470.13"
"25","C1","1","53052.8","29467.562","125135.18"
"26","C2","1","63762.23","27433.59","104928.1"
"27","C3","1","51044.527","23938.895","91233.055"
"28","C4","1","65867.97","31155.521","117339.875"
"29","C5","1","55744.49","25922.79","95060.66"
"30","C6","1","56113.207","24909.14","90707.586"
"31","C7","1","56788.312","31247.225","120336.86"
"32","C8","1","60798.266","28602.531","105593.04"
"33","C9","1","48169.133","25206.518","92355.76"
"34","C10","1","72016.41","36368.926","138267.92"
"35","C11","1","50134.36","21482.395","82519.53"
"36","C12","1","57552.953","26587.248","101809.89"
"37","D1","1","65949.33","31246.982","123626.56"
"38","D2","1","62536.164","27940.89","104964.32"
"39","D3","1","62002.746","27544.225","101332.35"
"40","D4","1","63266.41","32507.719","124058.92"
"41","D5","1","58216.555","28048.854","104134.52"
"42","D6","1","45674.63","21345.383","81401.49"
"43","D7","1","64432.484","29278.746","103369.38"
"44","D8","1","57489.94","24464.719","90295.9"
"45","D9","1","54182.02","23407.32","85551.42"
"46","D10","1","55454.62","25591.717","93978.4"
"47","D11","1","44584.805","19463.691","74275.65"
"48","D12","1","42659.055","19459.92","73471.055"
"49","E1","1","65108.906","30466.896","124933.87"
"50","E2","1","61089.18","26724.363","100537.984"
"51","E3","1","32204.564","16816.637","63615.2"
"52","E4","1","55494.207","27814.209","104570.38"
"53","E5","1","50379.527","24413.63","88466.94"
"54","E6","1","50034.094","21857.516","77471.6"
"55","E7","1","67809.664","31448.67","113622.74"
"56","E8","1","48483.21","19667.45","68507.37"
"57","E9","1","50859.992","23280.22","82702.04"
"58","E10","1","55254.816","28101.107","101485.86"
"59","E11","1","58110.01","27944.46","104029.31"
"60","E12","1","48223.65","21160.959","77695.2"
"61","F1","1","80139.64","30651.31","116690.76"
"62","F2","1","61215.977","23227.635","86482.77"
"63","F3","1","58008.58","22536.102","83809.45"
"64","F4","1","53890.258","26060.81","99326.97"
"65","F5","1","51284.26","24188.76","89975.4"
"66","F6","1","55236.934","21395.008","75979.41"
"67","F7","1","73804.87","30795.814","108384.875"
"68","F8","1","638477.8","27300.566","81672.09"
"69","F9","1","63544.918","22568.928","79044.234"
"70","F10","1","49596.64","23110.31","85546.35"
"71","F11","1","56824.918","22668.34","82109.96"
"72","F12","1","63650.37","25339.55","92558.29"
"73","G1","1","58779.758","33250.684","146144.94"
"74","G2","1","62992.566","30092.547","115109.79"
"75","G3","1","64566.438","25356.092","88488.33"
"76","G4","1","52735.883","28173.633","107510.24"
"77","G5","1","49414.67","25617.27","96704.7"
"78","G6","1","40001.133","20451.984","77037.74"
"79","G7","1","55576.184","27667.402","102379.56"
"80","G8","1","60926.074","28598.217","104614.98"
"81","G9","1","43744.38","19907.805","76185.39"
"82","G10","1","48515.707","23517.02","86136.78"
"83","G11","1","66326.82","28900.494","108033.516"
"84","G12","1","59064.72","23212.334","87825.695"
"85","H1","1","70795.555","33011.18","130473.12"
"86","H2","1","64258.184","29641.51","108427.555"
"87","H3","1","61281.508","26677.215","96682.56"
"88","H4","1","65684.36","35193.684","132665.44"
"89","H5","1","64017.875","31638.479","115219.836"
"90","H6","1","78961.35","35481.773","130184.43"
"91","H7","1","57004.637","30041.133","111572.016"
"92","H8","1","53083.848","28292.814","105778.766"
"93","H9","1","33767.867","18045.602","70736.43"
"94","H10","1","45224.008","22804.541","91524.11"
"95","H11","1","35124.93","23385.23","102427.15"
"96","H12","1","38501.637","19503.508","98657.74"
"1","A1","2","135585.38","41434.555","130633.586"
"2","A2","2","126670.92","36900.32","109445.55"
"3","A3","2","122744.336","37901.938","107495.06"
"4","A4","2","127919.125","35369.957","100380.51"
"5","A5","2","98731.664","30284.97","84295.59"
"6","A6","2","129760.74","37546.484","106175.94"
"7","A7","2","112257.81","35062.027","111936.38"
"8","A8","2","110744.28","33601.125","103346.984"
"9","A9","2","102613.36","34111.54","106013.6"
"10","A10","2","93982.34","29843.389","92154.38"
"11","A11","2","150622.98","41978.453","119460.39"
"12","A12","2","149213.28","42434.5","110105.055"
"13","B1","2","122651.49","39537.324","129207.19"
"14","B2","2","121167.5","35456.754","103006.72"
"15","B3","2","119224.68","33440.07","95220.336"
"16","B4","2","142762.38","42081.62","129274.195"
"17","B5","2","104322.09","29971.648","90456.94"
"18","B6","2","94431.62","27490.07","81464.71"
"19","B7","2","154056.27","39074.08","105969.945"
"20","B8","2","133220.48","33005.19","90129.625"
"21","B9","2","136781.3","33454.84","86531.88"
"22","B10","2","104571.99","33029.48","103411.5"
"23","B11","2","131864.22","34803.93","94651.99"
"24","B12","2","140498.53","39916.086","95487.59"
"25","C1","2","130623.875","41932.66","130010.016"
"26","C2","2","135913.08","38467.457","109262.555"
"27","C3","2","118551.66","33547.83","95221.94"
"28","C4","2","146230.78","41109.973","121533.086"
"29","C5","2","136178.3","35411.156","98935.734"
"30","C6","2","144717.05","35791.54","94461.99"
"31","C7","2","149322.86","43103.277","125514.234"
"32","C8","2","145983.61","39408.254","110813.57"
"33","C9","2","132259.9","36523.25","96596.59"
"34","C10","2","189161.67","52330.49","144280.48"
"35","C11","2","124514.695","32872.19","86595.28"
"36","C12","2","154435.02","42799.914","107064.625"
"37","D1","2","148387.81","44532.863","129606.984"
"38","D2","2","137729.67","38942.49","110055.4"
"39","D3","2","146201.52","38833.508","106731.3"
"40","D4","2","117466.16","39202.58","130826.15"
"41","D5","2","126331.13","36188.61","108203.24"
"42","D6","2","100182.99","28094.805","84732.67"
"43","D7","2","145586.9","38961.24","108459.1"
"44","D8","2","145801.97","35746.406","95254.97"
"45","D9","2","150356.9","35466.207","87503.86"
"46","D10","2","136698.52","36432.418","98084.22"
"47","D11","2","110197.32","29555.242","77961.375"
"48","D12","2","110185.375","31397.508","77482.1"
"49","E1","2","125130.24","39296.707","130535.22"
"50","E2","2","128864.35","36495.484","105323.32"
"51","E3","2","76660.49","22811.049","66352.07"
"52","E4","2","121299.41","35976.32","108751.26"
"53","E5","2","122621.94","32365.164","92309.45"
"54","E6","2","125983.27","30403.367","80505.01"
"55","E7","2","170458.36","43660.934","119115.64"
"56","E8","2","115194.35","27952.027","71175.28"
"57","E9","2","135211.31","33581.99","87190.06"
"58","E10","2","134302.61","38097.484","105881.13"
"59","E11","2","151529.17","41775.68","109477.734"
"60","E12","2","119997.08","33380.137","81530.92"
"61","F1","2","161626.03","44010.47","121240.16"
"62","F2","2","127575.61","32477.615","89685.17"
"63","F3","2","123322.04","31916.7","87755.92"
"64","F4","2","141920.42","37088.812","105235.93"
"65","F5","2","131806.89","34464.86","93929.04"
"66","F6","2","126273.625","30462.297","79975.04"
"67","F7","2","173772.58","42549.22","113406.77"
"68","F8","2","782518.75","37587.812","86569.64"
"69","F9","2","157819.94","34205.87","82854.305"
"70","F10","2","123068.375","33177.8","89642.89"
"71","F11","2","133795.89","33865.246","86646.086"
"72","F12","2","157238.08","40922.316","97258.87"
"73","G1","2","96277.875","38723.58","153335.12"
"74","G2","2","132636.56","40883.113","120979.305"
"75","G3","2","171787.12","40665.188","92977.836"
"76","G4","2","126392.4","38554.348","113209.75"
"77","G5","2","124222.875","35521.094","101471.87"
"78","G6","2","105628.914","28518.496","80768.98"
"79","G7","2","138872.81","38325.254","107367.08"
"80","G8","2","150573.61","40478.062","110359.13"
"81","G9","2","111587.375","28902.986","79335.99"
"82","G10","2","118707.01","33343.72","89565.64"
"83","G11","2","169638.33","45348.21","113481.32"
"84","G12","2","151766.06","39242.438","92747.664"
"85","H1","2","162117.16","49515.355","135990.12"
"86","H2","2","171491.61","47765.785","113358.805"
"87","H3","2","160573.27","42064.84","101431.22"
"88","H4","2","158119.97","48581.38","141292.62"
"89","H5","2","157922.19","44343.0","120142.914"
"90","H6","2","203258.89","52231.297","136148.1"
"91","H7","2","178021.33","46746.984","117558.13"
"92","H8","2","174523.3","45576.703","112054.02"
"93","H9","2","115648.71","30208.05","74404.81"
"94","H10","2","62967.11","24912.33","96573.18"
"95","H11","2","48374.184","25414.068","107262.65"
"96","H12","2","53922.38","21420.414","102741.9"
"1","A1","2","66967.75","28969.787","126610.05"
"2","A2","2","58193.797","24308.41","105734.04"
"3","A3","2","52498.68","26092.719","104010.94"
"4","A4","2","61353.574","26058.465","96733.73"
"5","A5","2","35151.24","21170.809","80412.484"
"6","A6","2","45084.637","26164.771","101180.3"
"7","A7","2","52404.438","26977.844","108411.586"
"8","A8","2","53773.965","25462.402","100383.86"
"9","A9","2","45803.41","24500.371","101121.09"
"10","A10","2","41050.875","21853.787","88737.29"
"11","A11","2","71056.38","29583.47","115321.98"
"12","A12","2","67290.37","27450.354","106377.016"
"13","B1","2","61156.91","29655.559","123921.61"
"14","B2","2","57994.63","25568.04","98569.28"
"15","B3","2","54839.477","24648.443","91272.63"
"16","B4","2","68084.74","32408.508","124178.59"
"17","B5","2","55945.4","23344.875","87096.11"
"18","B6","2","44086.652","20948.514","78577.86"
"19","B7","2","74095.69","28453.896","102390.02"
"20","B8","2","62184.61","22942.484","85244.58"
"21","B9","2","59697.8","23236.932","83166.7"
"22","B10","2","52335.277","25176.479","99138.914"
"23","B11","2","62199.918","23822.602","90643.414"
"24","B12","2","54912.38","24787.004","92512.234"
"25","C1","2","57177.387","30282.703","125762.42"
"26","C2","2","68230.07","28299.602","105632.35"
"27","C3","2","54773.867","24524.07","91301.32"
