# File Name: qPCR_eimeria_field_faeces_JK_07022022_3.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 03:13:22 PM UTC
# Run End Date/Time: 2022-02-07 04:31:26 PM UTC
# Run Duration: 78 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:41:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:41:11 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA527","Eim","3","-","0","22.451549941724807","0.2851296646591649","0.16461968864491658",
"AA547","Eim","3","-","0","31.128100170789306","0.6478319071972439","0.3740259260099575",
"AA579","Eim","3","-","0","19.227272471153057","0.5593480550262475","0.3229397501400976",
"AA598","Eim","3","-","0","32.09684375279593","0.6695408463845437","0.3865595878935662",
"AA600","Eim","3","-","0","31.992245574277074","1.055162090666975","0.6091981170852664",
"AA601","Eim","3","-","0","32.710202101208736","0.5336657278733976","0.3081120516449837",
"AA605","Eim","3","-","0","32.31168051319539","0.49548205812850565","0.28606669963912257",
"AA609","Eim","3","-","0","31.400678310569415","0.48034013784787144","0.27732450788905055",
"AA614","Eim","3","-","0","31.98295530282083","0.42500568522695475","0.2453771467729037",
"AA615","Eim","3","-","0","31.188271180334144","0.2670803044179391","0.15419888565094436",
"AA633","Eim","3","-","0","31.554304606266815","0.4924520364627426","0.28431731581474384",
"AA642","Eim","3","-","0","33.922713368515076","1.2044073116536582","0.6953648855971931",
"AA648","Eim","3","-","0","30.714841533778984","0.2273662408615694","0.1312699603660604",
"AA656","Eim","3","-","0","28.692828211239302","0.05201581279466763","0.03003134351911854",
"AA670","Eim","3","-","0","31.313514693641167","0.3848984669712916","0.2222212335165495",
"AA675","Eim","3","-","0","32.92691331451765","0.8384760214672996","0.4840943567031919",
"AA686","Eim","3","-","0","30.627349141146592","0.3143343028988931","0.18148099439420928",
"AA695","Eim","3","-","0","24.6396918490401","0.12420340708596578","0.07170887051535102",
"AA725","Eim","3","-","0","32.04896644476224","0.6636562696176368","0.3831621259131255",
"AA732","Eim","3","-","0","31.59295664921447","0.2884960386411103","0.1665632655695857",
"AA735","Eim","3","-","0","31.971342668798467","0.6137907308310029","0.35437224367137665",
"AA754","Eim","3","-","0","30.183923841780445","0.3172906355146365","0.18318783382572282",
"AA765","Eim","3","-","0","31.730980913012104","0.4062013490005139","0.23452045819063586",
"AA767","Eim","3","-","0","34.388651865414865","0.42152054217631707","0.24336499849445367",
"AA775","Eim","3","-","0","34.13712461489779","1.2181418636560857","0.7032945328929935",
"AA788","Eim","3","-","0","31.8481098492267","0.6416018930299467","0.37042902565341324",
"AA796","Eim","3","-","0","33.347752037156475","0.11664164996970006","0.06734308800872843",
"AA812","Eim","3","-","0","31.505577564018154","0.3584314915801423","0.20694051814983425",
"AA813","Eim","3","-","0","27.1663451774788","0.3315512935596703","0.1914212285868443",
"AA842","Eim","3","-","0","33.17582210563927","0.29729415686762123","0.17164286149602395",
"AA848","Eim","3","-","0","32.89413232548227","1.0247513375315007","0.591640460576241",
"NTC","Eim","3","-","0","33.290475272232854","","",
