# File Name: qPCR_eimeria_field_faeces_JK_07022022_3.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 03:13:22 PM UTC
# Run End Date/Time: 2022-02-07 04:31:26 PM UTC
# Run Duration: 78 minutes 3 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:41:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:41:11 PM UTC
"Sample","Target","EqCq Mean","Adjusted EqCq Mean","Delta EqCq Mean","Delta EqCq SD","Delta EqCq SE","Delta Delta EqCq","Rq","Rq Min","Rq Max","Omit"
"AA527","Eim","22.451549941724807","22.451549941724807","","","","","","","","false"
"AA547","Eim","31.128100170789306","31.128100170789306","","","","","","","","false"
"AA579","Eim","19.227272471153057","19.227272471153057","","","","","","","","false"
"AA598","Eim","32.09684375279592","32.09684375279592","","","","","","","","false"
"AA600","Eim","31.99224557427707","31.99224557427707","","","","","","","","false"
"AA601","Eim","32.710202101208736","32.710202101208736","","","","","","","","false"
"AA605","Eim","32.31168051319539","32.31168051319539","","","","","","","","false"
"AA609","Eim","31.400678310569415","31.400678310569415","","","","","","","","false"
"AA614","Eim","31.982955302820827","31.982955302820827","","","","","","","","false"
"AA615","Eim","31.188271180334144","31.188271180334144","","","","","","","","false"
"AA633","Eim","31.554304606266815","31.554304606266815","","","","","","","","false"
"AA642","Eim","33.922713368515076","33.922713368515076","","","","","","","","false"
"AA648","Eim","30.714841533778984","30.714841533778984","","","","","","","","false"
"AA656","Eim","28.692828211239302","28.692828211239302","","","","","","","","false"
"AA670","Eim","31.313514693641167","31.313514693641167","","","","","","","","false"
"AA675","Eim","32.92691331451765","32.92691331451765","","","","","","","","false"
"AA686","Eim","30.627349141146592","30.627349141146592","","","","","","","","false"
"AA695","Eim","24.6396918490401","24.6396918490401","","","","","","","","false"
"AA725","Eim","32.04896644476224","32.04896644476224","","","","","","","","false"
"AA732","Eim","31.592956649214475","31.592956649214475","","","","","","","","false"
"AA735","Eim","31.971342668798467","31.971342668798467","","","","","","","","false"
"AA754","Eim","30.183923841780445","30.183923841780445","","","","","","","","false"
"AA765","Eim","31.7309809130121","31.7309809130121","","","","","","","","false"
"AA767","Eim","34.388651865414865","34.388651865414865","","","","","","","","false"
"AA775","Eim","34.13712461489779","34.13712461489779","","","","","","","","false"
"AA788","Eim","31.848109849226695","31.848109849226695","","","","","","","","false"
"AA796","Eim","33.347752037156475","33.347752037156475","","","","","","","","false"
"AA812","Eim","31.505577564018154","31.505577564018154","","","","","","","","false"
"AA813","Eim","27.1663451774788","27.1663451774788","","","","","","","","false"
"AA842","Eim","33.17582210563927","33.17582210563927","","","","","","","","false"
"AA848","Eim","32.894132325482275","32.894132325482275","","","","","","","","false"
