"Mouse_ID","Code","Transect","Year"
"A_0001",NA,"HZ_BR",2016
"A_0002",NA,"HZ_BR",2016
"A_0003",NA,"HZ_BR",2016
"AA_0001",NA,"HZ_BR",2016
"AA_0002",NA,"HZ_BR",2016
"AA_0003",NA,"HZ_BR",2016
"AA_0004",NA,"HZ_BR",2016
"AA_0005",NA,"HZ_BR",2016
"AA_0006",NA,"HZ_BR",2016
"AA_0007",NA,"HZ_BR",2016
"AA_0008",NA,"HZ_BR",2016
"AA_0009",NA,"HZ_BR",2016
"AA_0010",NA,"HZ_BR",2016
"AA_0011",NA,"HZ_BR",2016
"AA_0012",NA,"HZ_BR",2016
"AA_0013",NA,"HZ_BR",2016
"AA_0014",NA,"HZ_BR",2016
"AA_0015",NA,"HZ_BR",2016
"AA_0016",NA,"HZ_BR",2016
"AA_0017",NA,"HZ_BR",2016
"AA_0018",NA,"HZ_BR",2016
"AA_0019",NA,"HZ_BR",2016
"AA_0020",NA,"HZ_BR",2016
"AA_0021",NA,"HZ_BR",2016
"AA_0022",NA,"HZ_BR",2016
"AA_0023",NA,"HZ_BR",2016
"AA_0024",NA,"HZ_BR",2016
"AA_0025",NA,"HZ_BR",2016
"AA_0026",NA,"HZ_BR",2016
"AA_0027",NA,"HZ_BR",2016
"AA_0028",NA,"HZ_BR",2016
"AA_0029",NA,"HZ_BR",2016
"AA_0030",NA,"HZ_BR",2016
"AA_0031",NA,"HZ_BR",2016
"AA_0032",NA,"HZ_BR",2016
"AA_0033",NA,"HZ_BR",2016
"AA_0034",NA,"HZ_BR",2016
"AA_0035",NA,"HZ_BR",2016
"AA_0036",NA,"HZ_BR",2016
"AA_0037",NA,"HZ_BR",2016
"AA_0038",NA,"HZ_BR",2016
"AA_0039",NA,"HZ_BR",2016
"AA_0040",NA,"HZ_BR",2016
"AA_0041",NA,"HZ_BR",2016
"AA_0042",NA,"HZ_BR",2016
"AA_0043",NA,"HZ_BR",2016
"AA_0044",NA,"HZ_BR",2016
"AA_0045",NA,"HZ_BR",2016
"AA_0046",NA,"HZ_BR",2016
"SK_2651",NA,"HZ_CZ",2014
"SK_2652",NA,"HZ_CZ",2014
"SK_2668","KOZL","HZ_CZ",2014
"SK_2669","KOZL","HZ_CZ",2014
"SK_2671",NA,"HZ_CZ",2014
"SK_2674","STR2","HZ_CZ",2014
"SK_2675","STR2","HZ_CZ",2014
"SK_2676",NA,"HZ_CZ",2014
