"","Code","Continent","State","Country","Locality","Latitude","Longitude"
"AHDF7","AHDF7","Europe","Germany","Brandenburg","Althüttendorf",52.9625,13.8088888888889
"BEETZ","BEETZ","Europe","Germany","Brandenburg","Beetz",52.8136111111111,13.0161111111111
"BEZ1","BEZ1","Europe","Czechia","Pilsen Region","Bezvěrov1",49.9944444444444,13.0538888888889
"BEZ2","BEZ2","Europe","Czechia","Pilsen Region","Bezvěrov2",49.9941666666667,13.0530555555556
"BLAZI","BLAZI","Europe","Czechia","Pilsen Region","Blažim 39",49.9169444444444,13.0488888888889
"BOECK","BOECK","Europe","Germany","Brandenburg","Böckenberg",53.1333333333333,13.755
"BRUNN3","BRUNN3","Europe","Germany","Brandenburg","Brunn",52.9086111111111,12.5269444444444
"BUS2","BUS2","Europe","Czechia","Ústí nad Labem Region","Buškovice2",50.2216666666667,13.3741666666667
"CHL1","CHL1","Europe","Czechia","Karlovy Vary Region","Chlum Svaté Máří1",50.1516666666667,12.5319444444444
"CHL161","CHL161","Europe","Czechia","Karlovy Vary Region","Chlum Svaté Máří 161",50.1513888888889,12.5308333333333
"CHOT1","CHOT1","Europe","Czechia","Karlovy Vary Region","Chotíkov 1",50.1191666666667,12.5058333333333
"DANE22.5","DANE22","Europe","Germany","Brandenburg","Danewitz",52.7338888888889,13.6663888888889
"DODV","DODV","Europe","Czechia","Karlovy Vary Region","Dolní Dvory",50.0833333333333,12.4205555555556
"FLIE28","FLIE28","Europe","Germany","Brandenburg","Flieth",53.1611111111111,13.8152777777778
"FRFE11","FRFE11","Europe","Germany","Brandenburg","Friedrichsfelde 11",53.0941666666667,13.8433333333333
"HAMM","HAMM","Europe","Germany","Brandenburg","Hammer",52.88,13.4391666666667
"HOHBG1","HOHBG1","Europe","Germany","Bavaria","Hohenberg 1",50.1019444444444,12.2127777777778
"HOWZ30.9","HOWZ30","Europe","Germany","Brandenburg","Hohenwutzen 30",52.8366666666667,14.1188888888889
"HUR3","HUR3","Europe","Czechia","Karlovy Vary Region","Hůrka3",50.1197222222222,12.2502777777778
"JIND31","JIND31","Europe","Czechia","Karlovy Vary Region","Jindřichov 31",50.1058333333333,12.3975
"JIND5","JIND5","Europe","Czechia","Karlovy Vary Region","Jindřichov 5",50.1066666666667,12.3988888888889
"JOACH","JOACH","Europe","Germany","Brandenburg","Joachimstahl",52.9788888888889,13.7327777777778
"JOSE","JOSE","Europe","Czechia","Karlovy Vary Region","Josefov 20",50.2113888888889,12.5797222222222
"KAC2","KAC2","Europe","Czechia","Karlovy Vary Region","Kaceřov2",50.1488888888889,12.5066666666667
"KOZL","KOZL","Europe","Czechia","Karlovy Vary Region","Kozlov",50.1083333333333,13.0325
"KRASIK","KRASIK","Europe","Czechia","Pilsen Region","Krasíkov",49.8811111111111,12.935
"KRIZ1","KRIZ1","Europe","Czechia","Karlovy Vary Region","Křižovatka1",50.1975,12.3894444444444
"KRIZ60","KRIZ60","Europe","Czechia","Karlovy Vary Region","Křižovatka 60",50.1938888888889,12.3933333333333
"KRIZS","KRIZS","Europe","Czechia","Karlovy Vary Region","Křižovatka silo",50.1938888888889,12.395
"KUBL1","KUBL1","Europe","Germany","Bavaria","Kübelhof1",50.195,11.4411111111111
"KVET3","KVET3","Europe","Czechia","Karlovy Vary Region","Květná 13",50.2038888888889,12.5186111111111
"LIEB38.11","LIEB38","Europe","Germany","Brandenburg","Liebenthal",52.9155555555556,13.4636111111111
"LIET21","LIET21","Europe","Germany","Brandenburg","Lietzow",52.6169444444444,12.8358333333333
"LOUZ","LOUZ","Europe","Germany","Karlovy Vary Region","Loužek",50.1058333333333,12.4547222222222
"LUEB21","LUEB21","Europe","Germany","Berlin","Lübars",52.6211111111111,13.3577777777778
"MAIE9","MAIE9","Europe","Germany","Bavaria","Maiersreuth 9",49.9886111111111,12.4091666666667
"MIL64","MIL64","Europe","Czechia","Karlovy Vary Region","Milhostov 64",50.1588888888889,12.4583333333333
"MUNR","MUNR","Europe","Germany","Bavaria","Münchenreuth 31",50.0347222222222,12.2830555555556
"NEB64","NEB64","Europe","Czechia","Karlovy Vary Region","Nebanice 64, Vrbová",50.1152777777778,12.4558333333333
"NEBFP","NEBFP","Europe","Czechia","Karlovy Vary Region","Nebanice 10 Farm Pub",50.1147222222222,12.4702777777778
"NEPO1","NEPO1","Europe","Czechia","Ústí nad Labem Region","Nepomyšl 172",50.2161111111111,13.3066666666667
"NETEM7","NETEM7","Europe","Germany","Brandenburg","Neu-Temmen",53.0866666666667,13.7755555555556
