"Code","Mouse_ID","Year","HI","HI_NLoci","Longitude","Latitude"
"BOCK31","AA_0179","2016",0.9,14,13.7542,53.1314
"BOCK31","AA_0178","2016",0.84,13,13.7542,53.1314
"BOCK34","SK_2922","2014",0.85,14,13.755,53.1333
"BRIES","SK_2904","2013",1,1,14.2492,52.3108
"BRIES","SK_2903","2013",0,1,14.2492,52.3108
"BRITZ2","SK_3185","2015",0.75,14,13.8119,52.8875
"BRITZ2","SK_3183","2015",0.7,14,13.8119,52.8875
"BRUNN3","SK_2819","2014",0,13,12.5269444444444,52.9086111111111
"BRUNN3","SK_2818","2014",0.05,14,12.5269444444444,52.9086111111111
"BRUNN3","SK_2890","2014",0,13,12.5269444444444,52.9086111111111
"BRUNN3","SK_2817","2014",0,14,12.5269444444444,52.9086111111111
"BUCHH","SK_3212","2015",0,14,13.7881,52.5844
"CROU17","SK_3092","2015",0.76,13,14.1169,52.7914
"CROU17","SK_3356","2015",0.84,13,14.1169,52.7914
"DANE22","SK_2893","2014",0,13,13.6663888888889,52.7338888888889
"DANE22","SK_3126","2015",0,14,13.6663888888889,52.7338888888889
"DANE22","SK_3125","2015",0,13,13.6663888888889,52.7338888888889
"DANE22","SK_2831","2014",0,14,13.6663888888889,52.7338888888889
"DANE22","SK_3369","2015",0.04,13,13.6663888888889,52.7338888888889
"DANE22","SK_2830","2014",0.05,14,13.6663888888889,52.7338888888889
"DANE22","SK_2848","2014",0.05,14,13.6663888888889,52.7338888888889
"DANE22","SK_2847","2014",0.1,14,13.6663888888889,52.7338888888889
"DANE22","SK_3122","2015",0.0526315789,13,13.6663888888889,52.7338888888889
"DANE22","SK_3132","2015",0,13,13.6663888888889,52.7338888888889
"DANE22","SK_3128","2015",0,13,13.6663888888889,52.7338888888889
"DANE22","SK_3375","2015",0.08,13,13.6663888888889,52.7338888888889
"DANE22","SK_2844","2014",0.05,14,13.6663888888889,52.7338888888889
"DANE22","SK_3170","2015",0.08,13,13.6663888888889,52.7338888888889
"DANE22","SK_2829","2014",0.04,13,13.6663888888889,52.7338888888889
"DANE22","SK_2892","2014",0.08,13,13.6663888888889,52.7338888888889
"DANE22","SK_3124","2015",0.04,13,13.6663888888889,52.7338888888889
"DANE22","SK_2827","2014",0.15,14,13.6663888888889,52.7338888888889
"DANE22","SK_3373","2015",0.12,13,13.6663888888889,52.7338888888889
"DANE22","SK_3123","2015",0,14,13.6663888888889,52.7338888888889
"DANE22","SK_3169","2015",0,13,13.6663888888889,52.7338888888889
"DANE22","SK_3133","2015",0,14,13.6663888888889,52.7338888888889
"DANE22","SK_3130","2015",0.05,14,13.6663888888889,52.7338888888889
"DANE22","SK_3127","2015",0,14,13.6663888888889,52.7338888888889
"DANE22","SK_3168","2015",0,13,13.6663888888889,52.7338888888889
"DANE22","SK_3129","2015",0.04,13,13.6663888888889,52.7338888888889
"DANE22","SK_3131","2015",0.05,14,13.6663888888889,52.7338888888889
"DENS12","SK_3173","2015",0.5,10,13.3775,53.145
"DOBB1","AA_0191","2016",0.8461538462,7,14.0358,53.02
"DOBB1","AA_0173","2016",0.9,14,14.0358,53.02
"DOBB8","SK_3181","2015",0.85,14,14.0356,53.0203
"DOBB8","AA_0189","2016",0.8,14,14.0356,53.0203
"DOBB8","AA_0186","2016",0.75,12,14.0356,53.0203
"DOBB8","AA_0188","2016",0.72,13,14.0356,53.0203
"DOBB8","AA_0185","2016",0.85,14,14.0356,53.0203
"DOBB8","AA_0187","2016",0.85,14,14.0356,53.0203
"DUBEN","AA_0150","2016",0.25,14,13.8097,51.8978
"DUBEN","AA_0151","2016",0.12,13,13.8097,51.8978
"DUBEN","AA_0154","2016",0.25,14,13.8097,51.8978
"DUBEN","AA_0155","2016",0.16,13,13.8097,51.8978
"DUBEN","AA_0148","2016",0.05,14,13.8097,51.8978
"DUBEN","AA_0158","2016",0.2,13,13.8097,51.8978
"DUBEN","AA_0156","2016",0.12,13,13.8097,51.8978
"DUBEN","AA_0153","2016",0.16,13,13.8097,51.8978
"DUBEN","AA_0160","2016",0.16,13,13.8097,51.8978
"DUBEN","AA_0157","2016",0.1578947368,13,13.8097,51.8978
"DUBEN","AA_0159","2016",0.12,13,13.8097,51.8978
"DUBEN","AA_0152","2016",0.1052631579,13,13.8097,51.8978
"DUBEN","AA_0146","2016",0.2,14,13.8097,51.8978
"ERKNKI","SK_3187","2015",0.15,14,13.7581,52.3989
"FALK8C","AA_0056","2016",0.08,13,13.3064,52.91
"FALK8C","AA_0055","2016",0,14,13.3064,52.91
"FALK8C","AA_0057","2016",0,13,13.3064,52.91
"FLIE28","SK_2909","2014",0.92,13,13.8152777777778,53.1611111111111
"FLIE28","SK_2910","2014",0.92,13,13.8152777777778,53.1611111111111
"FRANK6","AA_0145","2016",0.92,13,14.0589,52.6703
"FREII","AA_0149","2016",0.24,13,13.7875,51.8853
"FREII","AA_0147","2016",0.1739130435,12,13.7875,51.8853
"FRFE11","SK_2840","2014",0.85,14,13.8433333333333,53.0941666666667
"FRFE11","SK_2843","2014",0.9,14,13.8433333333333,53.0941666666667
"FRFE11","SK_2839","2014",0.8333333333,13,13.8433333333333,53.0941666666667
"FRFE11","SK_2842","2014",0.88,13,13.8433333333333,53.0941666666667
"FRFE11","SK_2841","2014",0.88,13,13.8433333333333,53.0941666666667
"GIEL68","SK_3121","2015",0.8,14,13.8756,52.6053
"GIEL68","SK_3111","2015",0.9,14,13.8756,52.6053
"GIEL68","SK_3112","2015",0.88,13,13.8756,52.6053
"GIEL68","SK_3118","2015",0.92,13,13.8756,52.6053
"GIEL68","SK_3164","2015",0.8,14,13.8756,52.6053
"GIEL68","SK_3116","2015",0.84,13,13.8756,52.6053
"GIEL68","SK_3365","2015",0.9,14,13.8756,52.6053
"GIEL68","SK_3167","2015",0.9,14,13.8756,52.6053
"GIEL68","SK_3117","2015",0.92,13,13.8756,52.6053
"GIEL68","SK_3360","2015",0.95,14,13.8756,52.6053
"GIEL68","SK_3363","2015",0.9,14,13.8756,52.6053
"GIEL68","SK_3110","2015",0.9,14,13.8756,52.6053
"GIEL68","SK_3359","2015",0.75,14,13.8756,52.6053
"GIEL68","SK_3114","2015",0.85,14,13.8756,52.6053
"GIEL68","SK_3362","2015",0.92,13,13.8756,52.6053
"GIEL68","SK_3166","2015",0.8260869565,12,13.8756,52.6053
"GIEL68","SK_3165","2015",0.88,13,13.8756,52.6053
"GIEL68","SK_3119","2015",0.7391304348,12,13.8756,52.6053
"GIEL68","SK_3372","2015",0.88,13,13.8756,52.6053
"GIEL68","SK_3374","2015",0.8,8,13.8756,52.6053
"GIEL68","SK_3163","2015",0.95,14,13.8756,52.6053
"GIEL68","SK_3115","2015",0.8888888889,13,13.8756,52.6053
"GIEL68","SK_3113","2015",0.8,13,13.8756,52.6053
"GOTTES","SK_3176","2015",0.84,13,14.1833,52.6378
"GOTTES","SK_3376","2015",0.75,14,14.1833,52.6378
"GOTTES","SK_3177","2015",0.88,13,14.1833,52.6378
"GRAB7","AA_0090","2016",0,8,13.7072,52.2422
"GRAB7","AA_0076","2016",0.05,14,13.7072,52.2422
"GRAFD","AA_0102","2016",0,14,13.1953,51.9097
"GROSZIE","AA_0112","2016",0.8947368421,13,13.895,52.9581
"GROSZIE","AA_0111","2016",0.8695652174,12,13.895,52.9581
"GROSZIE","AA_0114","2016",0.7826086957,12,13.895,52.9581
"GROSZIE","AA_0121","2016",0.8888888889,9,13.895,52.9581
"GROSZIE","AA_0120","2016",0.8695652174,12,13.895,52.9581
"GRUN17","AA_0099","2016",0.2941176471,11,13.0819,52.0311
"HAMMEL","SK_3141","2015",0.8,13,13.4286,53.0689
"HAMMEL","SK_3162","2015",0.88,13,13.4286,53.0689
"HAMMEL","SK_3142","2015",0.85,14,13.4286,53.0689
"HAMMEL","SK_3371","2015",0.8,13,13.4286,53.0689
"HAMMEL","SK_3145","2015",0.8571428571,11,13.4286,53.0689
"HAMMEL","SK_3366","2015",0.8695652174,12,13.4286,53.0689
"HAMMEL","SK_3144","2015",0.76,13,13.4286,53.0689
"HAMMER1","SK_2835","2014",0.2,14,13.4392,52.88
"HAMMER18","SK_3099","2015",0.04,13,13.4411,52.8758
"HAMMER8","SK_3097","2015",0,13,13.4383,52.8803
"HIND31","AA_0169","2016",0.2307692308,7,13.8469,51.8536
"HIND31","AA_0167","2016",0.52,13,13.8469,51.8536
"HIND31","AA_0168","2016",0.52,13,13.8469,51.8536
"HIND31","AA_0164","2016",0.6,14,13.8469,51.8536
"HIND31","AA_0190","2016",0.56,13,13.8469,51.8536
"HIND31","AA_0165","2016",0.4,13,13.8469,51.8536
"HIND31","AA_0171","2016",0.7,14,13.8469,51.8536
"HIND31","AA_0166","2016",0.5333333333,9,13.8469,51.8536
"HIND31","AA_0170","2016",0.72,13,13.8469,51.8536
"HIND31","AA_0172","2016",0.56,13,13.8469,51.8536
"HIND31","AA_0176","2016",0.6,13,13.8469,51.8536
"HIND31","AA_0174","2016",0.6,13,13.8469,51.8536
"HIND31","AA_0175","2016",0.3043478261,12,13.8469,51.8536
"HOHST1","SK_3159","2015",0.9,14,13.9858,52.5689
"HOHW3","AA_0059","2016",0.85,14,14.1158,52.8431
"HOHW3","AA_0060","2016",0.84,13,14.1158,52.8431
"HOHW3","AA_0058","2016",0.9166666667,12,14.1158,52.8431
"HOHW30","SK_2898","2014",0.8,13,14.1189,52.8367
"HOHW30","SK_2897","2014",0.6956521739,12,14.1189,52.8367
"HOPPE1","AA_0050","2016",0.7,14,13.6761,52.4978
"HOPPE1","AA_0047","2016",0.65,14,13.6761,52.4978
"HOPPE1","AA_0048","2016",0.72,13,13.6761,52.4978
"HOPPE1","AA_0049","2016",0.85,14,13.6761,52.4978
"HOPPE1","SK_3153-5","2015",0,8,13.6761,52.4978
"HOPPE1","AA_0085","2016",0.8,13,13.6761,52.4978
"HOPPE1","AA_0086","2016",0.1176470588,11,13.6761,52.4978
"HOPPE1","SK_3153-4","2015",0,7,13.6761,52.4978
"HOPPE1","AA_0084","2016",0.5,10,13.6761,52.4978
"HOPPE1","SK_3153-1","2015",0,7,13.6761,52.4978
"HOPPE1","SK_3153-2","2015",0,7,13.6761,52.4978
"HOPPE1","AA_0110","2016",0.5789473684,13,13.6761,52.4978
"HOPPE1","SK_3153","2015",0.08,13,13.6761,52.4978
"HOPPE1","AA_0087","2016",0.7826086957,12,13.6761,52.4978
"HOPPE1","AA_0083","2016",0.9130434783,12,13.6761,52.4978
"HOPPE1","SK_3153-3","2015",0,7,13.6761,52.4978
"JOACH10","SK_3093","2015",0.8,14,13.7414,52.9753
"JOACH10","SK_3094","2015",0.76,13,13.7414,52.9753
"JOACH11","SK_2912","2014",0.84,13,13.7328,52.9789
"JOACH8","AA_0116","2016",0.8823529412,12,13.7336,52.9783
"JOACH8","AA_0109","2016",0.9473684211,13,13.7336,52.9783
"JOACH8","AA_0119","2016",0.8695652174,12,13.7336,52.9783
"JOACH8","AA_0108","2016",0.8421052632,13,13.7336,52.9783
"JOACH8","AA_0117","2016",0.92,13,13.7336,52.9783
"JOACH8","AA_0122","2016",1,12,13.7336,52.9783
"JOACH8","AA_0104","2016",0.9473684211,13,13.7336,52.9783
"JOACH8","AA_0106","2016",0.8947368421,13,13.7336,52.9783
"JOACH8","AA_0115","2016",0.9473684211,13,13.7336,52.9783
"JOACH8","AA_0103","2016",0.9130434783,12,13.7336,52.9783
"JOACH8","AA_0105","2016",0.8695652174,12,13.7336,52.9783
"JOACH8","AA_0107","2016",0.88,13,13.7336,52.9783
"JOACH8","AA_0118","2016",0.9130434783,12,13.7336,52.9783
