Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,Nematoda,Insgesamt,potassium.dichromat,comment
AA_0307,0.56,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0308,0.52,,1ml,,1,1,0,1,0,0,2,1,,NA,NA,
AA_0309,0.06,,1ml,,0,0,1,0,0,0,0,1,,NA,NA,
AA_0310,0.07,,1ml,,0,0,0,0,1,0,0,0,,NA,NA,
AA_0311,0.29,,1ml,,0,1,0,1,0,0,0,0,,NA,NA,
AA_0312,0.45,,1ml,,4,0,3,8,3,3,0,3,positive,NA,NA,
AA_0313,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0314,0.12,,1ml,,0,1,2,2,3,2,1,3,,NA,NA,
AA_0315,0.79,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0316,0.31,,1ml,,5,1,2,2,4,0,0,1,,NA,NA,
AA_0317,0.49,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0318,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0319,0.84,,1ml,,1,7,2,6,4,2,5,4,positive,NA,NA,
AA_0320,0.74,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0321,0.41,,1ml,,1,0,1,0,1,1,3,0,,NA,NA,
AA_0322,0.6,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0323,0.75,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0324,0.33,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0325,0.29,,1ml,,0,0,1,0,0,2,0,0,,NA,NA,
AA_0326,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0327,0.12,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0328,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0329,0.61,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0330,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0331,0.12,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0332,0.4,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0333,0.46,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0334,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0335,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0336,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0337,0.6,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0338,0.75,,1ml,,1,0,0,1,1,1,0,0,,NA,NA,
AA_0339,0.21,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0340,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0341,0.54,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0342,0.1,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0343,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0344,0.38,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0345,0.09,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0346,0.73,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0347,0.04,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0348,0.04,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0349,0.49,2 mice same cage ^!! ,1ml,,1,3,0,0,0,0,1,1,,NA,NA,
AA_0350,0.45,,1ml,,0,0,0,0,1,1,0,0,,NA,NA,
AA_0351,0.14,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0352,1.24,,1ml,,0,0,0,0,0,1,0,0,positive,NA,NA,
AA_0353,0.58,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0354,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0355,0.41,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0356,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0357,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0358,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0359,0.44,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0360,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0361,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0362,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0363,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0364,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0365,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0366,0.33,,1ml,,16,27,21,22,50,37,24,26,,NA,NA,
AA_0367,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0368,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0369,0.75,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0370,0.73,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0371,0.29,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0372,0.03,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0373,0.77,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0374,0.22,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0375,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0376,0.65,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0377,0.36,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0378,0.28,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0379,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0380,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0381,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0382,0.92,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0383,0.56,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0384,0.33,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0385,0.29,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0386,0.32,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0387,0.78,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0388,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0389,0.25,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0390,0.86,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0391,0.92,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0392,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0393,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0394,0.6,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0395,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0396,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0397,0.02,,1ml,,6,7,7,3,2,3,3,2,positive,NA,NA,
AA_0398,0.18,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0399,0.28,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0400,0.3,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0401,0.27,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0402,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0403,0.67,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0404,0.63,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0405,0.54,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0406,0.31,,1ml,positive*,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0407,0.35,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0408,0.39,,1ml,,1,1,2,2,3,2,1,2,,NA,NA,
AA_0409,0.74,,1ml,,2,4,5,3,4,3,6,1,,NA,NA,
AA_0410,0.18,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0411,0.88,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0412,0.58,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0413,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0414,1.06,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0415,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0416,NA,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0417,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0418,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0419,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0420,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0421,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0422,0.29,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0423,0.27,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0424,1.11,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0425,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0426,0.35,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0427,0.62,,1ml,,1,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0428,1.19,,1ml,,0,1,2,5,0,3,0,3,positive,NA,NA,rotten
AA_0429,0.81,,1ml,,1,1,0,0,0,0,0,3,,NA,NA,rotten
AA_0430,0.64,,1ml,,41,32,22,19,38,29,35,29,,NA,NA,rotten
AA_0431,0.68,,1ml,,0,0,3,2,0,0,4,3,,NA,NA,rotten
AA_0432,0.48,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0433,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0434,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0435,0.69,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0436,0.64,,1ml,,1,0,0,0,2,1,0,0,,NA,NA,
AA_0437,0.1,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0438,0.32,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0439,0.49,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,rotten
AA_0440,0.81,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,rotten
AA_0441,0.11,,1ml,positive*,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0442,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0443,0.26,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0444,0.68,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0445,0.56,,1ml,,8,7,13,14,17,10,15,12,,NA,NA,
AA_0446,0.23,,1ml,,45,30,34,27,30,34,30,33,,NA,NA,
AA_0447,0.2,,1ml,,9,9,8,7,11,11,4,5,,NA,NA,
AA_0448,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0449,0.05,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0450,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0451,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0452,0.23,,1ml,,1,0,2,0,3,5,2,2,,NA,NA,
AA_0453,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0454,0.26, but in the same cage as AA_0463!!!!,1ml,,8,13,10,10,11,23,19,11,,NA,NA,
AA_0455,0.54,,1ml,,0,3,0,2,3,2,2,0,,NA,NA,
AA_0456,0.49,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0457,0.59,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0458,0.58,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0459,0.53,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0460,0.76,,1ml,missing,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0461,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0462,0.17,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0463,0.01,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0464,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0465,0.38,,1ml,,0,1,1,0,2,0,0,3,,NA,NA,rotten
AA_0466,0.53,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0467,0.5,,1ml,,1,0,0,0,0,0,1,0,,NA,NA,
AA_0468,0.22,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0469,0.44,,1ml,,25,30,19,20,17,16,16,16,,NA,NA,
AA_0470,0.32,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0471,0.39,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0472,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0473,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0474,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0475,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0476,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0477,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0478,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0479,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0480,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0481,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0482,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0483,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0484,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0485,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0486,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0487,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0488,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0489,0.79,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0490,0.83,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0491,0.86,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0492,0,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0493,0,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0494,0,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0495,0.18,,1ml,,2,3,1,6,2,2,6,0,,NA,NA,
AA_0496,0.73,,1ml,,2,2,4,1,1,2,1,1,,NA,NA,rotten
AA_0497,0.65,,1ml,,8,20,13,19,9,11,19,10,,NA,NA,
AA_0498,0.52,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0499,0.47,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0500,0.74,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0501,0.7,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0502,0.23,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0503,1.12,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0504,0.3,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0505,0.39,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0506,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0507,0,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0508,0,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0509,0.16,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0510,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0511,0.51,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0512,0.64,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0513,0.85, BUT same cage as 514 and 515,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0514,NA,With 513 and 515,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0515,NA,With 513 and 514,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
