Mouse_ID,Feces_g,Comments,PBS_dil,Status,N_oocysts_sq1,X,X.1,X.2,N_oocysts_sq2,X.3,X.4,X.5,Nematoda,Insgesamt,potassium.dichromat,comment
AA_0237,0.34,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0238,0.11,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0239,0.36,,1ml,postive* ,0,0,0,0,0,0,0,0,,NA,NA,*=but Oocyst outside frame
AA_0240,0.71,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0241,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0242,0.9,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0243,0.54,,1ml,,1,1,1,4,1,1,1,1,,NA,NA,
AA_0244,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0245,0.34,,1ml,,3,5,7,5,6,5,3,8,,NA,NA,
AA_0246,0.11,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0247,1.2,,1ml,,1,1,2,1,2,4,4,4,,NA,NA,
AA_0248,0.41,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0249,0.82,,1ml,,2,4,4,8,8,6,8,2,,NA,NA,
AA_0250,0.34,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0251,1.02,,1ml,,1,0,1,0,2,0,0,1,,NA,NA,
AA_0252,0.9,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0253,0.12,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0254,0.54,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0255,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0256,0.28,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,
AA_0257,0.85,,1ml,2,2,4,6,3,4,3,3,3,,NA,NA,
AA_0258,0.3,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0259,0.28,,1ml,0,0,2,0,0,0,0,1,1,,NA,NA,
AA_0260,0.34,,1ml,0,0,0,0,0,0,1,1,1,,NA,NA,
AA_0261,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0262,0.2,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0263,0.27,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0264,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0265,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0266,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0267,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0268,0.75,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0269,0.09,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0270,1.12,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0271,0.28,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0272,0.14,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0273,0.31,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0274,0.28,,1ml,,0,0,0,0,0,1,0,0,,NA,NA,
AA_0275,0.13,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0276,0.21,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0277,0.22,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0278,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0279,0.35,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0280,0.07,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0281,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0282,0.21,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0283,0.19,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0284,0.05,,1ml,positive*,0,0,0,0,0,0,0,0,,NA,NA,very low
AA_0285,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0286,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0287,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0288,0.26,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0289,0.08,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0290,0.18,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0291,0.34,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0292,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0293,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0294,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0295,0.06,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0296,0.91,,1ml,,3,3,5,2,4,6,3,5,,NA,NA,
AA_0297,0.39,,1ml,negativ,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0298,0.13,,1ml,,6,7,8,8,3,1,4,6,,NA,NA,
AA_0299,0.45,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0300,0.24,,1ml,Nematod,0,0,0,0,0,0,0,0,positive,NA,NA,
AA_0301,0.6,,1ml,check again,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0302,0.43,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0303,0.04,,1ml,,0,0,0,0,0,1,1,0,,NA,NA,
AA_0304,0.69,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
AA_0305,NA,,1ml,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,
AA_0306,0.46,,1ml,negativ,0,0,0,0,0,0,0,0,,NA,NA,
