"Mouse_ID","OPG","Year"
"SK_3196",NA,2015
"SK_3187",NA,2015
"SK_3178",NA,2015
"SK_3197",NA,2015
"SK_3188",NA,2015
"SK_3179",NA,2015
"SK_3207",NA,2015
"SK_3198",NA,2015
"SK_3189",NA,2015
"SK_3180",NA,2015
"SK_3171",NA,2015
"SK_3208",NA,2015
"SK_3139",NA,2015
"SK_3190",NA,2015
"SK_3181",NA,2015
"SK_3172",NA,2015
"SK_3209",NA,2015
"SK_3191",NA,2015
"SK_3182",NA,2015
"SK_3173",NA,2015
"SK_3210",NA,2015
"SK_3201",NA,2015
"SK_3192",NA,2015
"SK_3183",NA,2015
"SK_3174",NA,2015
"SK_3211",NA,2015
"SK_3193",NA,2015
"SK_3175",NA,2015
"SK_3212",NA,2015
"SK_3194",NA,2015
"SK_3176",NA,2015
"SK_3213",NA,2015
"SK_3204",NA,2015
"SK_3195",NA,2015
"SK_3177",NA,2015
"SK_3092",NA,2015
"SK_3093",NA,2015
"SK_3094",NA,2015
"SK_3095",NA,2015
"SK_3096",NA,2015
"SK_3097",NA,2015
"SK_3098",NA,2015
"SK_3099",NA,2015
"SK_3091",NA,2015
"SK_3118",NA,2015
"SK_3119",NA,2015
"SK_3120",NA,2015
"SK_3122",NA,2015
"SK_3123",NA,2015
"SK_3124",NA,2015
"SK_3125",NA,2015
"SK_3113",NA,2015
"SK_3114",NA,2015
"SK_3115",NA,2015
"SK_3116",NA,2015
"SK_3117",NA,2015
"SK_3110",NA,2015
"SK_3109",NA,2015
"SK_3100",NA,2015
"SK_3101",NA,2015
"SK_3102",NA,2015
"SK_3104",NA,2015
"SK_3105",NA,2015
"SK_3107",NA,2015
"SK_3108",NA,2015
"SK_3112",NA,2015
"SK_3011",NA,2015
"SK_3138",NA,2015
"SK_3170",NA,2015
"SK_3169",NA,2015
"SK_3167",NA,2015
"SK_3166",NA,2015
"SK_3157",NA,2015
"SK_3158",NA,2015
"SK_3159",NA,2015
"SK_3160",NA,2015
"SK_3161",NA,2015
"SK_3163",NA,2015
"SK_3164",NA,2015
"SK_3165",NA,2015
"SK_3155",NA,2015
"SK_3154",NA,2015
"SK_3152",NA,2015
"SK_3150",NA,2015
"SK_3149",NA,2015
"SK_3148",NA,2015
"SK_3139",NA,2015
"SK_3142",NA,2015
"SK_3143",NA,2015
"SK_3147",NA,2015
"SK_3147.2",NA,2015
"SK_3156",NA,2015
"SK_3136",NA,2015
"SK_3135",NA,2015
"SK_3134",NA,2015
"SK_3133",NA,2015
"SK_3132",NA,2015
"SK_3130",NA,2015
"SK_3093",NA,2015
"SK_3119",NA,2015
"SK_3120",NA,2015
"SK_3118",NA,2015
"SK_3096",NA,2015
"SK_3097",NA,2015
"SK_3098",NA,2015
"SK_3132",NA,2015
"SK_3133",NA,2015
"SK_3135",NA,2015
"SK_3109",NA,2015
"SK_?",NA,2015
"SK_3182",NA,2015
"SK_3178",NA,2015
"SK_3180",NA,2015
"SK_3181",NA,2015
"SK_3182",NA,2015
"SK_3161",NA,2015
"SK_3211",NA,2015
"SK_3210",NA,2015
"SK_3164",NA,2015
"SK_3186",NA,2015
"SK_3184",NA,2015
"SK_3168",NA,2015
"SK_3162",NA,2015
"SK_3127",NA,2015
"SK_3131",NA,2015
"SK_3163",NA,2015
