count,Mouse_ID,feces_weight_g,raw_oocyst_in_10_microL_div_by_8_squares,total_volume_ml,oocyst_per_ml,oocysts_in_feces,OPG_if_0.4g,year
Enas,AA_0047,NA,30,0.2,24000,4800,12000,2016
Enas,AA_0048,NA,0,0.2,0,0,0,2016
Enas,AA_0049,NA,0,0.2,0,0,0,2016
Enas,AA_0050,NA,0,0.2,0,0,0,2016
Enas,AA_0051,NA,0,0.2,0,0,0,2016
Enas,AA_0052,NA,2,0.2,1600,320,800,2016
Enas,AA_0053,NA,3,0.2,2400,480,1200,2016
Enas,AA_0054,NA,26,0.2,20800,4160,10400,2016
Enas,AA_0055,NA,0,0.2,0,0,0,2016
Enas,AA_0056,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0057,NA,NA,0.2,NA,NA,NA,2016
Enas,AA_0058,NA,0,0.2,0,0,0,2016
Enas,AA_0059,NA,0,0.2,0,0,0,2016
Enas,AA_0060,NA,0,0.2,0,0,0,2016
Enas,AA_0061,NA,0,0.2,0,0,0,2016
Enas,AA_0062,NA,0,0.2,0,0,0,2016
Enas,AA_0063,NA,0,0.2,0,0,0,2016
Enas,AA_0064,NA,62,0.2,49600,9920,24800,2016
Enas,AA_0065,NA,7,0.2,5600,1120,2800,2016
Enas,AA_0066,NA,100,0.2,80000,16000,40000,2016
Enas,AA_0067,NA,0,0.2,0,0,0,2016
Enas,AA_0068,NA,15,0.2,12000,2400,6000,2016
Enas,AA_0069,NA,30,0.2,24000,4800,12000,2016
Enas,AA_0070,NA,24,0.2,19200,3840,9600,2016
Enas,AA_0071,NA,0,0.2,0,0,0,2016
Enas,AA_0072,NA,0,0.2,0,0,0,2016
Enas,AA_0073,NA,0,0.2,0,0,0,2016
Enas,AA_0074,NA,0,0.2,0,0,0,2016
Enas,AA_0075,NA,0,0.2,0,0,0,2016
Enas,AA_0076,NA,0,0.2,0,0,0,2016
Enas,AA_0077,NA,2,0.2,1600,320,800,2016
Enas,AA_0078,NA,0,0.2,0,0,0,2016
Enas,AA_0079,NA,0,0.2,0,0,0,2016
Enas,AA_0080,NA,15,0.2,12000,2400,6000,2016
Enas,AA_0081,NA,0,0.2,0,0,0,2016
Enas,AA_0082,NA,6,0.2,4800,960,2400,2016
Enas,AA_0083,NA,0,0.2,0,0,0,2016
Enas,AA_0084,NA,0,0.2,0,0,0,2016
Enas,AA_0085,NA,0,0.2,0,0,0,2016
