"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area","Y_N","MperT"
"46","","E_MITS","Mitschurinstr. 1, Rehfelde",52.518554,13.898133,"23.09.2016","15h45",16,"24.09.2016","15h10",0,"Fiona- Irina","","D","None",0
"54","","E_MIL1","Mildenberger Str. 1, Mildenberg",52.9935,13.30472,"23.09.2016","",28,"24.09.2016","",4,"Thomas-Jana-Lisa-Kati","4 + eine entlaufene","A","Mm",0.142857142857143
"55","","E_GRAB","Dorfanger 7, 15754 Gräbendorf",52.242122,13.707342,"23.09.2016","16h30",12,"24.09.2016","16h40",1,"Nadine-Nicole-Sascha","","E","Mm",0.0833333333333333
"56","","E_WOLZ","Wolziger hautpstrasse 24, Wolzig",52.267513,13.840138,"23.09.2016","17h30",8,"24.09.2016","17h00",7,"Nadine-Nicole-Sascha","","E","Mm",0.875
"57","","E_GALL","Siedlung 19, 15749 Gallun",52.243685,13.560048,"23.09.2016","12h47",12,"24.09.2016","11h30",0,"Nadine-Nicole-Sascha","1 Brandmaus","E","None",0
"58","","E_AMTO","Am Tonsee 4, Mittenwalde",52.21563,13.58843,"23.09.2016","13h40",25,"24.09.2016","12h50",2,"Nadine-Nicole-Sascha","","E","Mm",0.08
"60","","DANE22","Dorfstr. 22, Danewitz",52.733898,13.666418,"24.09.2016","15h50",20,"25.09.2016","12h15",0,"Gregor-Pedro","2 Spitzmäuse","C","None",0
"61","","RUDN21","Bahnhofstr. 21, Bernau (Rüdnitz)",52.716944,13.64,"24.09.2016","15h15",10,"25.09.2016","11h45",2,"Gregor-Pedro","","C","Mm",0.2
"62","","","Bergstr. 4B, Bernau (Rüdnitz)",52.714056,13.644722,"24.09.2016","15h00",10,"25.09.2016","11h30",0,"Gregor-Pedro","","C","None",0
"63","","","Kastanienstr. 27, Tempelfelde",52.71158,13.722576,"24.09.2016","13h20",10,"25.09.2016","11h00",0,"Gregor-Pedro","1 Spitzmaus","C","None",0
"64","","","Lindenstr. 22, Klobbicke",52.759589,13.802443,"24.09.2016","10h00",9,"25.09.2016","10h15",0,"Gregor-Pedro","","C","None",0
"65","","","Lindenstr. 5, Klobbicke",52.45388,13.482913,"24.09.2016","15h45",5,"25.09.2016","9h15",0,"Gregor-Pedro","","C","None",0
"66","","","Löhmer dorfstr. 24, Werneuchen",52.633745,13.683618,"24.09.2016","11h10",32,"25.09.2016","14h20",0,"Fiona- Irina","","D","None",0
"67","","","Wegendorfer Weg 1, Werneuchen",52.600233,13.698956,"24.09.2016","10h30",20,"25.09.2016","15h10",0,"Fiona- Irina","","D","None",0
"68","","","Hauptstr. 26, spreenhagen",52.34145,13.875585,"24.09.2016","17h00",11,"25.09.2016","10h30",0,"Fiona- Irina","1 Brandmaus+ 1 spitzmaus","D","None",0
"69","","E_ZEH8","Zehdenicker Str 8, 16247 Joachimsthal",52.9784,13.7336,"24.09.2016","16h30",28,"25.09.2016","12h00",13,"Paula-Naomi","","B","Mm",0.464285714285714
"70","","","Mittelstr. 5, 16244 Eichhorst",52.890269,13.636433,"24.09.2016","14h30",19,"25.09.2016","08h30",0,"Paula-Naomi","2 Spitzmäuse","B","None",0
"71","","","Schulstr. 10, 16244 Eichhorst",52.89051,13.63666,"24.09.2016","15h10",13,"25.09.2016","9h00",0,"Paula-Naomi","1 Spitzmaus","B","None",0
"72","","E_MU14","Mühlengasse 14, 16348 Wandlitz (Prenden)",52.78755,13.55461,"22.09.2016","10h45",24,"23.09.2016","7h45",2,"Paula-Naomi","","B","Mm",0.0833333333333333
"73","","E_GRAB","Dorfanger 7, 15754 Gräbendorf",52.242122,13.707342,"24.09.2016","16h20",14,"25.09.2016","14h20",1,"Nadine-Nicole-Sascha","2 dead Mus musculus","E","Mm",0.0714285714285714
"74","","","Pferdeoase, Märkisch Buchholz",52.106315,13.763339,"24.09.2016","15h15",10,"25.09.2016","9h30",0,"Nadine-Nicole-Sascha","","E","None",0
"76","","E_MIL1","Mildenberger Str. 1, Mildenberg",52.9935,13.30472,"24.09.2016","10h00",16,"25.09.2016","10h15",6,"Thomas-Jana-Lisa-Kati","","A","Mm",0.375
"77","","","Badinger Dorferstr. 40, Badingen",53.00027,13.251838,"24.09.2016","13h30",10,"25.09.2016","10h45",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"78","","","Granseer Str 45, Großwoltersdorf",53.072079,13.090672,"24.09.2016","14h30",11,"25.09.2016","11h45",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"79","","","IGB",53.14144,13.029748,"24.09.2016","15h30",10,"25.09.2016","13h15",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"80","","","Bornmühlenstr., Fürstenberg",53.172124,13.14741,"24.09.2016","17h30",19,"25.09.2016","14h00",0,"Thomas-Jana-Lisa-Kati","","A","None",0
"81","","E_GRAF","Siedlung 11, Gräfendorf",51.909612,13.1949,"24.09.2016","14h54",25,"25.09.2016","16h20",1,"Emanuel-Victor","","F","Mm",0.04
"82","","","Rosenthal 62",51.863059,13.462218,"24.09.2016","16h40",8,"25.09.2016","11h45",0,"Emanuel-Victor","","F","None",0
"83","","E_RO38","15936 Rosenthal 38",51.862758,13.463558,"24.09.2016","16h00",13,"25.09.2016","11h15",3,"Emanuel-Victor","d1 died in the lab","F","Mm",0.230769230769231
"84","","","15936 Rosenthal 10",51.86995,13.460798,"24.09.2016","16h30",6,"25.09.2016","11h06",0,"Emanuel-Victor","","F","None",0
"85","","","Körbitz 11",51.895026,13.113572,"24.09.2016","13h45",15,"25.09.2016","12h35",0,"Emanuel-Victor","","F","None",0
"86","","E_GR17","14913 Grüna 17",52.031213,13.082355,"24.09.2016","11h36",15,"25.09.2016","13h00",1,"Emanuel-Victor","","F","Mm",0.0666666666666667
"87","","","14913 Grüna 10",52.030218,13.084008,"24.09.2016","11h00",14,"25.09.2016","15h00",0,"Emanuel-Victor","","F","None",0
"88","","","Oehna 59",51.929931,13.04327,"24.09.2016","12h40",6,"25.09.2016","15h20",0,"Emanuel-Victor","","F","None",0
"89","","E_OE62","Oehna 62",51.929943,13.043982,"24.09.2016","13h00",8,"25.09.2016","15h30",1,"Emanuel-Victor","","F","Mm",0.125
"90","","E_KIR1","Kirchstr. 1, Groß Ziethen",52.95691,13.89739,"25.09.2016","14h30",5,"26.09.2016","10h00",5,"Gregor-Pedro","","C","Mm",1
"91","","","Serwester Dorfstr. 72, Serwest",52.929032,13.924824,"25.09.2016","15h15",11,"26.09.2016","9h30",0,"Gregor-Pedro","","C","None",0
"92","","","Groß Fredenwalde 29, 17268 Gerswalde",53.12959,13.79691,"25.09.2016","15h45",16,"26.09.2016","10h20",0,"Paula-Naomi","2 Spitzmäuse, 2 Apodemus","B","None",0
"93","","","Klein Fredenwalde ",53.12783,13.76991,"22.09.2016","15h00",13,"26.09.2016","10h45",0,"Paula-Naomi","1 Apodemus","B","None",0
"94","","","Glambecker Str. 23, Parlow",53.02505,13.76791,"25.09.2016","11h00",17,"26.09.2016","09h00",0,"Paula-Naomi","","B","None",0
"95","","","Glambecker Str. 22, Parlow",53.02507,13.766596,"25.09.2016","10h30",19,"26.09.2016","8h50",0,"Paula-Naomi","1 Spitzmaus","B","None",0
"96","","","Templiner Str. 18D, 17268 Temmen-Ringenwalde",53.06147,13.71264,"25.09.2016","16h00",15,"26.09.2016","09h50",0,"Paula-Naomi","2 Spitzmäuse, 2 Apodemus","B","None",0
"97","","E_KI13","Kirchstr.13, Tuchen",52.754538,13.787479,"25.09.2016","10h20",10,"26.09.2016","17h00",3,"Gregor-Pedro","1 Spitzmaus","C","Mm",0.3
"98","","","Dorfstr. 9, 16230 Breydin-Trampe",52.776694,13.837111,"23.09.2016","14h25",21,"24.09.2016","8h30",0,"Gregor-Pedro","2 Spitzmäuse","C","None",0
"99","","","Neulüdersdorf 9, Neulüdersdorf",53.038544,13.186732,"25.09.2016","09h30",10,"26.09.2016","12h00",0,"Thomas-Jana-Lisa-Kati","2Spitz","A","None",0
