"","Mouse_ID","pop","counts"
"1","AA_0681","CD4",18.85
"2","AA_0681","Treg",7.635
"3","AA_0681","Div_Treg",29
"4","AA_0681","Treg17",13.05
"5","AA_0681","Treg_prop",89
"6","AA_0681","Th1",16.1
"7","AA_0681","Div_Th1",38.25
"8","AA_0681","Th17",5.215
"9","AA_0681","Div_Th17",9.98
"10","AA_0681","CD8",9.23
"11","AA_0681","Act_CD8",25.95
"12","AA_0681","Div_Act_CD8",26.75
"13","AA_0681","IFNy_CD4",8.955
"14","AA_0681","IL17A_CD4",3.095
"15","AA_0681","IFNy_CD8",6
"16","AA_0682","CD4",22.85
"17","AA_0682","Treg",5.28
"18","AA_0682","Div_Treg",20.55
"19","AA_0682","Treg17",1.455
"20","AA_0682","Treg_prop",85
"21","AA_0682","Th1",14.45
"22","AA_0682","Div_Th1",30.65
"23","AA_0682","Th17",0.565
"24","AA_0682","Div_Th17",11.07
"25","AA_0682","CD8",10.465
"26","AA_0682","Act_CD8",24.35
"27","AA_0682","Div_Act_CD8",18.6
"28","AA_0682","IFNy_CD4",12.34
"29","AA_0682","IL17A_CD4",1.05
"30","AA_0682","IFNy_CD8",12
"31","AA_0683","CD4",27.45
"32","AA_0683","Treg",10.865
"33","AA_0683","Div_Treg",27.65
"34","AA_0683","Treg17",2.85
"35","AA_0683","Treg_prop",85.35
"36","AA_0683","Th1",16.85
"37","AA_0683","Div_Th1",29.95
"38","AA_0683","Th17",2
"39","AA_0683","Div_Th17",5.57
"40","AA_0683","CD8",13.535
"41","AA_0683","Act_CD8",23.55
"42","AA_0683","Div_Act_CD8",15.25
"43","AA_0683","IFNy_CD4",12.06
"44","AA_0683","IL17A_CD4",2.49
"45","AA_0683","IFNy_CD8",8.07
"46","AA_0684","CD4",25
"47","AA_0684","Treg",5.395
"48","AA_0684","Div_Treg",17.15
"49","AA_0684","Treg17",2.985
"50","AA_0684","Treg_prop",86.7
"51","AA_0684","Th1",16.44
"52","AA_0684","Div_Th1",19.45
"53","AA_0684","Th17",1.205
"54","AA_0684","Div_Th17",8.125
"55","AA_0684","CD8",17.01
"56","AA_0684","Act_CD8",22.3
"57","AA_0684","Div_Act_CD8",16.4
"58","AA_0684","IFNy_CD4",14.05
"59","AA_0684","IL17A_CD4",1.865
"60","AA_0684","IFNy_CD8",17.45
"61","AA_0685","CD4",18.1
"62","AA_0685","Treg",4.435
"63","AA_0685","Div_Treg",19.7
"64","AA_0685","Treg17",0.475
"65","AA_0685","Treg_prop",88.4
"66","AA_0685","Th1",20.925
"67","AA_0685","Div_Th1",39.8
"68","AA_0685","Th17",1.44
"69","AA_0685","Div_Th17",3.765
"70","AA_0685","CD8",15.605
"71","AA_0685","Act_CD8",28.5
"72","AA_0685","Div_Act_CD8",53
"73","AA_0685","IFNy_CD4",21.9
"74","AA_0685","IL17A_CD4",1.2
"75","AA_0685","IFNy_CD8",30.65
