"","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Mouse_ID","Position"
"46",14.6,6.56,13.9,1.5,11.3,14.7,3.09,6.68,9.4,17.1,9.83,5.61,8.71,3.91,"AA_0697","spleen"
"47",25.9,6.3,26,12.6,6.1,17.7,9.37,7.48,11.2,13.5,11.7,0,0,100,"AA_0698","spleen"
"48",11.1,9.34,24.6,2.28,7.72,26.6,5.22,8.02,8.48,12,14.3,8.34,4.99,1.57,"AA_0699","spleen"
"49",18.3,5.01,30,1.64,7.6,41.4,4.44,21.7,8.86,19.1,25.2,1.96,1.97,0.96,"AA_0700","spleen"
"50",35.8,5.31,24.4,1.96,3.7,42.6,2.7,8.83,13.3,25.7,18.1,8.1,9.31,0,"AA_0701","spleen"
"51",11.9,6.66,32.5,2.65,8.01,35.6,5.49,15.9,6.39,18,14.5,6.31,6.07,1.89,"AA_0702","spleen"
"52",25,9.54,21.3,9.41,12.7,15,2.02,11.1,12.1,26,9.51,20.8,1.24,36.3,"AA_0703","spleen"
"53",25.4,5.64,28.2,2.97,30.5,56.5,2.18,13.5,27.1,70.8,49.2,32.3,5.01,56.5,"AA_0704","spleen"
"54",13.6,3.47,40.3,9.3,9.28,22,9.24,8.33,4.78,19.5,7.58,13.1,8.23,2.99,"AA_0705","spleen"
"55",10.7,5.58,24.2,3.97,7.76,21,10.8,8.19,8.41,8.77,12,8.04,5.61,2.09,"AA_0706","spleen"
"56",28.6,12.7,30,4.79,7.41,21,2.36,18.9,14.7,21.9,16.3,5.48,4.52,17.4,"AA_0707","spleen"
"57",23.4,6.11,45.4,4.78,3.31,39.9,1.82,16.6,12.3,15.4,20,5.87,0.92,5.3,"AA_0708","spleen"
"58",39,6.49,16.7,6.16,10.8,8.38,1.96,6.67,14,24.7,8.59,9.82,3.45,23,"AA_0709","spleen"
"59",59.2,5.46,27.2,19.3,0.99,43.7,2.26,11,20.8,6.18,27.9,1.87,0.28,16.9,"AA_0710","mLN"
"60",59.4,3.74,29.9,9.26,2.06,23.6,1.88,12.4,14.3,6.83,23.1,1.35,0.042,5.96,"AA_0711","mLN"
"61",60.7,2.21,30.6,19.9,1.23,53.9,5.54,8.53,20.4,4.86,46.1,0.62,0.44,8.02,"AA_0712","mLN"
"62",34.9,6.47,53,14.9,3.15,59.6,6.36,13.6,16.6,13.8,43.7,0.19,0.41,1.22,"AA_0713","mLN"
"63",53.6,4.4,21.4,7.36,1.87,37.6,1.02,24.5,19.3,12.9,18.7,0.38,0.031,9.66,"AA_0714","mLN"
"64",47.3,4.47,34.6,15,4.15,60.2,1.49,28.1,25.6,5.09,64.6,2.03,0.22,6.59,"AA_0715","mLN"
"65",40.5,1.65,61.5,7.69,2.06,50,4.76,5.41,8.41,6.71,36.4,5.63,0,0,"AA_0716","mLN"
"66",57.6,7.13,32.3,6.57,2.55,63.9,1.6,58.8,17.5,7.12,56.3,0.66,0.45,8.25,"AA_0717","mLN"
"67",48.4,6.97,28.4,8.51,1.29,61.4,1.49,12.9,18.7,7.06,43.4,0.65,0.28,7.92,"AA_0718","mLN"
"68",50.8,8.19,32.8,15.6,0.85,70.2,2.97,19.3,14.8,5.44,47.2,0.13,0.72,1.61,"AA_0719","mLN"
"69",48.4,5.41,51.2,12.2,1.59,78,4.71,14.8,22.5,11.8,61.5,0.054,0.11,1.28,"AA_0720","mLN"
"70",27.5,9.53,44.3,4.03,1.93,64.8,0.87,11.3,14.4,7.34,39.1,0.048,0.8,1.01,"AA_0721","mLN"
"71",41.3,5.92,59.6,17.1,3.11,62,1.76,13.3,18,23,64.3,0.39,0.88,5.01,"AA_0722","mLN"
"72",49.3,4.72,50.8,11.2,2.17,66.3,0.83,25.7,20.7,16.1,62.1,0.16,0.13,0.83,"AA_0723","mLN"
"73",68.5,4.63,75.1,26.8,2.97,59.8,3.66,11,15.1,28.7,85,0.23,0.13,1.19,"AA_0724","mLN"
"74",36.6,9.38,28,4.78,1.22,70.4,2.08,8.1,11.7,7.82,33.4,0.16,0.087,0.091,"AA_0725","mLN"
