"","Mouse_ID","Position","pop","counts"
"1","AA_0681","mLN","CD4",20
"2","AA_0682","mLN","CD4",27.7
"3","AA_0683","mLN","CD4",33.6
"4","AA_0684","mLN","CD4",27.5
"5","AA_0685","mLN","CD4",23.5
"6","AA_0686","mLN","CD4",42.9
"7","AA_0687","mLN","CD4",42
"8","AA_0688","mLN","CD4",35.1
"9","AA_0689","mLN","CD4",27.4
"10","AA_0690","mLN","CD4",35.1
"11","AA_0691","mLN","CD4",36.4
"12","AA_0692","mLN","CD4",36.6
"13","AA_0693","mLN","CD4",36.7
"14","AA_0694","mLN","CD4",24.5
"15","AA_0695","mLN","CD4",20.7
"16","AA_0696","mLN","CD4",28.6
"17","AA_0697","mLN","CD4",47.6
"18","AA_0698","mLN","CD4",47.2
"19","AA_0699","mLN","CD4",16
"20","AA_0700","mLN","CD4",24.8
"21","AA_0701","mLN","CD4",53
"22","AA_0702","mLN","CD4",48.5
"23","AA_0703","mLN","CD4",30.7
"24","AA_0704","mLN","CD4",22.7
"25","AA_0705","mLN","CD4",37.9
"26","AA_0706","mLN","CD4",49.8
"27","AA_0707","mLN","CD4",40.6
"28","AA_0708","mLN","CD4",39.2
"29","AA_0709","mLN","CD4",55.8
"30","AA_0710","mLN","CD4",59.2
"31","AA_0711","mLN","CD4",59.4
"32","AA_0712","mLN","CD4",60.7
"33","AA_0713","mLN","CD4",34.9
"34","AA_0714","mLN","CD4",53.6
"35","AA_0715","mLN","CD4",47.3
"36","AA_0716","mLN","CD4",40.5
"37","AA_0717","mLN","CD4",57.6
"38","AA_0718","mLN","CD4",48.4
"39","AA_0719","mLN","CD4",50.8
"40","AA_0720","mLN","CD4",48.4
"41","AA_0721","mLN","CD4",27.5
"42","AA_0722","mLN","CD4",41.3
"43","AA_0723","mLN","CD4",49.3
"44","AA_0724","mLN","CD4",68.5
"45","AA_0725","mLN","CD4",36.6
"46","AA_0726","mLN","CD4",64.9
"47","AA_0727","mLN","CD4",60.5
"48","AA_0728","mLN","CD4",58.1
"49","AA_0729","mLN","CD4",49.2
"50","AA_0730","mLN","CD4",50.9
"51","AA_0763","mLN","CD4",28.7
"52","AA_0764","mLN","CD4",45.4
"53","AA_0765","mLN","CD4",46.1
"54","AA_0766","mLN","CD4",32.8
"55","AA_0767","mLN","CD4",51.1
"56","AA_0768","mLN","CD4",56
"57","AA_0769","mLN","CD4",35.9
"58","AA_0770","mLN","CD4",18.9
"59","AA_0771","mLN","CD4",25.2
"60","AA_0772","mLN","CD4",46.8
"61","AA_0773","mLN","CD4",47.2
"62","AA_0774","mLN","CD4",52
"63","AA_0775","mLN","CD4",39.7
"64","AA_0776","mLN","CD4",35.3
"65","AA_0777","mLN","CD4",29.3
"66","AA_0778","mLN","CD4",36.2
"67","AA_0779","mLN","CD4",34.7
"68","AA_0780","mLN","CD4",46
"69","AA_0781","mLN","CD4",38.9
"70","AA_0782","mLN","CD4",59.7
"71","AA_0783","mLN","CD4",45.8
"72","AA_0784","mLN","CD4",42.4
"73","AA_0785","mLN","CD4",52.6
"74","AA_0786","mLN","CD4",34.6
"75","AA_0787","mLN","CD4",39.1
"76","AA_0788","mLN","CD4",47.7
"77","AA_0789","mLN","CD4",40.4
"78","AA_0790","mLN","CD4",43.4
"79","AA_0791","mLN","CD4",30.4
"80","AA_0792","mLN","CD4",34.9
"81","AA_0793","mLN","CD4",42.4
"82","AA_0794","mLN","CD4",26.6
"83","AA_0795","mLN","CD4",35
"84","AA_0796","mLN","CD4",37.5
"85","AA_0797","mLN","CD4",30.4
"86","AA_0798","mLN","CD4",37.6
"87","AA_0799","mLN","CD4",31.4
"88","AA_0800","mLN","CD4",46.9
"89","AA_0801","mLN","CD4",31.2
"90","AA_0802","mLN","CD4",39
"91","AA_0803","mLN","CD4",34.7
"92","AA_0804","mLN","CD4",31.8
"93","AA_0805","mLN","CD4",32.2
"94","AA_0806","mLN","CD4",35.4
"95","AA_0807","mLN","CD4",30.1
"96","AA_0681","mLN","Treg",6.81
"97","AA_0682","mLN","Treg",5.82
"98","AA_0683","mLN","Treg",9.83
"99","AA_0684","mLN","Treg",4.35
"100","AA_0685","mLN","Treg",3.2
"101","AA_0686","mLN","Treg",5.07
"102","AA_0687","mLN","Treg",4
"103","AA_0688","mLN","Treg",6.57
"104","AA_0689","mLN","Treg",5.78
"105","AA_0690","mLN","Treg",5.53
"106","AA_0691","mLN","Treg",4.81
"107","AA_0692","mLN","Treg",5.22
"108","AA_0693","mLN","Treg",5.8
"109","AA_0694","mLN","Treg",5.58
"110","AA_0695","mLN","Treg",8.16
"111","AA_0696","mLN","Treg",6.37
"112","AA_0697","mLN","Treg",8.25
"113","AA_0698","mLN","Treg",6.45
"114","AA_0699","mLN","Treg",1.42
"115","AA_0700","mLN","Treg",6.64
"116","AA_0701","mLN","Treg",4.94
"117","AA_0702","mLN","Treg",4.92
"118","AA_0703","mLN","Treg",10.6
"119","AA_0704","mLN","Treg",3.62
"120","AA_0705","mLN","Treg",3.46
"121","AA_0706","mLN","Treg",6.51
"122","AA_0707","mLN","Treg",7.58
"123","AA_0708","mLN","Treg",6.28
"124","AA_0709","mLN","Treg",4.67
"125","AA_0710","mLN","Treg",5.46
"126","AA_0711","mLN","Treg",3.74
"127","AA_0712","mLN","Treg",2.21
"128","AA_0713","mLN","Treg",6.47
"129","AA_0714","mLN","Treg",4.4
"130","AA_0715","mLN","Treg",4.47
"131","AA_0716","mLN","Treg",1.65
"132","AA_0717","mLN","Treg",7.13
"133","AA_0718","mLN","Treg",6.97
"134","AA_0719","mLN","Treg",8.19
"135","AA_0720","mLN","Treg",5.41
"136","AA_0721","mLN","Treg",9.53
"137","AA_0722","mLN","Treg",5.92
"138","AA_0723","mLN","Treg",4.72
"139","AA_0724","mLN","Treg",4.63
"140","AA_0725","mLN","Treg",9.38
