"X","PIN","Transect","Code","Sex","X_Longit","Y_Latit","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","ith","HI_NLoci","HI"
3964,"SK3369","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dm","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",851,"HI 13",0.04
3968,"SK3373","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","mm","dd","dd","dd","dd","94","100","100","100/120","100","100","dd","dd","dd","dm","dd","dd",852,"HI 13",0.12
3970,"SK3375","HZ_BR","DANE22","F",13.6664,52.7339,2015,"d","","dd","dd","dd","dd","dd","dd","94","95","100","100","100","100","dd","mm","dd","dd","dd","dd",853,"HI 13",0.08
191,"AA_0237","HZ_BR","DANE22","F",13.6664,52.7339,2017,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",854,"HI 13",0
321,"AA_0365","HZ_BR","DANNE16","M",13.9578,52.7714,2017,"d","m","m","m","m","d","m","m","100","100","100","100","70","80/100","mm","dd","dd","dd","mm","dm",855,"HI 14",0.55
323,"AA_0367","HZ_BR","DANNE16","F",13.9578,52.7714,2017,"d","","mm","mm","mm","dm","mm","dm","100","95","100","100/120","90","100","mm","mm","dd","dm","mm","dd",856,"HI 13",0.68
327,"AA_0371","HZ_BR","DANNE16","F",13.9578,52.7714,2017,"d","","mm","mm","mm","dd","mm","mm","100","95","100","120","90","80","mm","mm","dd","mm","mm","mm",857,"HI 13",0.8
3783,"SK3173","HZ_BR","DENS12","M",13.3775,53.145,2015,"d","m","","m","","d","","m","100","100","125","120","100","100","mm","dd","mm","mm","dd","dd",865,"HI 11",0.529411764705882
4620,"SK804","HZ_BR","DLUG","M",15.0778,52.4636,2010,"d","m","m","m","m","","m","m","","95","125","120","70","80","","mm","mm","mm","mm","mm",940,"HI 13",0.947368421052632
4619,"SK803","HZ_BR","DLUG","F",15.0778,52.4636,2010,"m","","mm","mm","mm","","mm","mm","","","","","","","","","","","","",941,"HI 7",1
127,"AA_0173","HZ_BR","DOBB1","M",14.0358,53.02,2016,"d","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",942,"HI 14",0.9
145,"AA_0191","HZ_BR","DOBB1","M",14.0358,53.02,2016,"","m","","d","","","","","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm",943,"HI 8",0.857142857142857
3790,"SK3181","HZ_BR","DOBB8","M",14.0356,53.0203,2015,"d","m","m","m","m","d","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",944,"HI 14",0.85
139,"AA_0185","HZ_BR","DOBB8","M",14.0356,53.0203,2016,"d","m","m","m","m","d","m","m","100","95","100/125","120","90","80","mm","mm","dm","mm","mm","mm",945,"HI 14",0.85
141,"AA_0187","HZ_BR","DOBB8","M",14.0356,53.0203,2016,"d","m","m","m","m","d","m","m","94/100","95","125","120","90","80","dm","mm","mm","mm","mm","mm",946,"HI 14",0.85
143,"AA_0189","HZ_BR","DOBB8","M",14.0356,53.0203,2016,"d","m","m","m","m","d","m","m","100","95","100/125","120","90/100","80","mm","mm","dm","mm","dm","mm",947,"HI 14",0.8
140,"AA_0186","HZ_BR","DOBB8","F",14.0356,53.0203,2016,"","","mm","mm","mm","dd","mm","mm","94","95","100","120","90","80","dd","mm","dd","mm","mm","mm",948,"HI 12",0.75
142,"AA_0188","HZ_BR","DOBB8","F",14.0356,53.0203,2016,"d","","dd","mm","mm","dd","mm","mm","100","95","125","120","100","80","mm","mm","mm","mm","dd","mm",949,"HI 13",0.72
167,"AA_0213","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","m","m","","m","m","","","","","","","","","","","","",1066,"HI 7",0.857142857142857
168,"AA_0214","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","d","d","m","","m","m","94/100","95","125","120","90","80","dm","mm","mm","mm","mm","mm",1067,"HI 13",0.789473684210526
172,"AA_0218","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","d","d","m","","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1068,"HI 13",0.842105263157895
173,"AA_0219","HZ_MV","DORFM","M",11.4811,53.8444,2017,"","","m","d","m","m","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1069,"HI 12",0.944444444444444
174,"AA_0220","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","m","m","","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1070,"HI 13",0.947368421052632
175,"AA_0221","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","d","d","m","m","m","m","94/100","95","125/155","120","70/90","80","dm","mm","mm","mm","mm","mm",1071,"HI 14",0.8
176,"AA_0222","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","d","m","m","m","m","94/100","95","125","120","70/90","80","dm","mm","mm","mm","mm","mm",1072,"HI 14",0.85
177,"AA_0223","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","d","m","","m","m","94","95","125","120","70","80","dd","mm","mm","mm","mm","mm",1073,"HI 13",0.789473684210526
179,"AA_0225","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","d","m","","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1074,"HI 13",0.894736842105263
180,"AA_0226","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","m","m","m","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1075,"HI 14",0.95
4350,"SK3912","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","m","m","m","m","m","94","95","125","120","90","80","dd","mm","mm","mm","mm","mm",1076,"HI 14",0.85
425,"AA_0490","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","m","m","","m","m","100","95","125","100","70/100","100","mm","mm","mm","dd","dm","dd",1077,"HI 13",0.684210526315789
426,"AA_0491","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","m","m","","m","m","100","95","125","100","70/100","100","mm","mm","mm","dd","dm","dd",1078,"HI 13",0.684210526315789
427,"AA_0492","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","d","m","","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",1079,"HI 13",0.894736842105263
428,"AA_0493","HZ_MV","DORFM","M",11.4811,53.8444,2017,"d","m","m","d","m","","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",1080,"HI 13",0.894736842105263
166,"AA_0212","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","mm","mm","","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1081,"HI 12",0.956521739130435
169,"AA_0215","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","mm","","","mm","mm","94","95","125","120","70/90","80","dd","mm","mm","mm","mm","mm",1082,"HI 11",0.857142857142857
170,"AA_0216","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","mm","mm","","mm","mm","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",1083,"HI 12",0.956521739130435
171,"AA_0217","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","mm","mm","","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1084,"HI 12",0.956521739130435
178,"AA_0224","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","dd","","","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1085,"HI 11",0.857142857142857
4351,"SK3913","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","","","","mm","mm","94","95","125","120","90","80","dd","mm","mm","mm","mm","mm",1086,"HI 10",0.842105263157895
424,"AA_0489","HZ_MV","DORFM","F",11.4811,53.8444,2017,"d","","mm","dm","mm","","mm","mm","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",1087,"HI 12",0.91304347826087
277,"AA_0321","HZ_BR","DORETT","M",13.4622,53.1119,2017,"m","m","m","m","","d","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",1164,"HI 13",0.894736842105263
279,"AA_0323","HZ_BR","DORETT","F",13.4622,53.1119,2017,"m","","mm","","mm","dd","mm","mm","100","95","100/125","120","90/100","80","mm","mm","dm","mm","dm","mm",1165,"HI 12",0.826086956521739
280,"AA_0324","HZ_BR","DORETT","F",13.4622,53.1119,2017,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","100","80","mm","mm","mm","mm","dd","mm",1166,"HI 13",0.84
4057,"SK3463","Allo_PL","DRAM3","M",14.7003,53.8792,2015,"d","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1167,"HI 14",0.9
4058,"SK3464","Allo_PL","DRAM3","M",14.7003,53.8792,2015,"d","m","m","m","m","","m","m","","","","","","","","","","","","",1168,"HI 7",0.857142857142857
4059,"SK3465","Allo_PL","DRAM3","M",14.7003,53.8792,2015,"d","m","m","m","m","m","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1169,"HI 14",0.95
4060,"SK3466","Allo_PL","DRAM3","M",14.7003,53.8792,2015,"d","m","m","m","m","d","m","m","100","","","","","","mm","","","","","",1170,"HI 9",0.8
4061,"SK3467","Allo_PL","DRAM3","F",14.7003,53.8792,2015,"d","","mm","mm","mm","mm","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1171,"HI 13",0.96
4062,"SK3468","Allo_PL","DRAM3","F",14.7003,53.8792,2015,"d","","mm","mm","mm","mm","mm","","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1172,"HI 12",0.956521739130435
4623,"SK807","HZ_BR","DROG","M",15.0053,52.4656,2010,"","","m","m","m","","m","m","","","","","","","","","","","","",1180,"HI 5",1
4624,"SK808","HZ_BR","DROG","F",15.0053,52.4656,2010,"","","mm","mm","mm","","mm","mm","","","","","","","","","","","","",1181,"HI 5",1
100,"AA_0146","HZ_BR","DUBEN19","M",13.81,51.8978,2016,"d","d","m","d","d","d","d","m","100","100","100","100","100","100","mm","dd","dd","dd","dd","dd",1182,"HI 14",0.2
102,"AA_0148","HZ_BR","DUBEN19","M",13.81,51.8978,2016,"d","d","m","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",1183,"HI 14",0.05
104,"AA_0150","HZ_BR","DUBEN19","M",13.81,51.8978,2016,"d","d","m","d","d","d","d","d","100","100","100","100/120","100","80/100","mm","dd","dd","dm","dd","dm",1184,"HI 14",0.25
106,"AA_0152","HZ_BR","DUBEN19","M",13.81,51.8978,2016,"d","","m","d","d","d","d","d","94","100","100","100/120","100","100","dd","dd","dd","dm","dd","dd",1185,"HI 13",0.105263157894737
108,"AA_0154","HZ_BR","DUBEN19","M",13.81,51.8978,2016,"d","d","m","d","d","d","d","d","100","100","100","100","100","80","mm","dd","dd","dd","dd","mm",1186,"HI 14",0.25
111,"AA_0157","HZ_BR","DUBEN19","M",13.81,51.8978,2016,"d","","d","d","d","d","d","d","94","100","100","100/120","100","80","dd","dd","dd","dm","dd","mm",1187,"HI 13",0.157894736842105
105,"AA_0151","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","dm","dd","dd","dd","dd","dd","94","100","100","100","100","80","dd","dd","dd","dd","dd","mm",1188,"HI 13",0.12
107,"AA_0153","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","mm","dd","dd","dd","dd","dd","100","100","100","100","100","100","mm","dd","dd","dd","dd","dd",1189,"HI 13",0.16
109,"AA_0155","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","dd","dd","dd","dd","dd","dd","100","100","100","100","100","80","mm","dd","dd","dd","dd","mm",1190,"HI 13",0.16
110,"AA_0156","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","mm","dd","dd","dd","dd","dd","94","100","100","100/120","100","100","dd","dd","dd","dm","dd","dd",1191,"HI 13",0.12
112,"AA_0158","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","mm","dd","dd","dd","dd","dd","100","100","100","100","70/100","100","mm","dd","dd","dd","dm","dd",1192,"HI 13",0.2
113,"AA_0159","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","mm","dd","dd","dd","dd","dd","94","95/100","100","100","100","100","dd","dm","dd","dd","dd","dd",1193,"HI 13",0.12
114,"AA_0160","HZ_BR","DUBEN19","F",13.81,51.8978,2016,"d","","dd","dd","dd","dd","dd","dd","94","95/100","100","100","90/100","80","dd","dm","dd","dd","dm","mm",1194,"HI 13",0.16
276,"AA_0320","HZ_BR","DUBEN24","M",13.8103,51.8978,2017,"d","m","d","d","d","d","d","d","94","","100","100","100","100","dd","","dd","dd","dd","dd",1195,"HI 13",0.0555555555555556
275,"AA_0319","HZ_BR","DUBEN24","F",13.8103,51.8978,2017,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","70","100","dd","dd","dd","dd","mm","dd",1196,"HI 13",0.08
3796,"SK3187","HZ_BR","ERKNKI","M",13.7581,52.3989,2015,"d","d","m","d","d","d","d","d","94","100","125","100","100","100","dd","dd","mm","dd","dd","dd",1266,"HI 14",0.15
218,"AA_0264","HZ_BR","ERKNKI","M",13.7581,52.3989,2017,"","","d","d","m","d","d","d","100","100","100/125","100","100","100","mm","dd","dm","dd","dd","dd",1267,"HI 12",0.222222222222222
9,"AA_0055","HZ_BR","FALK8C","M",13.3064,52.91,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",1279,"HI 14",0
11,"AA_0057","HZ_BR","FALK8C","M",13.3064,52.91,2016,"d","d","d","d","","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",1280,"HI 13",0
10,"AA_0056","HZ_BR","FALK8C","F",13.3064,52.91,2016,"d","","dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",1281,"HI 13",0.08
3538,"SK2909","HZ_BR","FLIE28","F",13.8153,53.1611,2014,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1284,"HI 13",0.92
3539,"SK2910","HZ_BR","FLIE28","F",13.8153,53.1611,2014,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1285,"HI 13",0.92
99,"AA_0145","HZ_BR","FRANK6","F",14.0589,52.6703,2016,"m","","mm","mm","mm","dm","mm","mm","100","95","100/125","120","90","80","mm","mm","dm","mm","mm","mm",1293,"HI 13",0.92
220,"AA_0266","HZ_BR","FRANK8","F",14.0503,52.6792,2016,"d","","mm","mm","","mm","mm","mm","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",1294,"HI 12",0.956521739130435
101,"AA_0147","HZ_BR","FREII","F",13.7875,51.8853,2016,"d","","mm","dd","dd","dd","dm","","94","100","100/125","100","100","100","dd","dd","dm","dd","dd","dd",1296,"HI 12",0.173913043478261
103,"AA_0149","HZ_BR","FREII","F",13.7875,51.8853,2016,"d","","dm","dd","dd","dd","dm","dd","94","100","125","100","90","100","dd","dd","mm","dd","mm","dd",1297,"HI 13",0.24
3473,"SK2839","HZ_BR","FRFE11","M",13.8433,53.0942,2014,"d","m","m","m","m","d","m","m","","95","125","120","90/100","80","","mm","mm","mm","dm","mm",1298,"HI 13",0.833333333333333
3474,"SK2840","HZ_BR","FRFE11","M",13.8433,53.0942,2014,"d","m","m","m","m","d","m","m","100","95","125","120","70/90","80/100","mm","mm","mm","mm","mm","dm",1299,"HI 14",0.85
3477,"SK2843","HZ_BR","FRFE11","M",13.8433,53.0942,2014,"d","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1300,"HI 14",0.9
3475,"SK2841","HZ_BR","FRFE11","F",13.8433,53.0942,2014,"d","","mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1301,"HI 13",0.88
3476,"SK2842","HZ_BR","FRFE11","F",13.8433,53.0942,2014,"d","","mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1302,"HI 13",0.88
423,"AA_0471","HZ_BR","GERSD","M",13.6708,51.9594,2017,"m","m","d","d","d","","d","d","94","100","100","100","100","80/100","dd","dd","dd","dd","dd","dm",1397,"HI 13",0.157894736842105
3715,"SK3110","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95/100","125","120","90","80","mm","dm","mm","mm","mm","mm",1399,"HI 14",0.9
3716,"SK3111","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","d","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1400,"HI 14",0.9
3719,"SK3114","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95","100/125","120","90/100","80","mm","mm","dm","mm","dm","mm",1401,"HI 14",0.85
3720,"SK3115","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","d","100","95","125","120","90","","mm","mm","mm","mm","mm","",1402,"HI 13",0.888888888888889
3726,"SK3121","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","d","100","95","125","120","90","100","mm","mm","mm","mm","mm","dd",1403,"HI 14",0.8
3773,"SK3163","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1404,"HI 14",0.95
3774,"SK3164","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95","125","120","90/100","100","mm","mm","mm","mm","dm","dd",1405,"HI 14",0.8
3777,"SK3167","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95/100","125","120","90","80","mm","dm","mm","mm","mm","mm",1406,"HI 14",0.9
3954,"SK3359","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","100","125","120","90","100","mm","dd","mm","mm","mm","dd",1407,"HI 14",0.75
3955,"SK3360","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1408,"HI 14",0.95
3958,"SK3363","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","m","100","95","155","120","90/100","80","mm","mm","mm","mm","dm","mm",1409,"HI 14",0.9
3960,"SK3365","HZ_BR","GIEL68","M",13.8756,52.6053,2015,"m","m","m","m","m","d","m","d","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1410,"HI 14",0.9
223,"AA_0269","HZ_BR","GIEL68","M",13.8756,52.6053,2017,"","m","","","","","m","","94","95","125","120","100","80","dd","mm","mm","mm","dd","mm",1411,"HI 8",0.714285714285714
233,"AA_0279","HZ_BR","GIEL68","M",13.8756,52.6053,2017,"m","m","","","","","m","","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1412,"HI 9",1
241,"AA_0287","HZ_BR","GIEL68","M",13.8756,52.6053,2017,"m","m","m","m","m","d","m","d","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",1413,"HI 14",0.9
242,"AA_0288","HZ_BR","GIEL68","M",13.8756,52.6053,2017,"","m","","m","m","d","","","100","95","125","120","90","100","mm","mm","mm","mm","mm","dd",1414,"HI 10",0.8125
243,"AA_0289","HZ_BR","GIEL68","M",13.8756,52.6053,2017,"m","m","m","m","m","d","m","","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1415,"HI 13",0.947368421052632
3717,"SK3112","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","dm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1416,"HI 13",0.88
3718,"SK3113","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","100","100","125","120","90","80/100","mm","dd","mm","mm","mm","dm",1417,"HI 13",0.8
3721,"SK3116","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","dd","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1418,"HI 13",0.84
3722,"SK3117","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1419,"HI 13",0.92
3723,"SK3118","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","100","95","125/155","120","90","80","mm","mm","mm","mm","mm","mm",1420,"HI 13",0.92
3724,"SK3119","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","94","95/100","125","120","90/100","","dd","dm","mm","mm","dm","",1421,"HI 12",0.739130434782609
3775,"SK3165","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","100","95","100/125","120","90","80","mm","mm","dm","mm","mm","mm",1422,"HI 13",0.88
3776,"SK3166","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","","dd","mm","mm","100","95","100/125","120","90/100","80","mm","mm","dm","mm","dm","mm",1423,"HI 12",0.826086956521739
3957,"SK3362","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",1424,"HI 13",0.92
3967,"SK3372","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"m","","mm","mm","mm","dd","mm","mm","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",1425,"HI 13",0.88
3969,"SK3374","HZ_BR","GIEL68","F",13.8756,52.6053,2015,"d","","mm","","","","","","100","95","125","120","90","100","mm","mm","mm","mm","mm","dd",1426,"HI 8",0.8
224,"AA_0270","HZ_BR","GIEL68","F",13.8756,52.6053,2017,"","","","","","","mm","dd","100","100","","","90/100","80/100","mm","dd","","","dm","dm",1427,"HI 6",0.5
228,"AA_0274","HZ_BR","GIEL68","F",13.8756,52.6053,2017,"m","","","","","","mm","mm","94","95","125","120","70","100","dd","mm","mm","mm","mm","dd",1428,"HI 9",0.764705882352941
229,"AA_0275","HZ_BR","GIEL68","F",13.8756,52.6053,2017,"","","","","","","mm","","100","95/100","125","120","90/100","100","mm","dm","mm","mm","dm","dd",1429,"HI 7",0.714285714285714
234,"AA_0280","HZ_BR","GIEL68","F",13.8756,52.6053,2017,"d","","mm","mm","mm","dd","mm","dd","94","95/100","125","120","70","100","dd","dm","mm","mm","mm","dd",1430,"HI 13",0.6
244,"AA_0290","HZ_BR","GIEL68","F",13.8756,52.6053,2017,"m","","mm","mm","mm","dd","mm","dm","100","95","125","120","90","","mm","mm","mm","mm","mm","",1431,"HI 12",0.869565217391304
4675,"SK880","HZ_SX","GNET","M",11.7411,51.7564,2010,"d","d","d","d","d","d","d","d","","","","","","","","","","","","",1432,"HI 8",0
4676,"SK881","HZ_SX","GNET","M",11.7411,51.7564,2010,"d","d","d","d","d","d","d","d","","","","","","","","","","","","",1433,"HI 8",0
4677,"SK882","HZ_SX","GNET","M",11.7411,51.7564,2010,"d","d","d","d","d","d","d","d","","100","","100","90","100","","dd","","dd","mm","dd",1434,"HI 12",0.125
4678,"SK883","HZ_SX","GNET","M",11.7411,51.7564,2010,"d","d","d","d","d","d","d","d","100","100","100","100","90/100","100","mm","dd","dd","dd","dm","dd",1435,"HI 14",0.15
3971,"SK3376","HZ_BR","GOTTES","M",14.1833,52.6378,2015,"d","m","m","m","m","m","m","m","94/100","95","125","120","70/100","100","dm","mm","mm","mm","dm","dd",1463,"HI 14",0.75
3785,"SK3176","HZ_BR","GOTTES","F",14.1833,52.6378,2015,"d","","mm","mm","mm","mm","mm","mm","94","95","125","120","70/100","80","dd","mm","mm","mm","dm","mm",1464,"HI 13",0.84
3786,"SK3177","HZ_BR","GOTTES","F",14.1833,52.6378,2015,"d","","mm","mm","mm","mm","mm","mm","100","95","125/155","120","100","80","mm","mm","mm","mm","dd","mm",1465,"HI 13",0.88
30,"AA_0076","HZ_BR","GRAB7","M",13.7072,52.2422,2016,"d","m","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",1466,"HI 14",0.05
44,"AA_0090","HZ_BR","GRAB7","M",13.7072,52.2422,2016,"d","m","","","","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",1467,"HI 11",0.0588235294117647
222,"AA_0268","HZ_BR","GRAB7","M",13.7072,52.2422,2017,"d","m","d","d","d","d","d","d","94","100","100","100","70","100","dd","dd","dd","dd","mm","dd",1468,"HI 14",0.15
439,"AA_0504","HZ_MV","GRABO","M",12.5903,53.5678,2017,"d","m","m","m","m","","m","m","100","95","125","120","90/100","80","mm","mm","mm","mm","dm","mm",1469,"HI 13",0.894736842105263
442,"AA_0507","HZ_MV","GRABO","M",12.5903,53.5678,2017,"d","m","m","m","m","","m","m","100","95","125","100","90","100","mm","mm","mm","dd","mm","dd",1470,"HI 13",0.736842105263158
443,"AA_0508","HZ_MV","GRABO","M",12.5903,53.5678,2017,"d","m","m","m","m","","m","m","100","95","125","100","90","100","mm","mm","mm","dd","mm","dd",1471,"HI 13",0.736842105263158
440,"AA_0505","HZ_MV","GRABO","F",12.5903,53.5678,2017,"d","","mm","mm","mm","","mm","mm","100","95","125","100/120","90","80","mm","mm","mm","dm","mm","mm",1472,"HI 12",0.91304347826087
441,"AA_0506","HZ_MV","GRABO","F",12.5903,53.5678,2017,"d","","mm","mm","mm","","","","100","95","125","100","90","80","mm","mm","mm","dd","mm","mm",1473,"HI 10",0.842105263157895
56,"AA_0102","HZ_BR","GRAFD","M",13.1953,51.9097,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",1474,"HI 14",0
4647,"SK838","HZ_BR","GRIM8","M",14.1556,53.425,2010,"m","m","m","m","m","m","m","m","","","","","","","","","","","","",1483,"HI 8",1
4621,"SK805","HZ_BR","GROCH","M",15.2875,52.4386,2010,"m","m","m","m","m","","m","m","","","","","","","","","","","","",1484,"HI 7",1
4622,"SK806","HZ_BR","GROCH","M",15.2875,52.4386,2010,"m","m","m","m","m","m","m","m","","","","","","","","","","","","",1485,"HI 8",1
371,"AA_0417","HZ_BR","GROSBA7","M",14.2775,52.6867,2017,"d","","m","m","m","m","m","m","100","95","100","120","100","80","mm","mm","dd","mm","dd","mm",1486,"HI 13",0.736842105263158
372,"AA_0418","HZ_BR","GROSBA7","M",14.2775,52.6867,2017,"d","m","m","m","m","d","m","m","94","95","100","120","70","80","dd","mm","dd","mm","mm","mm",1487,"HI 14",0.7
380,"AA_0427","HZ_BR","GROSBA7","M",14.2775,52.6867,2017,"d","m","m","m","m","","m","m","100","95","100/125","120","100","80","mm","mm","dm","mm","dd","mm",1488,"HI 13",0.789473684210526
382,"AA_0429","HZ_BR","GROSBA7","M",14.2775,52.6867,2017,"","m","m","m","m","","m","","100","95","125","120","70/90","80","mm","mm","mm","mm","mm","mm",1489,"HI 11",1
383,"AA_0430","HZ_BR","GROSBA7","M",14.2775,52.6867,2017,"d","m","m","m","m","","m","m","100","95","125","120","70","80","mm","mm","mm","mm","mm","mm",1490,"HI 13",0.947368421052632
399,"AA_0446","HZ_BR","GROSBA7","M",14.2775,52.6867,2017,"d","m","m","m","m","","m","m","100","95","100","120","70/90","80","mm","mm","dd","mm","mm","mm",1491,"HI 13",0.842105263157895
