Transect,State,Address,Code,Letter,Number,Mouse_ID,Sex,Latitude,Longitude,Dist0,Year,Month,Day,REGion,mtBamH,Zfy2,SRY1,Y,X332,X347,X65,Tsx,Btk,Syap1,Es1,Gpd1,Idh1,Mpi,Np,Sod1,Es1C,Gpd1C,Idh1C,MpiC,NpC,Sod1C,Lab,Days in lab,BW,L,LCd,Spleen,Left_testis,Right_testis,Testes,Epididymis,Seminal_vesicles,Sperm,Dissociated,Defect,Ovaria,Gravid,Taenia,Hymenolepis,Mastophorus,Rodentolepis,Mesocestoides,Capillaria,Trichuris,Heterakis,Aspiculuris,Syphacia,Oxyurids,Ectoparasites,Leptopsylla,segnis,Ctenophthalmus,agyrtes,Ctenophthalmus,assimilis,Nosophyllus,fasciatus,Hystrichopsylla,sp.,HI_NLoci,HI
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0047,AA_0047,M,52.4978,13.6761,-12.08,2016,9,12,dom,d,m,,m,m,m,m,m,m,m,94/100,100,100/125,100/120,90/100,80,dm,dd,dm,dm,dm,mm,HZ,1,18.3,78,83,0.038,0.077,0.076,0.0765,0.025,0.153,26.9,19.17,0.064,,,0,,0,,,,0,,0,4,4,,,,,,,,,,,,HI 14,0.65
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0048,AA_0048,F,52.4978,13.6761,-12.08,2016,9,23,dom,d,,,,mm,mm,mm,mm,mm,mm,100,95/100,100,100,90/100,80,mm,dm,dd,dd,dm,mm,HZ,1,19.83,88,92,0.043,,,,,,,,,,,0,,0,,,,0,,0,1,1,,,,,,,,,,,,HI 13,0.72
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0049,AA_0049,M,52.4978,13.6761,-12.08,2016,9,23,dom,d,m,,m,m,m,m,m,m,m,100,95/100,100/125,120,90,80,mm,dm,dm,mm,mm,mm,HZ,0,18.53,83,79,0.049,0.096,0.094,0.095,0.027,0.156,43.7,24.4,0.031,,,0,,0,,,,0,,0,7,7,,,,,,,,,,,,HI 14,0.85
HZ_BR,D,Hoppegarten 1,HOPPE1,AA,_0050,AA_0050,M,52.4978,13.6761,-12.08,2016,9,23,dom,d,m,,m,m,m,m,m,m,m,94/100,100,100/125,120,90/100,80,dm,dd,dm,mm,dm,mm,HZ,0,17.63,82,78,0.029,0.073,0.071,0.072,0.022,0.129,25.3,18.32,0.027,,,0,,0,,,,0,,0,15,15,,,,,,,,,,,,HI 14,0.7
HZ_BR,D,Zinndorf,ZINND,AA,_0051,AA_0051,F,52.5028,13.9289,5.02,2016,9,23,mus,d,,,,mm,mm,mm,dd,mm,mm,100,95,100/125,120,100,80,mm,mm,dm,mm,dd,mm,HZ,1,14.23,76,69,0.063,,,,,,,,,,,0,,0,,,,0,,0,8,8,,,,,,,,,,,,HI 13,0.76
HZ_BR,D,Zinndorf,ZINND,AA,_0052,AA_0052,M,52.5028,13.9289,5.02,2016,9,23,mus,d,m,,m,,m,d,d,d,m,100,95,100/125,120,70/100,100,mm,mm,dm,mm,dm,dd,HZ,1,17.04,83,79,0.081,0.054,0.052,0.053,0.019,0.087,22.8,18.97,0.056,,,0,,0,,,,0,,0,4,4,,,,,,,,,,,,HI 13,0.5789473684
HZ_BR,D,Zinndorf,ZINND,AA,_0053,AA_0053,F,52.5028,13.9289,5.02,2016,9,23,mus,,,,,mm,mm,dd,dd,mm,,100,100,100/125,120,70/100,80,mm,dd,dm,mm,dm,mm,HZ,1,20.18,85,78,,,,,,,,,,,,0,,0,,,,0,,0,350,350,,,,,,,,,,,,HI 11,0.6363636364
HZ_BR,D,Zinndorf,ZINND,AA,_0054,AA_0054,F,52.5028,13.9289,5.02,2016,9,23,mus,,,,,mm,mm,dd,dd,mm,mm,100,95,100,120,70/100,80,mm,mm,dd,mm,dm,mm,HZ,1,13.83,69,72,0.039,,,,,,,,,,,0,,0,,,,0,,0,34,34,,,,,,,,,,,,HI 12,0.7083333333
HZ_BR,D,Falkenthal 8C,FALK8C,AA,_0055,AA_0055,M,52.91,13.3064,-15.21,2016,9,23,dom,d,d,,d,d,d,d,d,d,d,94,100,100,100,100,100,dd,dd,dd,dd,dd,dd,HZ,1,15.18,80,89,,0.058,0.062,0.06,0.022,0.105,23.3,17.39,0.041,,,0,,0,,,,0,,0,0,0,,,,,,,,,,,,HI 14,0
HZ_BR,D,Falkenthal 8C,FALK8C,AA,_0056,AA_0056,F,52.91,13.3064,-15.21,2016,9,23,dom,d,,,,dd,dd,dd,dd,dd,dd,94,100,100,100,90,100,dd,dd,dd,dd,mm,dd,HZ,1,8.75,62,80,0.006,,,,,,,,,,,0,,0,,,,0,,0,8,8,,,,,,,,,,,,HI 13,0.08
