Sample_ID,PCR_Results_Ap5,Raw_count_by_A_Neubauer_1bigsquare,Raw_count_by_P_Neubauer_1bigsquare,Raw_count_by_E,Weight_feces_.g.,Volume_mL,Box_No
AA_0151,NA,0,0,,2,4,NA
AA_0152,NA,0,0,,3,4,NA
AA_0153,NA,0,0,,2,4,NA
AA_0154,NA,0,0,,4,4,NA
AA_0155,NA,0,0,,3,4,NA
AA_0156,NA,0,0,,2,4,NA
AA_0157,NA,0,0,,4,4,NA
AA_0158,NA,0,0,,4,4,NA
AA_0159,NA,0,0,,4,4,NA
AA_0160,NA,0,0,,3,4,NA
AA_0161,NA,0,0,,4,4,NA
AA_0162,NA,0,0,,2,4,NA
AA_0163,NA,0,0,,4,4,NA
AA_0164,NA,0,0,,6,4,NA
AA_0165,NA,0,8,,4,4,NA
AA_0166,NA,0,0,,4,4,NA
AA_0167,NA,0,3,,4,4,3
AA_0168,NA,0,0,,4,4,NA
AA_0169,NA,0,6,,4,4,NA
AA_0170,NA,0,0,,4,4,NA
AA_0171,NA,0,0,,4,4,NA
AA_0172,NA,0,0,,4,4,7
AA_0173,NA,11.25,6,,3,4,6
AA_0174,NA,0,0,,4,4,2
AA_0175,NA,0.5,0,,4,4,6
AA_0176,NA,0,0,,4,4,7
AA_0177,NA,0,0,,4,4,7
AA_0178,NA,0,0,,3.5,4,6
AA_0179,NA,2.25,1,,4,4,7
AA_0180,NA,0.5,0,,4,4,7
AA_0181,NA,0,0,,4,4,7
AA_0182,NA,0,0,,4,4,7
AA_0183,NA,0,0,,4,4,6
AA_0184,NA,0,7,,4,4,NA
AA_0185,NA,0,0,,4,4,6
AA_0186,NA,0,3,,3,4,6
AA_0187,NA,#VALUE!,0,,4,4,6
AA_0188,NA,0,0,,3,4,7
AA_0189,NA,0,3,,4,4,6
AA_0190,NA,0,0,,4,4,6
AA_0191,NA,0,1,,2,4,6
AA_0192,NA,0,0,,2,4,6
AA_0193,NA,0,0,,2.5,4,6
AA_0194,NA,0,0,,2.5,4,6
AA_0195,NA,0,0,,2.5,4,6
AA_0196,NA,0,0,,4,4,7
AA_0197,NA,0,0,,1,4,2
AA_0198,NA,0,0,,3.5,4,2
AA_0199,NA,0,1,,3.5,4,2
AA_0200,NA,0,0,,3.5,4,2
AA_0201,NA,0,0,,4,4,2
AA_0202,NA,0,0,,4,4,7
AA_0203,NA,0,0,,3,4,2
AA_0204,NA,1.75,2,,2,4,3
AA_0205,NA,0,0,,2,4,7
AA_0206,NA,0,0,,4,4,7
AA_0207,NA,0,1,,4,4,2
AA_0208,NA,0,0,,4,4,3
AA_0209,NA,0,0,,4,4,3
AA_0210,NA,0,0,,4,4,3
AA_0211,NA,0,1,,4,4,2
