"Sample_ID","Flotation","PCR_AP5","at.least.1.other.marker_ORF_COI_or_18S","Box_No","Observation","Weight_feces_.g.","Raw_Count","Oocysts.ml","OPG_.oocysts.ml.g_of_faeces."
"SK_3196",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3187",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3178",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3197",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3188",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3179",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3207",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3198",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3189",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3180",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3171",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3208",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3139",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3190",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3181",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3172",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3209",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3191",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3182",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3173",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3210",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3201",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3192",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3183",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3174",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3211",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3193",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3175",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3212",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3194",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3176",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3213",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3204",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3195",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3177",NA,NA,NA,1,NA,NA,NA,NA,NA
"SK_3092",NA,NA,NA,2,NA,NA,NA,NA,NA
