count,Mouse_ID,feces_weight_g_original_wrong,feces_weight_g,oocyst_1_big_square_neubauer,oocyst_per_ml,total_volume_ml,oocysts_in_feces,OPG_if_0.4g,year
Phuong,AA_0001,3,0.4,0,0,4,0,0,2016
Phuong,AA_0002,1.5,0.4,0,0,4,0,0,2016
Phuong,AA_0003,1,0.4,0,0,4,0,0,2016
Phuong,AA_0004,1,0.4,0,0,4,0,0,2016
Phuong,AA_0005,1,0.4,0,0,4,0,0,2016
Phuong,AA_0006,1,0.4,0,0,4,0,0,2016
Phuong,AA_0007,3,0.4,0,0,4,0,0,2016
Phuong,AA_0008,3.5,0.4,0,0,4,0,0,2016
Phuong,AA_0009,2,0.4,0,0,4,0,0,2016
Phuong,AA_0010,3.5,0.4,0,0,4,0,0,2016
Phuong,AA_0011,2,0.4,0,0,4,0,0,2016
Phuong,AA_0012,1,0.4,0,0,4,0,0,2016
Phuong,AA_0013,1.5,0.4,0,0,4,0,0,2016
Phuong,AA_0014,1.5,0.4,0,0,4,0,0,2016
Phuong,AA_0015,2,0.4,0,0,4,0,0,2016
Phuong,AA_0017,1,0.4,0,0,4,0,0,2016
Phuong,AA_0018,1,0.4,0,0,4,0,0,2016
Phuong,AA_0019,1,0.4,0,0,4,0,0,2016
Phuong,AA_0020,1.5,0.4,0,0,4,0,0,2016
Phuong,AA_0021,2,0.4,0,0,4,0,0,2016
Phuong,AA_0022,2,0.4,0,0,4,0,0,2016
Phuong,AA_0023,3.5,0.4,0,0,4,0,0,2016
Phuong,AA_0024,3,0.4,0,0,4,0,0,2016
Phuong,AA_0025,4,0.4,0,0,4,0,0,2016
Phuong,AA_0026,1,0.4,0,0,4,0,0,2016
Phuong,AA_0027,3,0.4,0,0,4,0,0,2016
Phuong,AA_0028,5,0.4,0,0,4,0,0,2016
Phuong,AA_0029,1.5,0.4,0,0,4,0,0,2016
Phuong,AA_0030,3,0.4,0,0,4,0,0,2016
Phuong,AA_0031,3,0.4,0,0,4,0,0,2016
Phuong,AA_0032,4,0.4,0,0,4,0,0,2016
Phuong,AA_0033,4,0.4,0,0,4,0,0,2016
Phuong,AA_0034,4,0.4,0,0,4,0,0,2016
Phuong,AA_0035,4,0.4,0,0,4,0,0,2016
Phuong,AA_0036,4,0.4,0,0,4,0,0,2016
Phuong,AA_0037,4,0.4,0,0,4,0,0,2016
Phuong,AA_0038,4,0.4,0,0,4,0,0,2016
Phuong,AA_0039,2,0.4,0,0,4,0,0,2016
Phuong,AA_0040,2,0.4,0,0,4,0,0,2016
Phuong,AA_0041,2,0.4,0,0,4,0,0,2016
Phuong,AA_0042,2.5,0.4,0,0,4,0,0,2016
Phuong,AA_0043,0.3,0.4,0,0,4,0,0,2016
Phuong,AA_0045,0.5,0.4,0,0,4,0,0,2016
Phuong,AA_0046,1,0.4,0,0,4,0,0,2016
Phuong,AA_0147,4,0.4,0,0,4,0,0,2016
Phuong,AA_0148,4,0.4,0,0,4,0,0,2016
Phuong,AA_0149,2,0.4,0,0,4,0,0,2016
Phuong,AA_0150,3,0.4,0,0,4,0,0,2016
Phuong,AA_0151,2,0.4,0,0,4,0,0,2016
Phuong,AA_0152,3,0.4,0,0,4,0,0,2016
Phuong,AA_0153,2,0.4,0,0,4,0,0,2016
Phuong,AA_0154,4,0.4,0,0,4,0,0,2016
Phuong,AA_0155,3,0.4,0,0,4,0,0,2016
Phuong,AA_0156,2,0.4,0,0,4,0,0,2016
Phuong,AA_0157,4,0.4,0,0,4,0,0,2016
Phuong,AA_0158,4,0.4,0,0,4,0,0,2016
Phuong,AA_0159,4,0.4,0,0,4,0,0,2016
