"","Mouse_ID","MC.Eimeria","delta"
"53","AA_0576",FALSE,-10.87
"54","AA_0577",FALSE,-9.04
"55","AA_0578",FALSE,-8.85
"56","AA_0579",TRUE,-0.100000000000001
"57","AA_0580",FALSE,-8.81
"58","AA_0581",FALSE,-9.2
"59","AA_0582",FALSE,-11.59
"60","AA_0583",FALSE,-8.75
"61","AA_0584",FALSE,-7.63
"62","AA_0585",FALSE,-8.66
"63","AA_0586",FALSE,-10.17
"64","AA_0587",FALSE,-10.27
"65","AA_0588",FALSE,-8.48
"66","AA_0589",FALSE,-8.85
"67","AA_0590",FALSE,-8.57
"68","AA_0591",TRUE,3.25
"69","AA_0592",FALSE,-6.93
"70","AA_0593",FALSE,-9.1
"71","AA_0594",FALSE,-9.67
"72","AA_0595",FALSE,-8.03
"73","AA_0596",FALSE,-8.03
"74","AA_0597",FALSE,-6.42
"75","AA_0598",FALSE,-10.12
"76","AA_0599",FALSE,-9.42
"77","AA_0600",FALSE,-8.89
"78","AA_0601",FALSE,-9.72
"79","AA_0602",FALSE,-8.96
"80","AA_0603",FALSE,-10.65
"81","AA_0604",FALSE,-10.26
"82","AA_0605",FALSE,-8.34
"83","AA_0606",FALSE,-8.32
"84","AA_0607",FALSE,-8.98
"85","AA_0608",FALSE,-9.61
"86","AA_0609",FALSE,-9.5
"87","AA_0610",FALSE,-9.81
"88","AA_0611",FALSE,-8.07
"89","AA_0612",FALSE,-9.24
"90","AA_0613",FALSE,-9.29
"91","AA_0614",FALSE,-9.18
"92","AA_0615",FALSE,-14.52
"93","AA_0616",FALSE,-8.7
"94","AA_0617",FALSE,-7.75
"95","AA_0618",FALSE,-8.33
"96","AA_0619",FALSE,-9.42
"97","AA_0620",FALSE,-7.81
"98","AA_0621",FALSE,-9.09
"99","AA_0622",FALSE,-7.42
"100","AA_0623",TRUE,-6.78
"101","AA_0624",FALSE,-8.57
"102","AA_0625",FALSE,-8.2
"103","AA_0626",FALSE,-9.41
"104","AA_0627",FALSE,-13.45
"105","AA_0629",FALSE,-9.23
"106","AA_0630",FALSE,-12.28
"107","AA_0631",TRUE,-7.74
"108","AA_0632",FALSE,-9.75
"109","AA_0633",FALSE,-9.67
"110","AA_0634",FALSE,-8.41
"111","AA_0635",TRUE,-5.82
"112","AA_0636",TRUE,-6.82
"113","AA_0637",FALSE,-8.47
"114","AA_0638",FALSE,-9
"115","AA_0639",FALSE,-10.42
"116","AA_0640",FALSE,-9.57
"117","AA_0641",FALSE,-10.38
"118","AA_0642",FALSE,-9.53
"119","AA_0643",TRUE,-8.06
"120","AA_0644",FALSE,-7.24
"121","AA_0645",FALSE,-11.11
"122","AA_0646",TRUE,-5.08
"123","AA_0647",FALSE,-9.64
"124","AA_0648",FALSE,-8.71
"125","AA_0649",FALSE,-9.3
"126","AA_0650",TRUE,-2.15
"127","AA_0651",FALSE,-9.12
"128","AA_0652",FALSE,-10.06
"129","AA_0653",FALSE,-9.64
"130","AA_0654",FALSE,-7.82
"131","AA_0655",FALSE,-8.45
"132","AA_0656",FALSE,-9.62
"133","AA_0657",FALSE,-8.6
"134","AA_0658",FALSE,-10.46
"135","AA_0659",FALSE,-13.12
"136","AA_0660",FALSE,-9.57
"137","AA_0661",TRUE,-1.81
"138","AA_0662",TRUE,-2.5
"139","AA_0663",FALSE,-8.67
"140","AA_0664",FALSE,-9.08
"141","AA_0665",FALSE,-7.97
"142","AA_0666",TRUE,-5.13
"143","AA_0667",FALSE,-10.46
"144","AA_0668",FALSE,-8.53
"145","AA_0669",FALSE,-9.98
"146","AA_0670",FALSE,-7.48
"147","AA_0671",FALSE,-8.25
"148","AA_0672",FALSE,-10.96
"149","AA_0673",FALSE,-8.22
"150","AA_0674",FALSE,-9.48
"151","AA_0675",FALSE,-7.93
"152","AA_0676",FALSE,-9.57
"153","AA_0677",FALSE,-9.13
"154","AA_0678",FALSE,-7.98
"155","AA_0679",FALSE,-10.17
"156","AA_0680",FALSE,-8.2
