Mouse_ID,Feces,Feces_used,Oocyst_sq1,Oocyst_sq2,Oocyst_sq3,Oocyst_sq4,Sume,PBS_vol,Oocyst_mL,Oocyst_tube,OPG
AA_0524,1.1,0.46,0,0,0,0,0,2,0,0,0
AA_0525,0.34,0.16,0,0,1,0,1,2,2500,5000,31250
AA_0526,0.97,0.51,0,0,0,0,0,2,0,0,0
AA_0527,0.7,0.33,0,0,0,0,0,2,0,0,0
AA_0528,0.28,0.14,0,0,0,0,0,2,0,0,0
AA_0529,0.17,0.08,0,0,0,0,0,2,0,0,0
AA_0530,0.45,0.21,1,3,0,0,4,2,10000,20000,95238.1
AA_0531,0.13,0.07,0,0,0,0,0,2,0,0,0
AA_0532,0.23,0.12,0,0,0,0,0,2,0,0,0
AA_0533,0.32,0.17,0,0,0,0,0,2,0,0,0
AA_0534,0.36,0.36,0,0,0,0,0,1,0,0,0
AA_0535,0.26,0.13,0,0,0,0,0,4,0,0,0
AA_0536,0.11,0.06,0,0,0,0,0,2,0,0,0
AA_0537,0.35,0.35,0,0,0,0,0,1,0,0,0
AA_0538,0.68,0.36,0,0,0,0,0,2,0,0,0
AA_0539,0.42,0.23,0,0,0,0,0,2,0,0,0
AA_0540,0.22,0.1,0,0,0,0,0,2,0,0,0
AA_0541,0.15,0.07,0,0,0,0,0,2,0,0,0
AA_0542,0.33,0.16,1,0,0,0,1,2,2500,5000,31250
AA_0543,0.25,0.13,0,0,0,0,0,2,0,0,0
AA_0544,0.63,0.32,0,0,0,0,0,2,0,0,0
AA_0545,0.59,0.59,0,0,0,0,0,1,0,0,0
AA_0546,0.44,0.44,0,0,0,0,0,1,0,0,0
AA_0547,0.08,0.04,0,0,0,0,0,2,0,0,0
AA_0548,0.03,0.03,0,0,0,0,0,2,0,0,0
AA_0549,0.07,0.04,0,0,0,0,0,2,0,0,0
AA_0550,0.08,0.04,0,0,0,0,0,2,0,0,0
AA_0551,0.16,0.08,0,0,0,0,0,2,0,0,0
AA_0552,0.32,0.15,0,0,0,0,0,2,0,0,0
AA_0553,0.14,0.14,0,0,0,0,0,2,0,0,0
AA_0554,0.14,0.14,0,0,0,0,0,1,0,0,0
AA_0555,0.16,0.16,0,0,0,0,0,1,0,0,0
AA_0556,0.49,0.2,0,0,0,0,0,2,0,0,0
AA_0557,0.47,0.21,0,0,0,0,0,2,0,0,0
AA_0558,0.1,0.05,0,0,0,0,0,2,0,0,0
