AA_0687,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,14.42,82.1,77.3,0.0367,NA,NA,NA,NA,NA,NA,0.38,0,0,0,0,0,0,0,0,7
AA_0688,HZ_BR,Germany,Zehdenickerstr. 8B,52.9789,13.7325,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,11.6,73.6,61.1,0.0309,0.0481,0.0513,0.0142,0.0708,NA,NA,0.22,0,0,0,0,0,0,0,0,0
AA_0689,HZ_BR,Germany,Zehdenickerstr. 8B,52.9789,13.7325,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,17.65,85.4,79.4,0.0471,0.0677,0.074,0.0175,0.1179,NA,NA,0.54,0,19,0,0,0,0,0,0,2
AA_0690,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,15.51,84.7,78.7,0.0439,NA,NA,NA,NA,NA,NA,0.59,0,0,0,0,0,0,0,0,0
AA_0691,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,15.47,82.8,74.4,0.0516,NA,NA,NA,NA,NA,NA,0.18,0,0,0,0,0,0,0,0,1
AA_0693,HZ_BR,Germany,Zehdenickerstr. 8B,52.9789,13.7325,11/09/19,12/09/19,female,adult,Mus musculus,2019,FALSE,14.06,76.6,68.5,0.0503,NA,NA,NA,NA,NA,NA,0.32,0,4,0,0,0,0,0,0,0
AA_0694,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,9.92,68.4,61.7,0.0271,NA,NA,NA,NA,NA,NA,0.24,0,2,0,0,0,0,0,0,0
AA_0695,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,female,pregnant,Mus musculus,2019,FALSE,17.2,92.3,82.9,0.0339,NA,NA,NA,NA,4,4,0.1,0,0,0,0,0,0,0,0,0
AA_0696,HZ_BR,Germany,Zehdenickerstr. 8C,52.9794,13.7299,11/09/19,12/09/19,male,young,Mus musculus,2019,FALSE,8.56,66.2,64,0.0201,NA,NA,NA,NA,NA,NA,0.36,0,0,0,0,0,0,0,0,0
AA_0697,HZ_BR,Germany,Angermunde,52.9756,13.9851,11/09/19,12/09/19,male,adult,Mus musculus,2019,FALSE,16.11,81.8,78.8,0.0147,0.0788,0.0802,0.1297,0.0202,NA,NA,0.54,0,0,0,0,0,0,0,0,0
