"","Mouse_ID","Ct.Eimeria","MC.Eimeria","Ct.Mus","delta","EXP_type"
"1","AA_0681",32.67,FALSE,24.3266666666667,-8.34333333333333,"wild"
"3","AA_0682",36.4966666666667,FALSE,27.09,-9.40666666666667,"wild"
"5","AA_0683",34.3866666666667,FALSE,22.91,-11.4766666666667,"wild"
"7","AA_0684",34.07,FALSE,23.06,-11.01,"wild"
"9","AA_0685",34.7166666666667,TRUE,23.78,-10.9366666666667,"wild"
"11","AA_0686",34.35,TRUE,23.51,-10.84,"wild"
"13","AA_0687",31.1166666666667,TRUE,22.33,-8.78666666666667,"wild"
"15","AA_0688",29.4833333333333,TRUE,21.95,-7.53333333333333,"wild"
"17","AA_0689",25.67,TRUE,23.31,-2.36,"wild"
"19","AA_0690",30.4466666666667,FALSE,22.6233333333333,-7.82333333333333,"wild"
"21","AA_0691",32.6033333333333,FALSE,25.87,-6.73333333333333,"wild"
"23","AA_0692",32.69,FALSE,27.22,-5.47,"wild"
"25","AA_0693",31.8966666666667,TRUE,24.38,-7.51666666666667,"wild"
"27","AA_0694",26.1466666666667,TRUE,24.02,-2.12666666666667,"wild"
"29","AA_0695",30.8066666666667,TRUE,19.3866666666667,-11.42,"wild"
"31","AA_0696",31.22,TRUE,23.9666666666667,-7.25333333333334,"wild"
"33","AA_0697",32.17,FALSE,25.0266666666667,-7.14333333333333,"wild"
"35","AA_0698",31.2733333333333,FALSE,22.2466666666667,-9.02666666666667,"wild"
"37","AA_0699",30.76,FALSE,21.69,-9.07,"wild"
"39","AA_0700",32.84,TRUE,23.45,-9.39,"wild"
"41","AA_0701",33.03,TRUE,24.0933333333333,-8.93666666666667,"wild"
"43","AA_0702",33.1933333333333,FALSE,23.375,-9.81833333333334,"wild"
"45","AA_0703",33.5466666666667,FALSE,24.69,-8.85666666666667,"wild"
"47","AA_0704",32.93,FALSE,23.52,-9.41,"wild"
"49","AA_0705",34.44,FALSE,22.72,-11.72,"wild"
"51","AA_0706",34.1566666666667,FALSE,23.4833333333333,-10.6733333333333,"wild"
"53","AA_0708",32.6733333333333,FALSE,21.7433333333333,-10.93,"wild"
"55","AA_0709",33.4233333333333,FALSE,22.87,-10.5533333333333,"wild"
"57","AA_0710",35.1933333333333,FALSE,25.84,-9.35333333333333,"wild"
