Mouse_ID,Ct SYBR,Ct Mean SYBR,Ct Dev. SYBR,Amount SYBR [Copies],Amount Mean SYBR,Amount Dev. SYBR,Target SYBR,delta
CEWE_AA_612,21.43,21.38,0.04,1.00,,,mouse,
CEWE_AA_612,21.37,21.38,0.04,1.00,,,mouse,
CEWE_AA_612,21.36,21.38,0.04,1.00,,,mouse,
CEWE_AA_613,32.27,31.42,0.78,1.00,,,eimeria,9.29
CEWE_AA_613,31.27,31.42,0.78,1.00,,,eimeria,
CEWE_AA_613,30.72,31.42,0.78,1.00,,,eimeria,
CEWE_AA_613,22.38,22.13,0.32,1.00,,,mouse,
CEWE_AA_613,21.77,22.13,0.32,1.00,,,mouse,
CEWE_AA_613,22.23,22.13,0.32,1.00,,,mouse,
CEWE_AA_614,31.72,31.68,0.16,1.00,,,eimeria,9.18
CEWE_AA_614,31.81,31.68,0.16,1.00,,,eimeria,
CEWE_AA_614,31.51,31.68,0.16,1.00,,,eimeria,
CEWE_AA_614,22.38,22.50,0.26,1.00,,,mouse,
CEWE_AA_614,22.32,22.50,0.26,1.00,,,mouse,
CEWE_AA_614,22.80,22.50,0.26,1.00,,,mouse,
CEWE_AA_615,34.63,34.78,0.22,1.00,,,eimeria,14.52
CEWE_AA_615,34.94,34.78,0.22,1.00,,,eimeria,
CEWE_AA_615,,34.78,0.22,1.00,,,eimeria,
CEWE_AA_615,19.98,20.26,0.29,1.00,,,mouse,
CEWE_AA_615,20.25,20.26,0.29,1.00,,,mouse,
CEWE_AA_615,20.56,20.26,0.29,1.00,,,mouse,
CEWE_AA_616,30.17,30.51,0.42,1.00,,,eimeria,8.7
CEWE_AA_616,30.38,30.51,0.42,1.00,,,eimeria,
CEWE_AA_616,30.97,30.51,0.42,1.00,,,eimeria,
CEWE_AA_616,21.93,21.81,0.27,1.00,,,mouse,
CEWE_AA_616,21.50,21.81,0.27,1.00,,,mouse,
CEWE_AA_616,21.99,21.81,0.27,1.00,,,mouse,
CEWE_AA_617,32.70,32.04,0.57,1.00,,,eimeria,7.75
CEWE_AA_617,31.78,32.04,0.57,1.00,,,eimeria,
CEWE_AA_617,31.64,32.04,0.57,1.00,,,eimeria,
CEWE_AA_617,24.30,24.29,0.03,1.00,,,mouse,
CEWE_AA_617,24.32,24.29,0.03,1.00,,,mouse,
CEWE_AA_617,24.26,24.29,0.03,1.00,,,mouse,
CEWE_AA_618,31.88,31.04,0.73,1.00,,,eimeria,8.33
CEWE_AA_618,30.65,31.04,0.73,1.00,,,eimeria,
CEWE_AA_618,30.58,31.04,0.73,1.00,,,eimeria,
CEWE_AA_618,22.80,22.71,0.15,1.00,,,mouse,
CEWE_AA_618,22.53,22.71,0.15,1.00,,,mouse,
CEWE_AA_618,22.80,22.71,0.15,1.00,,,mouse,
CEWE_AA_619,32.22,31.72,0.45,1.00,,,eimeria,9.42
CEWE_AA_619,31.36,31.72,0.45,1.00,,,eimeria,
CEWE_AA_619,31.59,31.72,0.45,1.00,,,eimeria,
CEWE_AA_619,22.25,22.30,0.04,1.00,,,mouse,
CEWE_AA_619,22.33,22.30,0.04,1.00,,,mouse,
CEWE_AA_619,22.31,22.30,0.04,1.00,,,mouse,
CEWE_AA_620,32.82,31.89,0.80,1.00,,,eimeria,7.81
CEWE_AA_620,31.45,31.89,0.80,1.00,,,eimeria,
CEWE_AA_620,31.41,31.89,0.80,1.00,,,eimeria,
CEWE_AA_620,24.16,24.08,0.30,1.00,,,mouse,
CEWE_AA_620,23.74,24.08,0.30,1.00,,,mouse,
CEWE_AA_620,24.33,24.08,0.30,1.00,,,mouse,
CEWE_AA_621,33.46,32.05,1.26,1.00,,,eimeria,9.09
CEWE_AA_621,31.59,32.05,1.26,1.00,,,eimeria,
CEWE_AA_621,31.08,32.05,1.26,1.00,,,eimeria,
CEWE_AA_621,22.86,22.96,0.21,1.00,,,mouse,
CEWE_AA_621,22.82,22.96,0.21,1.00,,,mouse,
CEWE_AA_621,23.20,22.96,0.21,1.00,,,mouse,
CEWE_AA_622,30.04,29.96,0.12,1.00,,,eimeria,7.42
CEWE_AA_622,29.83,29.96,0.12,1.00,,,eimeria,
CEWE_AA_622,30.02,29.96,0.12,1.00,,,eimeria,
CEWE_AA_622,22.66,22.54,0.14,1.00,,,mouse,
CEWE_AA_622,22.39,22.54,0.14,1.00,,,mouse,
CEWE_AA_622,22.58,22.54,0.14,1.00,,,mouse,
CEWE_AA_623,29.86,29.42,0.45,1.00,,,eimeria,6.78
CEWE_AA_623,28.96,29.42,0.45,1.00,,,eimeria,
CEWE_AA_623,29.44,29.42,0.45,1.00,,,eimeria,
CEWE_AA_623,22.85,22.64,0.23,1.00,,,mouse,
CEWE_AA_623,22.40,22.64,0.23,1.00,,,mouse,
CEWE_AA_623,22.66,22.64,0.23,1.00,,,mouse,
CEWE_AA_624,31.34,31.16,0.18,1.00,,,eimeria,8.57
CEWE_AA_624,30.97,31.16,0.18,1.00,,,eimeria,
CEWE_AA_624,31.17,31.16,0.18,1.00,,,eimeria,
CEWE_AA_624,22.55,22.59,0.09,1.00,,,mouse,
CEWE_AA_624,22.52,22.59,0.09,1.00,,,mouse,
CEWE_AA_624,22.69,22.59,0.09,1.00,,,mouse,
CEWE_AA_625,36.02,,,1.00,,,eimeria,8.17
CEWE_AA_625,36.69,,,1.00,,,eimeria,
CEWE_AA_625,,,,1.00,,,eimeria,
CEWE_AA_625,28.55,28.30,0.27,1.00,,,mouse,
CEWE_AA_625,28.01,28.30,0.27,1.00,,,mouse,
CEWE_AA_625,28.33,28.30,0.27,1.00,,,mouse,
CEWE_AA_626,31.00,30.92,0.08,1.00,,,eimeria,9.41
CEWE_AA_626,30.91,30.92,0.08,1.00,,,eimeria,
CEWE_AA_626,30.84,30.92,0.08,1.00,,,eimeria,
CEWE_AA_626,21.56,21.51,0.15,1.00,,,mouse,
CEWE_AA_626,21.35,21.51,0.15,1.00,,,mouse,
CEWE_AA_626,21.63,21.51,0.15,1.00,,,mouse,
CEWE_AA_627,35.59,36.19,0.85,1.00,,,eimeria,13.45
CEWE_AA_627,36.80,36.19,0.85,1.00,,,eimeria,
CEWE_AA_627,,36.19,0.85,1.00,,,eimeria,
CEWE_AA_627,22.87,22.74,0.36,1.00,,,mouse,
CEWE_AA_627,22.33,22.74,0.36,1.00,,,mouse,
CEWE_AA_627,23.01,22.74,0.36,1.00,,,mouse,
CEWE_AA_629,31.07,30.77,0.28,1.00,,,eimeria,9.23
CEWE_AA_629,30.50,30.77,0.28,1.00,,,eimeria,
CEWE_AA_629,30.73,30.77,0.28,1.00,,,eimeria,
CEWE_AA_629,21.56,21.54,0.32,1.00,,,mouse,
CEWE_AA_629,21.22,21.54,0.32,1.00,,,mouse,
CEWE_AA_629,21.85,21.54,0.32,1.00,,,mouse,
CEWE_AA_630,33.73,33.78,0.07,1.00,,,eimeria,12.28
CEWE_AA_630,33.85,33.78,0.07,1.00,,,eimeria,
CEWE_AA_630,33.74,33.78,0.07,1.00,,,eimeria,
CEWE_AA_630,21.48,21.50,0.32,1.00,,,mouse,
CEWE_AA_630,21.19,21.50,0.32,1.00,,,mouse,
CEWE_AA_630,21.82,21.50,0.32,1.00,,,mouse,
CEWE_AA_631,29.53,29.42,0.14,1.00,,,eimeria,7.74
CEWE_AA_631,29.27,29.42,0.14,1.00,,,eimeria,
CEWE_AA_631,29.47,29.42,0.14,1.00,,,eimeria,
CEWE_AA_631,21.81,21.68,0.23,1.00,,,mouse,
CEWE_AA_631,21.41,21.68,0.23,1.00,,,mouse,
CEWE_AA_631,21.81,21.68,0.23,1.00,,,mouse,
CEWE_AA_632,33.83,33.35,0.52,1.00,,,eimeria,9.75
CEWE_AA_632,32.79,33.35,0.52,1.00,,,eimeria,
CEWE_AA_632,33.44,33.35,0.52,1.00,,,eimeria,
CEWE_AA_632,23.44,23.60,0.15,1.00,,,mouse,
CEWE_AA_632,23.62,23.60,0.15,1.00,,,mouse,
CEWE_AA_632,23.74,23.60,0.15,1.00,,,mouse,
CEWE_AA_633,31.39,31.03,0.34,1.00,,,eimeria,9.67
CEWE_AA_633,30.72,31.03,0.34,1.00,,,eimeria,
CEWE_AA_633,30.99,31.03,0.34,1.00,,,eimeria,
CEWE_AA_633,21.19,21.36,0.24,1.00,,,mouse,
CEWE_AA_633,21.27,21.36,0.24,1.00,,,mouse,
CEWE_AA_633,21.63,21.36,0.24,1.00,,,mouse,
CEWE_AA_634,29.88,30.07,0.36,1.00,,,eimeria,8.41
CEWE_AA_634,30.48,30.07,0.36,1.00,,,eimeria,
CEWE_AA_634,29.84,30.07,0.36,1.00,,,eimeria,
CEWE_AA_634,21.57,21.66,0.10,1.00,,,mouse,
CEWE_AA_634,21.77,21.66,0.10,1.00,,,mouse,
CEWE_AA_634,21.64,21.66,0.10,1.00,,,mouse,
CEWE_AA_635,27.46,27.25,0.21,1.00,,,eimeria,5.82
CEWE_AA_635,27.03,27.25,0.21,1.00,,,eimeria,
CEWE_AA_635,27.26,27.25,0.21,1.00,,,eimeria,
CEWE_AA_635,21.32,21.43,0.32,1.00,,,mouse,
CEWE_AA_635,21.17,21.43,0.32,1.00,,,mouse,
CEWE_AA_635,21.79,21.43,0.32,1.00,,,mouse,
CEWE_AA_636,29.66,28.97,0.67,1.00,,,eimeria,6.82
CEWE_AA_636,28.33,28.97,0.67,1.00,,,eimeria,
CEWE_AA_636,28.93,28.97,0.67,1.00,,,eimeria,
CEWE_AA_636,22.31,22.15,0.29,1.00,,,mouse,
CEWE_AA_636,21.81,22.15,0.29,1.00,,,mouse,
CEWE_AA_636,22.34,22.15,0.29,1.00,,,mouse,
CEWE_AA_637,30.46,30.99,0.62,1.00,,,eimeria,8.47
CEWE_AA_637,30.85,30.99,0.62,1.00,,,eimeria,
CEWE_AA_637,31.67,30.99,0.62,1.00,,,eimeria,
CEWE_AA_637,22.73,22.52,0.20,1.00,,,mouse,
CEWE_AA_637,22.33,22.52,0.20,1.00,,,mouse,
CEWE_AA_637,22.51,22.52,0.20,1.00,,,mouse,
CEWE_AA_638,31.47,31.28,0.51,1.00,,,eimeria,9
CEWE_AA_638,31.67,31.28,0.51,1.00,,,eimeria,
CEWE_AA_638,30.71,31.28,0.51,1.00,,,eimeria,
CEWE_AA_638,22.34,22.28,0.23,1.00,,,mouse,
CEWE_AA_638,22.02,22.28,0.23,1.00,,,mouse,
CEWE_AA_638,22.48,22.28,0.23,1.00,,,mouse,
CEWE_AA_639,32.80,32.40,0.50,1.00,,,eimeria,10.42
CEWE_AA_639,31.83,32.40,0.50,1.00,,,eimeria,
CEWE_AA_639,32.55,32.40,0.50,1.00,,,eimeria,
CEWE_AA_639,22.09,21.98,0.12,1.00,,,mouse,
CEWE_AA_639,21.85,21.98,0.12,1.00,,,mouse,
CEWE_AA_639,22.01,21.98,0.12,1.00,,,mouse,
CEWE_AA_640,31.70,31.42,0.65,1.00,,,eimeria,9.57
CEWE_AA_640,30.67,31.42,0.65,1.00,,,eimeria,
CEWE_AA_640,31.89,31.42,0.65,1.00,,,eimeria,
CEWE_AA_640,22.04,21.85,0.19,1.00,,,mouse,
CEWE_AA_640,21.66,21.85,0.19,1.00,,,mouse,
CEWE_AA_640,21.85,21.85,0.19,1.00,,,mouse,
CEWE_AA_641,32.87,32.32,0.50,1.00,,,eimeria,10.38
CEWE_AA_641,31.91,32.32,0.50,1.00,,,eimeria,
CEWE_AA_641,32.18,32.32,0.50,1.00,,,eimeria,
CEWE_AA_641,21.75,21.94,0.31,1.00,,,mouse,
CEWE_AA_641,21.78,21.94,0.31,1.00,,,mouse,
CEWE_AA_641,22.29,21.94,0.31,1.00,,,mouse,
CEWE_AA_642,32.36,31.34,1.07,1.00,,,eimeria,9.53
CEWE_AA_642,31.41,31.34,1.07,1.00,,,eimeria,
CEWE_AA_642,30.23,31.34,1.07,1.00,,,eimeria,
CEWE_AA_642,21.75,21.81,0.38,1.00,,,mouse,
CEWE_AA_642,21.46,21.81,0.38,1.00,,,mouse,
CEWE_AA_642,22.22,21.81,0.38,1.00,,,mouse,
CEWE_AA_643,30.47,30.00,0.45,1.00,,,eimeria,8.06
CEWE_AA_643,29.98,30.00,0.45,1.00,,,eimeria,
CEWE_AA_643,29.57,30.00,0.45,1.00,,,eimeria,
CEWE_AA_643,21.79,21.94,0.21,1.00,,,mouse,
CEWE_AA_643,21.84,21.94,0.21,1.00,,,mouse,
CEWE_AA_643,22.18,21.94,0.21,1.00,,,mouse,
CEWE_AA_644,29.30,28.80,0.92,1.00,,,eimeria,7.24
CEWE_AA_644,27.74,28.80,0.92,1.00,,,eimeria,
CEWE_AA_644,29.35,28.80,0.92,1.00,,,eimeria,
CEWE_AA_644,21.73,21.56,0.29,1.00,,,mouse,
CEWE_AA_644,21.23,21.56,0.29,1.00,,,mouse,
CEWE_AA_644,21.72,21.56,0.29,1.00,,,mouse,
CEWE_AA_645,34.80,32.64,1.87,1.00,,,eimeria,
CEWE_AA_645,31.56,32.64,1.87,1.00,,,eimeria,11.11
CEWE_AA_645,31.57,32.64,1.87,1.00,,,eimeria,
CEWE_AA_645,21.51,21.53,0.40,1.00,,,mouse,
CEWE_AA_645,21.15,21.53,0.40,1.00,,,mouse,
CEWE_AA_645,21.94,21.53,0.40,1.00,,,mouse,
CEWE_AA_646,25.21,25.37,0.42,1.00,,,eimeria,5.08
CEWE_AA_646,25.05,25.37,0.42,1.00,,,eimeria,
CEWE_AA_646,25.84,25.37,0.42,1.00,,,eimeria,
CEWE_AA_646,20.30,20.29,0.25,1.00,,,mouse,
CEWE_AA_646,20.04,20.29,0.25,1.00,,,mouse,
CEWE_AA_646,20.53,20.29,0.25,1.00,,,mouse,
CEWE_AA_647,34.47,33.29,1.06,1.00,,,eimeria,9.64
CEWE_AA_647,32.97,33.29,1.06,1.00,,,eimeria,
CEWE_AA_647,32.42,33.29,1.06,1.00,,,eimeria,
CEWE_AA_647,23.69,23.65,0.04,1.00,,,mouse,
CEWE_AA_647,23.61,23.65,0.04,1.00,,,mouse,
CEWE_AA_647,23.65,23.65,0.04,1.00,,,mouse,
CEWE_AA_648,31.55,31.23,0.36,1.00,,,eimeria,8.71
CEWE_AA_648,30.84,31.23,0.36,1.00,,,eimeria,
CEWE_AA_648,31.30,31.23,0.36,1.00,,,eimeria,
CEWE_AA_648,22.62,22.52,0.30,1.00,,,mouse,
CEWE_AA_648,22.18,22.52,0.30,1.00,,,mouse,
CEWE_AA_648,22.76,22.52,0.30,1.00,,,mouse,
CEWE_AA_649,32.89,32.48,0.42,1.00,,,eimeria,9.3
CEWE_AA_649,32.05,32.48,0.42,1.00,,,eimeria,
CEWE_AA_649,32.48,32.48,0.42,1.00,,,eimeria,
CEWE_AA_649,23.18,23.18,0.23,1.00,,,mouse,
CEWE_AA_649,22.96,23.18,0.23,1.00,,,mouse,
CEWE_AA_649,23.42,23.18,0.23,1.00,,,mouse,
CEWE_AA_650,25.21,24.95,0.34,1.00,,,eimeria,2.15
CEWE_AA_650,24.57,24.95,0.34,1.00,,,eimeria,
CEWE_AA_650,25.05,24.95,0.34,1.00,,,eimeria,
CEWE_AA_650,23.24,22.80,0.51,1.00,,,mouse,
CEWE_AA_650,22.24,22.80,0.51,1.00,,,mouse,
CEWE_AA_650,22.92,22.80,0.51,1.00,,,mouse,
CEWE_AA_651,31.07,31.10,0.02,1.00,,,eimeria,9.12
CEWE_AA_651,31.12,31.10,0.02,1.00,,,eimeria,
CEWE_AA_651,31.10,31.10,0.02,1.00,,,eimeria,
CEWE_AA_651,22.19,21.98,0.27,1.00,,,mouse,
CEWE_AA_651,21.67,21.98,0.27,1.00,,,mouse,
CEWE_AA_651,22.07,21.98,0.27,1.00,,,mouse,
CEWE_AA_652,32.45,31.91,0.49,1.00,,,eimeria,10.06
CEWE_AA_652,31.50,31.91,0.49,1.00,,,eimeria,
CEWE_AA_652,31.78,31.91,0.49,1.00,,,eimeria,
CEWE_AA_652,21.94,21.85,0.30,1.00,,,mouse,
CEWE_AA_652,21.52,21.85,0.30,1.00,,,mouse,
CEWE_AA_652,22.10,21.85,0.30,1.00,,,mouse,
CEWE_AA_653,31.58,30.92,0.57,1.00,,,eimeria,9.64
CEWE_AA_653,30.59,30.92,0.57,1.00,,,eimeria,
CEWE_AA_653,30.58,30.92,0.57,1.00,,,eimeria,
CEWE_AA_653,21.58,21.28,0.40,1.00,,,mouse,
CEWE_AA_653,20.83,21.28,0.40,1.00,,,mouse,
CEWE_AA_653,21.43,21.28,0.40,1.00,,,mouse,
CEWE_AA_654,29.49,29.54,0.08,1.00,,,eimeria,7.82
CEWE_AA_654,29.50,29.54,0.08,1.00,,,eimeria,
CEWE_AA_654,29.64,29.54,0.08,1.00,,,eimeria,
CEWE_AA_654,21.78,21.72,0.21,1.00,,,mouse,
CEWE_AA_654,21.49,21.72,0.21,1.00,,,mouse,
CEWE_AA_654,21.90,21.72,0.21,1.00,,,mouse,
CEWE_AA_655,32.07,31.95,0.22,1.00,,,eimeria,8.45
CEWE_AA_655,31.70,31.95,0.22,1.00,,,eimeria,
CEWE_AA_655,32.09,31.95,0.22,1.00,,,eimeria,
CEWE_AA_655,23.56,23.50,0.27,1.00,,,mouse,
CEWE_AA_655,23.20,23.50,0.27,1.00,,,mouse,
CEWE_AA_655,23.73,23.50,0.27,1.00,,,mouse,
CEWE_AA_656,31.32,30.73,0.64,1.00,,,eimeria,9.62
CEWE_AA_656,30.81,30.73,0.64,1.00,,,eimeria,
CEWE_AA_656,30.05,30.73,0.64,1.00,,,eimeria,
CEWE_AA_656,21.58,21.11,0.42,1.00,,,mouse,
CEWE_AA_656,20.77,21.11,0.42,1.00,,,mouse,
CEWE_AA_656,20.98,21.11,0.42,1.00,,,mouse,
CEWE_AA_657,30.29,30.15,0.34,1.00,,,eimeria,8.6
CEWE_AA_657,29.76,30.15,0.34,1.00,,,eimeria,
CEWE_AA_657,30.39,30.15,0.34,1.00,,,eimeria,
CEWE_AA_657,21.92,21.55,0.32,1.00,,,mouse,
CEWE_AA_657,21.31,21.55,0.32,1.00,,,mouse,
CEWE_AA_657,21.43,21.55,0.32,1.00,,,mouse,
CEWE_AA_658,31.37,31.23,0.18,1.00,,,eimeria,10.46
CEWE_AA_658,31.31,31.23,0.18,1.00,,,eimeria,
CEWE_AA_658,31.03,31.23,0.18,1.00,,,eimeria,
CEWE_AA_658,20.98,20.77,0.26,1.00,,,mouse,
CEWE_AA_658,20.49,20.77,0.26,1.00,,,mouse,
CEWE_AA_658,20.86,20.77,0.26,1.00,,,mouse,
CEWE_AA_659,33.87,25.63,14.07,1.00,,,eimeria,13.17
CEWE_AA_659,9.38,25.63,14.07,1.00,,,eimeria,
CEWE_AA_659,33.63,25.63,14.07,1.00,,,eimeria,
CEWE_AA_659,20.89,20.63,0.34,1.00,,,mouse,
CEWE_AA_659,20.75,20.63,0.34,1.00,,,mouse,
CEWE_AA_659,20.24,20.63,0.34,1.00,,,mouse,
CEWE_AA_660,30.78,31.06,0.25,1.00,,,eimeria,9.57
CEWE_AA_660,31.24,31.06,0.25,1.00,,,eimeria,
CEWE_AA_660,31.17,31.06,0.25,1.00,,,eimeria,
CEWE_AA_660,21.77,21.49,0.26,1.00,,,mouse,
CEWE_AA_660,21.45,21.49,0.26,1.00,,,mouse,
CEWE_AA_660,21.25,21.49,0.26,1.00,,,mouse,
CEWE_AA_661,23.86,23.98,0.21,1.00,,,eimeria,1.81
CEWE_AA_661,23.87,23.98,0.21,1.00,,,eimeria,
CEWE_AA_661,24.23,23.98,0.21,1.00,,,eimeria,
CEWE_AA_661,22.04,22.17,0.23,1.00,,,mouse,
CEWE_AA_661,22.04,22.17,0.23,1.00,,,mouse,
CEWE_AA_661,22.43,22.17,0.23,1.00,,,mouse,
CEWE_AA_662,25.21,24.57,0.58,1.00,,,eimeria,2.5
CEWE_AA_662,24.06,24.57,0.58,1.00,,,eimeria,
CEWE_AA_662,24.44,24.57,0.58,1.00,,,eimeria,
CEWE_AA_662,22.06,22.07,0.19,1.00,,,mouse,
CEWE_AA_662,21.89,22.07,0.19,1.00,,,mouse,
CEWE_AA_662,22.27,22.07,0.19,1.00,,,mouse,
CEWE_AA_663,30.70,30.69,0.02,1.00,,,eimeria,8.63
CEWE_AA_663,30.70,30.69,0.02,1.00,,,eimeria,
CEWE_AA_663,30.66,30.69,0.02,1.00,,,eimeria,
CEWE_AA_663,22.06,22.02,0.18,1.00,,,mouse,
CEWE_AA_663,21.83,22.02,0.18,1.00,,,mouse,
CEWE_AA_663,22.17,22.02,0.18,1.00,,,mouse,
CEWE_AA_664,32.54,31.33,1.07,1.00,,,eimeria,
CEWE_AA_664,30.89,31.33,1.07,1.00,,,eimeria,9.08
CEWE_AA_664,30.55,31.33,1.07,1.00,,,eimeria,
CEWE_AA_664,22.32,22.25,0.13,1.00,,,mouse,
CEWE_AA_664,22.10,22.25,0.13,1.00,,,mouse,
CEWE_AA_664,22.34,22.25,0.13,1.00,,,mouse,
CEWE_AA_665,30.83,30.26,0.49,1.00,,,eimeria,7.97
CEWE_AA_665,29.99,30.26,0.49,1.00,,,eimeria,
CEWE_AA_665,29.97,30.26,0.49,1.00,,,eimeria,
CEWE_AA_665,22.42,22.29,0.22,1.00,,,mouse,
CEWE_AA_665,22.03,22.29,0.22,1.00,,,mouse,
CEWE_AA_665,22.42,22.29,0.22,1.00,,,mouse,
CEWE_AA_666,27.16,23.82,5.96,1.00,,,eimeria,1.75
CEWE_AA_666,27.36,23.82,5.96,1.00,,,eimeria,
CEWE_AA_666,16.94,23.82,5.96,1.00,,,eimeria,
CEWE_AA_666,22.03,22.07,0.19,1.00,,,mouse,
CEWE_AA_666,21.90,22.07,0.19,1.00,,,mouse,
CEWE_AA_666,22.28,22.07,0.19,1.00,,,mouse,
CEWE_AA_667,32.53,31.70,0.71,1.00,,,eimeria,10.46
CEWE_AA_667,31.29,31.70,0.71,1.00,,,eimeria,
CEWE_AA_667,31.29,31.70,0.71,1.00,,,eimeria,
CEWE_AA_667,21.32,21.24,0.26,1.00,,,mouse,
CEWE_AA_667,20.95,21.24,0.26,1.00,,,mouse,
CEWE_AA_667,21.44,21.24,0.26,1.00,,,mouse,
CEWE_AA_668,28.69,29.51,0.71,1.00,,,eimeria,8.53
CEWE_AA_668,29.97,29.51,0.71,1.00,,,eimeria,
CEWE_AA_668,29.88,29.51,0.71,1.00,,,eimeria,
CEWE_AA_668,21.13,20.98,0.30,1.00,,,mouse,
CEWE_AA_668,20.64,20.98,0.30,1.00,,,mouse,
CEWE_AA_668,21.17,20.98,0.30,1.00,,,mouse,
CEWE_AA_669,34.68,33.28,1.21,1.00,,,eimeria,9.98
CEWE_AA_669,32.44,33.28,1.21,1.00,,,eimeria,
CEWE_AA_669,32.73,33.28,1.21,1.00,,,eimeria,
CEWE_AA_669,23.36,23.30,0.27,1.00,,,mouse,
CEWE_AA_669,23.00,23.30,0.27,1.00,,,mouse,
CEWE_AA_669,23.54,23.30,0.27,1.00,,,mouse,
CEWE_AA_670,29.71,29.01,1.46,1.00,,,eimeria,7.48
CEWE_AA_670,29.99,29.01,1.46,1.00,,,eimeria,
CEWE_AA_670,27.33,29.01,1.46,1.00,,,eimeria,
CEWE_AA_670,21.68,21.53,0.24,1.00,,,mouse,
CEWE_AA_670,21.25,21.53,0.24,1.00,,,mouse,
CEWE_AA_670,21.65,21.53,0.24,1.00,,,mouse,
CEWE_AA_671,30.28,30.04,0.23,1.00,,,eimeria,8.25
CEWE_AA_671,29.83,30.04,0.23,1.00,,,eimeria,
CEWE_AA_671,30.01,30.04,0.23,1.00,,,eimeria,
CEWE_AA_671,21.97,21.79,0.16,1.00,,,mouse,
CEWE_AA_671,21.71,21.79,0.16,1.00,,,mouse,
CEWE_AA_671,21.68,21.79,0.16,1.00,,,mouse,
CEWE_AA_672,35.00,33.68,1.18,1.00,,,eimeria,10.96
CEWE_AA_672,33.34,33.68,1.18,1.00,,,eimeria,
CEWE_AA_672,32.71,33.68,1.18,1.00,,,eimeria,
CEWE_AA_672,22.74,22.72,0.07,1.00,,,mouse,
CEWE_AA_672,22.64,22.72,0.07,1.00,,,mouse,
CEWE_AA_672,22.77,22.72,0.07,1.00,,,mouse,
CEWE_AA_673,37.96,32.52,4.77,1.00,,,eimeria,8.11
CEWE_AA_673,30.53,32.52,4.77,1.00,,,eimeria,
CEWE_AA_673,29.07,32.52,4.77,1.00,,,eimeria,
CEWE_AA_673,21.89,21.78,0.12,1.00,,,mouse,
CEWE_AA_673,21.66,21.78,0.12,1.00,,,mouse,
CEWE_AA_673,21.80,21.78,0.12,1.00,,,mouse,
CEWE_AA_674,31.13,30.85,0.25,1.00,,,eimeria,9.48
CEWE_AA_674,30.67,30.85,0.25,1.00,,,eimeria,
CEWE_AA_674,30.76,30.85,0.25,1.00,,,eimeria,
CEWE_AA_674,21.48,21.37,0.23,1.00,,,mouse,
CEWE_AA_674,21.10,21.37,0.23,1.00,,,mouse,
CEWE_AA_674,21.53,21.37,0.23,1.00,,,mouse,
CEWE_AA_675,6.69,22.15,13.40,1.00,,,eimeria,7.98
CEWE_AA_675,29.34,22.15,13.40,1.00,,,eimeria,
CEWE_AA_675,30.41,22.15,13.40,1.00,,,eimeria,
CEWE_AA_675,21.99,21.97,0.08,1.00,,,mouse,
CEWE_AA_675,22.04,21.97,0.08,1.00,,,mouse,
CEWE_AA_675,21.88,21.97,0.08,1.00,,,mouse,
CEWE_AA_676,30.56,30.79,0.25,1.00,,,eimeria,9.57
CEWE_AA_676,30.73,30.79,0.25,1.00,,,eimeria,
CEWE_AA_676,31.06,30.79,0.25,1.00,,,eimeria,
CEWE_AA_676,21.24,21.22,0.36,1.00,,,mouse,
CEWE_AA_676,20.85,21.22,0.36,1.00,,,mouse,
CEWE_AA_676,21.56,21.22,0.36,1.00,,,mouse,
CEWE_AA_677,30.08,29.94,0.15,1.00,,,eimeria,9.13
CEWE_AA_677,29.79,29.94,0.15,1.00,,,eimeria,
CEWE_AA_677,29.94,29.94,0.15,1.00,,,eimeria,
CEWE_AA_677,20.88,20.81,0.09,1.00,,,mouse,
CEWE_AA_677,20.70,20.81,0.09,1.00,,,mouse,
CEWE_AA_677,20.83,20.81,0.09,1.00,,,mouse,
CEWE_AA_678,31.75,31.64,0.10,1.00,,,eimeria,7.98
CEWE_AA_678,31.58,31.64,0.10,1.00,,,eimeria,
CEWE_AA_678,31.59,31.64,0.10,1.00,,,eimeria,
CEWE_AA_678,23.73,23.66,0.21,1.00,,,mouse,
CEWE_AA_678,23.42,23.66,0.21,1.00,,,mouse,
CEWE_AA_678,23.82,23.66,0.21,1.00,,,mouse,
CEWE_AA_679,31.25,30.87,0.33,1.00,,,eimeria,10.17
CEWE_AA_679,30.71,30.87,0.33,1.00,,,eimeria,
CEWE_AA_679,30.65,30.87,0.33,1.00,,,eimeria,
CEWE_AA_679,20.63,20.70,0.19,1.00,,,mouse,
CEWE_AA_679,20.56,20.70,0.19,1.00,,,mouse,
CEWE_AA_679,20.91,20.70,0.19,1.00,,,mouse,
CEWE_AA_680,,31.86,2.04,1.00,,,eimeria,6.6
CEWE_AA_680,30.42,31.86,2.04,1.00,,,eimeria,
CEWE_AA_680,33.30,31.86,2.04,1.00,,,eimeria,
CEWE_AA_680,23.73,23.66,0.16,1.00,,,mouse,
CEWE_AA_680,23.48,23.66,0.16,1.00,,,mouse,
CEWE_AA_680,23.79,23.66,0.16,1.00,,,mouse,
