Name,Eimeria_IL,Crypto_IL,Eimeria presence in Caecum,Worms,Sex,GPS.latitude,GPS.longitude,Status,Eimeria subspecies,deltaCtMmE_tissue,BMI.BMI
CEWE_AA_552,FALSE,FALSE,FALSE,TRUE,F,5227369,136605,juvenile,non infected,-9.46,0.002682111828915
CEWE_AA_553,FALSE,TRUE,FALSE,FALSE,M,5228327,140908,juvenile,non infected,-10.21,0.002265137459943
CEWE_AA_554,FALSE,TRUE,TRUE,TRUE,F,5228327,140908,adult,E. ferrisi,1.25,0.002508917954816
CEWE_AA_555,FALSE,TRUE,TRUE,TRUE,F,5228327,140908,adult,E. falciformis,-4.85,0.002478632478632
CEWE_AA_556,FALSE,FALSE,TRUE,TRUE,M,5228327,140908,juvenile,E. falciformis,-6.83,0.00273125
CEWE_AA_557,FALSE,TRUE,FALSE,TRUE,M,5228327,140908,juvenile,non infected,-7.46,0.002784879474069
CEWE_AA_558,FALSE,FALSE,FALSE,FALSE,M,5228361,141192,juvenile,non infected,-9.73,0.002214285714286
CEWE_AA_559,FALSE,TRUE,TRUE,TRUE,F,5223973,140671,pregnant,E. ferrisi,1.41,0.003963414634146
CEWE_AA_560,FALSE,FALSE,FALSE,TRUE,F,5223973,140671,juvenile,non infected,-9.27,0.002603125
CEWE_AA_561,FALSE,FALSE,TRUE,TRUE,F,5223973,140671,pregnant,E. ferrisi,1.31,0.003366503626244
CEWE_AA_562,FALSE,FALSE,FALSE,FALSE,M,5227369,136605,juvenile,non infected,-7.16,0.002652804032766
CEWE_AA_563,FALSE,NA,FALSE,FALSE,F,5223973,140671,juvenile,non infected,-8.7,0.002294214876033
CEWE_AA_564,FALSE,FALSE,FALSE,TRUE,F,5227369,136605,juvenile,non infected,-9.22,0.002679884161283
CEWE_AA_565,FALSE,FALSE,FALSE,FALSE,M,5227369,136605,juvenile,non infected,-11.92,0.002885948330183
CEWE_AA_566,FALSE,FALSE,FALSE,FALSE,F,5227369,136605,juvenile,non infected,-8.64,0.002455366519639
CEWE_AA_567,FALSE,FALSE,FALSE,TRUE,M,5227369,136605,juvenile,non infected,-12.57,0.002392578125
CEWE_AA_568,FALSE,FALSE,FALSE,FALSE,M,5227369,136605,juvenile,non infected,-9.1,0.003028397890138
CEWE_AA_569,FALSE,FALSE,TRUE,TRUE,M,5227369,136605,juvenile,Eimeria sp.,-5.74,0.002321232996302
CEWE_AA_570,FALSE,FALSE,FALSE,TRUE,M,5229934,133049,adult,non infected,-9.14,0.002755827080151
CEWE_AA_571,FALSE,TRUE,FALSE,TRUE,M,5229934,133049,adult,non infected,-8.25,0.003276842933993
CEWE_AA_572,FALSE,FALSE,TRUE,TRUE,F,5229934,133049,pregnant,Eimeria sp.,-7.71,0.003221656767233
CEWE_AA_573,FALSE,FALSE,FALSE,TRUE,M,5229306,140736,adult,non infected,-9.56,0.002309521526292
CEWE_AA_574,FALSE,FALSE,FALSE,TRUE,M,5227272,126270,adult,non infected,-8.17,0.002659403807452
CEWE_AA_575,FALSE,FALSE,FALSE,FALSE,F,5229306,140736,adult,non infected,-11.2,0.002439862975119
CEWE_AA_576,FALSE,FALSE,FALSE,TRUE,F,5227272,126270,adult,non infected,-10.87,0.002632152293235
CEWE_AA_577,FALSE,FALSE,FALSE,FALSE,F,5227272,126270,adult,non infected,-9.04,0.002751737244327
CEWE_AA_578,FALSE,TRUE,FALSE,FALSE,F,5222130,140923,adult,non infected,-8.85,0.00219454651984
CEWE_AA_579,FALSE,FALSE,TRUE,TRUE,M,5222130,140923,adult,E. ferrisi,-0.100000000000001,0.002540961390502
CEWE_AA_580,FALSE,TRUE,FALSE,TRUE,M,5222130,140923,adult,non infected,-8.81,0.003069276952933
CEWE_AA_581,FALSE,FALSE,FALSE,FALSE,M,5227272,126270,adult,non infected,-9.2,0.002596515258792
CEWE_AA_582,FALSE,FALSE,FALSE,FALSE,F,5227272,126270,adult,non infected,-11.59,0.00287525661152
CEWE_AA_583,FALSE,FALSE,FALSE,FALSE,M,5227272,126270,juvenile,non infected,-8.75,0.002403440715129
CEWE_AA_584,FALSE,FALSE,FALSE,FALSE,M,5227272,126270,adult,non infected,-7.63,0.002654085872576
CEWE_AA_585,FALSE,TRUE,FALSE,TRUE,F,5229934,133049,pregnant,non infected,-8.66,0.003015143320714
CEWE_AA_586,FALSE,FALSE,FALSE,FALSE,M,5222130,140923,juvenile,non infected,-10.17,0.001908279470606
CEWE_AA_587,FALSE,FALSE,FALSE,TRUE,F,5222130,140923,adult,non infected,-10.27,0.00293392504931
CEWE_AA_588,FALSE,FALSE,FALSE,FALSE,M,5222130,140923,juvenile,non infected,-8.48,0.00191135734072
CEWE_AA_589,FALSE,TRUE,FALSE,FALSE,M,5222130,140923,juvenile,non infected,-8.85,0.002160709486697
