Sample_ID,conc_DNA_ngpermicroL,destiliertes Wasser,ILEUM_DNA_conc_ngpermicroL,ILEUM_260/280,ILEUM_260/230,sample ID,qPCR_results,Nbr_oocyst_dup1,Nbr_oocyst_dup2,Nbr_oocyst_MEAN,date of qPCR
IL 561,14.62,85.38,342.00,2.62,1.44,IL 561,FALSE,0,0,0,12.10.2018
IL 562,22.69,77.31,220.40,2.00,1.28,IL 562,FALSE,0,0,0,12.10.2018
IL 564,17.93,82.07,278.80,1.96,2.23,IL 564,FALSE,0,0,0,12.10.2018
IL 565,7.28,92.72,686.80,1.98,2.12,IL 565,FALSE,0,0,0,12.10.2018
IL 566,32.45,67.55,154.10,2.18,1.45,IL 566,FALSE,0,420,0,12.10.2018
IL 567,14.15,85.85,353.30,1.98,1.44,IL 567,FALSE,0,0,0,12.10.2018
IL 568,46.00,54.00,108.70,2.29,1.78,IL 568,FALSE,0,0,0,12.10.2018
IL 569,25.65,74.35,194.90,1.95,1.92,IL 569,FALSE,196,0,0,12.10.2018
IL 570,39.40,60.60,126.90,2.20,0.91,IL 570,FALSE,969,0,0,12.10.2018
IL 571,28.09,71.91,178.00,2.04,1.35,IL 571,TRUE,18397,15118,16758,12.10.2018
IL 572,15.13,84.87,330.40,1.91,1.43,IL 572,FALSE,0,0,0,10.10.2018
IL 573,40.42,59.58,123.70,1.37,0.51,IL 573,FALSE,0,0,0,12.10.2018
IL 574,49.80,50.20,100.40,2.34,1.41,IL 574,FALSE,0,0,0,12.10.2018
IL 575,44.92,55.08,111.30,2.21,1.14,IL 575,FALSE,0,0,0,15.11.2018
IL 576,59.74,40.26,83.70,2.25,1.42,IL 576,FALSE,0,0,0,15.11.2018
IL 577,25.38,74.62,197.00,1.96,2.06,IL 577,FALSE,0,0,0,15.11.2018
IL 578,18.99,81.01,263.30,1.68,1.64,IL 578,TRUE,54202,51697,52949,15.11.2018
IL 579,35.92,64.08,139.20,2.18,1.49,IL 579,FALSE,1485,0,0,15.11.2018
IL 580,25.05,74.95,199.60,1.94,2.12,IL 580,TRUE,3897,4600,4249,15.11.2018
IL 581,37.82,62.18,132.20,2.14,1.63,IL 581,FALSE,0,0,0,15.11.2018
IL 582,38.55,61.45,129.70,2.18,1.97,IL 582,FALSE,0,0,0,15.11.2018
IL 583,17.72,82.28,282.10,"1,94","1,62",IL 583,FALSE,0,0,0,10.10.2018
IL 584,54.29,45.71,92.10,1.24,0.82,IL 584,FALSE,0,0,0,15.11.2018
IL 585,22.56,77.44,221.60,1.92,1.71,IL 585,TRUE,1614,1528,1571,10.10.2018
IL 586,69.16,30.84,72.30,2.19,1.59,IL 586,FALSE,0,0,0,15.11.2018
IL 587,19.95,80.05,250.60,2.00,1.76,IL 587,FALSE,0,0,0,15.11.2018
