Mouse_ID,Longitude,Latitude,Feces_weight,Feces,COCE,CEWE,ILWE,CECE,COWE,SICE,Liver,COCE_260_280,COCE_ng_µl,COCE_260_230,Ocount_11,Ocount_12,Ocount_13,Ocount_14,Ocount_21,Ocount_22,Ocount_23,Ocount_24,Oocyst_mL,Oocyst_g,Flotation,ILWE_260_280,ILWE_ng_Âµl,ILWE_260_230,ILWE_Mouse_Ct,ILWE_Eimeria_Ct,ILWE_Dct,ILWE_Dx,CEWE_260_280,CEWE_ng_µl,CEWE_260_230,CEWE_Mouse_Ct,CEWE_Eimeria_Ct,CEWE_Dct,CEWE_Dx,DDCt,Tissue_Dominant,Ap5_PCR,n18S_PCR,n18S_Seq,Blast_18S,Phylo_18S,COI_PCR,COI_Seq,Blast_COI,Phylo_COI,ORF470_PCR,ORF470_Seq,Blast_ORF470,Phylo_ORF470,Eimeria_Id,Host_Ap_PCR,Host_Ap_Seq,Host_Micr_PCR,Host_Micr_Seq,Host,Eimeria_ident
ZZ_0054,13.91784,52.19469,NA,NA,1,NA,NA,NA,NA,NA,1,1.53,228.7,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,,NA,,,,NA,NA,,NA,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA,NA,NA,Apodemus_spp.,
ZZ_0055,11.9645,53.61532,195,1,1,1,1,1,1,1,1,1.81,102.6,2.53,0,0,0,0,0,0,0,0,0,0,Negative,2.01,227.8,1.75,19.06,32.48,-13.42,Negative,1.91,156.1,2.11,18.75,33.46,-14.71,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Micromys_minutus,
ZZ_0056,11.9645,53.61532,473,1,1,1,1,1,1,1,1,1.84,138.4,2.45,3,2,4,5,2,3,5,1,31250,66067.653,Positive,1.93,771.3,2.19,20.31,31.36,-11.05,Negative,1.86,1105.3,2.02,20.24,34.17,-13.93,Negative,,,Negative,Positive,TRUE,Arxiozyma_telluris,NA,Negative,NA,NA,NA,Negative,NA,NA,NA,Negative,Negative,NA,Negative,NA,Apodemus_spp.,
ZZ_0057,12.4464,53.51885,534,1,1,1,1,1,1,1,NA,1.78,87.3,2.2,0,0,0,0,0,0,0,0,0,0,Negative,2.23,28.1,0.52,21.99,28.81,-6.82,Negative,1.94,701.2,1.33,21.58,36.5,-14.92,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0058,11.8673,53.67768,798,1,1,1,1,1,1,1,1,1.82,79.6,2.04,0,0,0,0,0,0,0,0,0,0,Negative,1.91,1751.1,2.21,23.61,35.8,-12.19,Negative,1.89,2470.4,1.95,23.26,35.75,-12.49,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0059,11.2138,53.91909,987,1,1,1,1,1,1,1,1,1.85,71.8,1.46,0,0,0,0,0,0,0,0,0,0,Negative,1.89,1668.5,2.11,23.2,33.76,-10.56,Negative,1.91,2482.5,2.07,22.07,34.04,-11.97,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0060,12.4464,53.51885,1074,1,1,1,1,1,1,1,1,1.84,130.8,2.42,0,0,0,0,0,0,0,0,0,0,Negative,1.94,1126.4,2.17,22.92,33.75,-10.83,Negative,1.93,835.8,2.08,19.74,32.07,-12.33,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0061,13.64141,52.77697,182,1,1,1,1,1,1,1,1,1.86,74.8,2.4,0,0,0,0,0,0,0,0,0,0,Negative,1.93,1211.7,2.08,21.54,32.54,-11,Negative,2,977.4,2.09,21.33,32.89,-11.56,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0062,13.64141,52.77697,486,1,1,1,1,1,1,1,1,1.85,123.4,2.26,1,2,1,0,1,1,1,1,10000,20576.131,Positive,1.89,318.2,1.49,23.87,25.04,-1.17,Positive,1.85,914.7,2.29,23.57,30.08,-6.51,Negative,,,Negative,Negative,NA,NA,NA,Negative,NA,NA,NA,Negative,NA,NA,NA,Negative,Negative,NA,Negative,NA,Apodemus_spp.,
ZZ_0063,13.90839,52.61075,612,1,1,1,1,1,1,1,1,1.85,91.1,2.43,2,1,2,3,2,1,0,4,18750,30637.254,Positive,1.94,2604.7,1.98,22.09,34.81,-12.72,Negative,1.88,2364.8,1.86,22.82,29.92,-7.1,Negative,,,Negative,Negative,NA,NA,NA,Negative,NA,NA,NA,Positive,FALSE,NA,,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0064,13.90839,52.61075,1415,1,1,1,1,1,1,1,1,1.87,72.5,2.15,0,0,0,0,0,0,0,0,0,0,Negative,1.91,1411.6,2.15,23.62,34.92,-11.3,Negative,1.92,1758.9,1.9,21.77,33.84,-12.07,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0065,13.63505,52.63889,916,1,1,1,1,1,1,1,1,1.86,80,2.17,0,1,0,0,0,0,0,0,0,0,Negative,1.9,856,2.1,16.94,35.24,-18.3,Negative,1.94,1304.2,1.75,20.41,34.86,-14.45,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0066,13.63505,52.63889,611,1,1,1,1,1,1,1,NA,1.89,42.2,2.07,0,0,0,0,0,0,0,0,0,0,Negative,1.95,561.9,2.16,21,33.81,-12.81,Negative,1.99,930.4,1.5,24.81,37.6,-12.79,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0067,13.69555,52.58066,217,1,1,1,1,1,1,1,1,1.85,40.4,2.18,0,0,0,0,0,0,0,0,0,0,Negative,1.96,322.3,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA,NA,NA,Apodemus_spp.,
ZZ_0068,13.72034,52.64944,876,1,1,1,1,1,1,1,1,1.89,46.7,2.06,0,0,0,0,0,0,0,0,0,0,Negative,1.97,678.2,1.74,19.96,30.51,-10.55,Negative,1.94,843,1.76,21.37,30.83,-9.46,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Negative,NA,Negative,NA,Apodemus_spp.,
ZZ_0069,13.72034,52.64944,NA,NA,1,1,1,1,1,1,1,1.87,117.9,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,370.8,2.19,19.55,17.47,2.08,Positive,1.89,739,1.8,19.93,26.71,-6.78,Positive,-3.25,ILWE,Negative,Positive,TRUE,Eimeria_apinodes,,Positive,TRUE,Eimeria_alorani,Eimeria_alorani,Positive,TRUE,Eimeria_alorani,Eimeria_alorani,Positive,Negative,NA,Negative,NA,Apodemus_spp.,Eimeria_alorani
ZZ_0070,13.90839,52.61075,NA,NA,1,1,1,1,1,1,1,2.36,7.4,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,678.4,1.68,36.74,31.35,5.39,Positive,1.87,2251.4,2,20.8,34.77,-13.97,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0071,13.90839,52.61075,NA,NA,1,1,1,1,1,1,1,1.94,43.3,3.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.88,316.1,1.6,20.48,32.03,-11.55,Negative,1.87,1551.8,2.24,21.21,31.89,-10.68,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0072,13.90839,52.61075,NA,NA,1,1,1,1,1,1,1,1.97,33.7,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,330.8,1.63,19.5,33.92,-14.42,Negative,1.92,967.3,2.08,22.06,34.7,-12.64,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA,Negative,NA,Apodemus_spp.,
ZZ_0073,13.63505,52.63889,NA,NA,1,1,1,1,1,1,1,1.87,80.5,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,335.7,1.99,23.81,25.57,-1.76,Positive,1.88,368.4,1.92,19.96,21.67,-1.71,Positive,0.97,CEWE,Positive,Positive,TRUE,Eimeria_apinodes,,Positive,TRUE,Eimeria_apinodes,Eimeria_sp_Apodemus,Positive,TRUE,Eimeria_caviae,Eimeria_sp_Apodemus,Positive,NA,NA,Negative,NA,Apodemus_spp.,Eimeria_sp_Apodemus
ZZ_0074,13.95754,51.77588,1287,1,1,1,1,1,1,1,1,1.86,148.7,2.31,0,0,0,0,0,0,0,0,0,0,Negative,1.86,1858.9,2.19,26.73,0,26.73,Negative,1.91,3984.7,1.98,23.13,34.85,-11.72,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Rattus_rattus,
