Mouse_ID,Longitude,Latitude,Feces_weight,Feces,COCE,CEWE,ILWE,CECE,COWE,SICE,Liver,COCE_260_280,COCE_ng_µl,COCE_260_230,Ocount_11,Ocount_12,Ocount_13,Ocount_14,Ocount_21,Ocount_22,Ocount_23,Ocount_24,Oocyst_mL,Oocyst_g,Flotation,ILWE_260_280,ILWE_ng_Âµl,ILWE_260_230,ILWE_Mouse_Ct,ILWE_Eimeria_Ct,ILWE_Dct,ILWE_Dx,CEWE_260_280,CEWE_ng_µl,CEWE_260_230,CEWE_Mouse_Ct,CEWE_Eimeria_Ct,CEWE_Dct,CEWE_Dx,DDCt,Tissue_Dominant,Ap5_PCR,n18S_PCR,n18S_Seq,Blast_18S,Phylo_18S,COI_PCR,COI_Seq,Blast_COI,Phylo_COI,ORF470_PCR,ORF470_Seq,Blast_ORF470,Phylo_ORF470,Eimeria_Id,Host_Ap_PCR,Host_Ap_Seq,Host_Micr_PCR,Host_Micr_Seq,Host,Eimeria_ident
ZZ_0034,13.71156,53.03348,0.79,1,1,2,1,NA,NA,1,NA,1.84,53.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,2703.1,1.85,22.97,36.36,-13.39,Negative,1.86,1614.3,1.78,22.48,34.7,-12.22,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0035,13.89762,52.27634,0.31,1,1,2,1,NA,NA,1,NA,1.71,80.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.93,580.9,1.85,22.31,35.24,-12.93,Negative,1.79,479,1.7,20.21,32.22,-12.01,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0036,13.729156,52.652538,0.68,1,NA,1,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0,1,2,3,Negative,1.85,2852.8,2.14,24.37,34.93,-10.56,Negative,1.88,637.6,1.86,21.66,34.23,-12.57,Negative,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0037,12.9925,52.72972,0.82,1,1,1,1,1,1,1,NA,2.27,10.6,0.15,0,0,0,0,0,0,0,1,2,3,Negative,1.93,1432.6,2.02,20.05,34.59,-14.54,Negative,1.79,399.5,1.45,20.61,34.8,-14.19,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0038,12.9925,52.72972,0.82,NA,1,1,1,1,1,1,NA,1.89,65.5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87,2602.1,2.15,22.62,33.88,-11.26,Negative,1.86,3434.1,2.18,30.89,32.95,-2.06,Positive,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0039,12.9925,52.72972,1.08,1,1,1,1,1,1,1,NA,1.88,161.1,1.77,16,17,21,11,20,14,19,12,162500,150462.96,Positive,1.96,1651.1,2.1,20.57,35.95,-15.38,Negative,1.9,2101.1,2.11,27.34,0,,Negative,,,Negative,Negative,NA,NA,NA,Positive,FALSE,,,Negative,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0040,12.9925,52.72972,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,572,1.52,,,0,Negative,1.84,1103,1.7,22.56,34.83,-12.27,Negative,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
ZZ_0041,13.17139,53.042812,NA,1,1,1,1,1,1,1,NA,1.87,94.9,2.03,0,0,0,0,0,0,0,0,0,0,Negative,1.85,1540.4,2.07,21.27,29.82,-8.55,Negative,1.87,1253.3,1.66,21.08,30.79,-9.71,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Myodes_glareolus,
ZZ_0042,13.17139,53.042812,0.36,1,1,1,1,1,1,1,NA,1.87,145,2.3,20,24,23,22,25,21,24,23,227500,631944.44,Positive,1.94,495.1,1.99,21.53,26.64,-5.11,Positive,1.88,2141.6,2.03,21.54,26.06,-4.52,Positive,0.08,CEWE,Positive,Positive,FALSE,NA,NA,Positive,TRUE,Eimeria_falciformis,Eimeria_vermiformis,Positive,TRUE,Eimeria_sevilletensis,Eimeria_vermiformis,Positive,Positive,TRUE,NA,NA,Apodemus_flavicollis,Eimeria_vermiformis
ZZ_0043,13.17139,53.042812,0.67,1,1,1,1,1,1,1,NA,1.88,162.5,2.12,0,0,0,0,0,0,0,0,0,0,Negative,1.93,1938.4,2.07,0,34.97,-34.97,Negative,1.93,1141.4,1.84,22.67,33.22,-10.55,Negative,,,Negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,Positive,TRUE,NA,NA,Apodemus_flavicollis,
