# File Name: qPCR_eimeria_field_faeces_JK_07022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 01:32:05 PM UTC
# Run End Date/Time: 2022-02-07 02:51:33 PM UTC
# Run Duration: 79 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:40:32 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:40:46 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA524","Eim","3","-","0","25.166374962253172","0.27586817551856346","0.15927256539649357",
"AA535","Eim","3","-","0","27.496519109002026","0.19298220308595657","0.11141832690048406",
"AA538","Eim","3","-","0","35.35597122076766","","",
"AA542","Eim","3","-","0","19.660036213781634","0.21161183211992485","0.12217414823814851",
"AA543","Eim","3","-","0","32.69310679918428","0.7177364824092157","0.4143853513261758",
"AA569","Eim","3","-","0","23.59910519194189","0.5459880524723909","0.31522634906925445",
"AA575","Eim","3","-","0","30.995026560399797","0.2210349462346525","0.1276145857088911",
"AA581","Eim","3","-","0","25.496744853062804","0.5452449557375798","0.3147973219693773",
"AA583","Eim","3","-","0","29.832802223894316","0.824849026484127","0.4762268074814115",
"AA588","Eim","3","-","0","29.871102553817682","0.3174463989254915","0.18327776387290984",
"AA592","Eim","3","-","0","22.74727105844329","0.14283640105335","0.08246663459822896",
"AA594","Eim","3","-","0","30.15784629644976","0.6991480946186298","0.4036533406314799",
"AA595","Eim","3","-","0","29.77908370689499","0.18955324919303002","0.1094386194473641",
"AA603","Eim","3","-","0","31.959703311358343","0.7034826724317598","0.40615591029871384",
"AA608","Eim","3","-","0","29.88614775504269","0.10421866114846186","0.06017067206864685",
"AA618","Eim","3","-","0","29.82988552784849","0.7895913643490431","0.45587078675672393",
"AA620","Eim","3","-","0","30.66244911058891","0.24708739746457117","0.14265597543953423",
"AA622","Eim","3","-","0","32.1779397707808","0.3295526300361446","0.19026729966351724",
"AA624","Eim","3","-","0","31.357759693376675","0.5443032101654395","0.3142536049097939",
"AA628","Eim","3","-","0","29.391747690791608","0.12147701397427868","0.07013478671840173",
"AA637","Eim","3","-","0","31.028801817411907","0.46071330416504414","0.26599295017893015",
"AA639","Eim","3","-","0","27.30760711706041","0.1897275239552203","0.10953923702822761",
"AA640","Eim","3","-","0","24.452327426093376","0.18036806592634566","0.10413555141578784",
"AA650","Eim","3","-","0","19.937487108809645","0.15799577945238974","0.09121890579766197",
"AA651","Eim","3","-","0","24.337087448429216","0.19071738991510565","0.11011073640662906",
"AA652","Eim","3","-","0","29.93517169750767","0.13608660092564764","0.07856963567752384",
"AA655","Eim","3","-","0","32.24903037356721","0.5218771150091002","0.3013058928344093",
"AA673","Eim","3","-","0","32.519304447881716","0.7819200932899678","0.45144177634574023",
"AA676","Eim","3","-","0","31.330716505462917","0.3965411037990582","0.2289431130231376",
"AA677","Eim","3","-","0","32.06561719823395","0.3369352798669714","0.19452967453067785",
"AA680","Eim","3","-","0","18.9084124620917","0.21942832653416458","0.12668700339232902",
"NTC","Eim","3","-","0","","","",
