# File Name: qPCR_eimeria_field_faeces_JK_07022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 01:32:05 PM UTC
# Run End Date/Time: 2022-02-07 02:51:33 PM UTC
# Run Duration: 79 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:40:32 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:40:46 PM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"2","A2","22","Eim","0.7453147768974304","-0.008288950246313351","AA622","false"
"2","A2","23","Eim","0.748500645160675","-0.01048898258934847","AA622","false"
"2","A2","24","Eim","0.754347562789917","-0.010027965566386386","AA622","false"
"2","A2","25","Eim","0.7497575283050537","-0.020003900657529414","AA622","false"
"2","A2","26","Eim","0.7487385272979736","-0.02640880227088924","AA622","false"
"2","A2","27","Eim","0.767641007900238","-0.012892222274904695","AA622","false"
"2","A2","28","Eim","0.7795912623405457","-0.006327868440876826","AA622","false"
"2","A2","29","Eim","0.7969959378242493","0.005690906436546929","AA622","false"
"2","A2","30","Eim","0.8119630217552185","0.01527208976123642","AA622","false"
"2","A2","31","Eim","0.834062397480011","0.03198556487974915","AA622","false"
"2","A2","32","Eim","0.8844484090805054","0.0769856758739638","AA622","false"
"2","A2","33","Eim","0.9735211730003357","0.16067253918751426","AA622","false"
"2","A2","34","Eim","1.1262145042419434","0.30797996982284215","AA622","false"
"2","A2","35","Eim","1.3748317956924438","0.5512113606670628","AA622","false"
"2","A2","36","Eim","1.742672085762024","0.9136657501303631","AA622","false"
"2","A2","37","Eim","2.206829071044922","1.3724368348069813","AA622","false"
"2","A2","38","Eim","2.6171398162841797","1.7773616794399594","AA622","false"
"2","A2","39","Eim","2.8271896839141846","1.9820256464636845","AA622","false"
"2","A2","40","Eim","2.858577013015747","2.0080270749589673","AA622","false"
"3","A3","1","Eim","0.5441981554031372","-0.06266292311041927","AA622","false"
"3","A3","2","Eim","0.5574679970741272","-0.05591866348543733","AA622","false"
"3","A3","3","Eim","0.5782917737960815","-0.041620468809491155","AA622","false"
"3","A3","4","Eim","0.5998209118843079","-0.026616912767272898","AA622","false"
"3","A3","5","Eim","0.6143396496772766","-0.018623757020312208","AA622","false"
"3","A3","6","Eim","0.6308810710906982","-0.008607917652898638","AA622","false"
"3","A3","7","Eim","0.6426315307617188","-0.003383040027886191","AA622","false"
"3","A3","8","Eim","0.6569026112556458","0.004362458420032639","AA622","false"
"3","A3","9","Eim","0.66777503490448","0.008709300022858808","AA622","false"
"3","A3","10","Eim","0.6798655986785889","0.014274281750959635","AA622","false"
"3","A3","11","Eim","0.6819974780082703","0.00988057903463297","AA622","false"
"3","A3","12","Eim","0.6908420324325562","0.012199551412910799","AA622","false"
"3","A3","13","Eim","0.7023515105247498","0.01718344745909623","AA622","false"
"3","A3","14","Eim","0.7180737853050232","0.026380140193361608","AA622","false"
"3","A3","15","Eim","0.7217755317687988","0.023556304611129182","AA622","false"
"3","A3","16","Eim","0.7196099162101746","0.014865107006496854","AA622","false"
"3","A3","17","Eim","0.7245404720306396","0.013270080780953881","AA622","false"
"3","A3","18","Eim","0.7308213114738464","0.013025338178152608","AA622","false"
"3","A3","19","Eim","0.7330015897750854","0.008680034433383561","AA622","false"
"3","A3","20","Eim","0.7450394630432129","0.014192325655502831","AA622","false"
"3","A3","21","Eim","0.7481801509857178","0.010807431551999654","AA622","false"
"3","A3","22","Eim","0.7483217120170593","0.004423410537333145","AA622","false"
"3","A3","23","Eim","0.7455981373786926","-0.004825746147041615","AA622","false"
"3","A3","24","Eim","0.7457065582275391","-0.011242907344203239","AA622","false"
"3","A3","25","Eim","0.7420483827590942","-0.021426664858656234","AA622","false"
"3","A3","26","Eim","0.7465265989303589","-0.023474030733399646","AA622","false"
"3","A3","27","Eim","0.7615471482276917","-0.014979063482074943","AA622","false"
"3","A3","28","Eim","0.7708438634872437","-0.012207930268531002","AA622","false"
"3","A3","29","Eim","0.7807760238647461","-0.00880135193703662","AA622","false"
"3","A3","30","Eim","0.7961385846138","3.562676600916189E-5","AA622","false"
"3","A3","31","Eim","0.8302979469299316","0.027669407036132694","AA622","false"
"3","A3","32","Eim","0.8937590718269348","0.0846049498871278","AA622","false"
"3","A3","33","Eim","1.0021165609359741","0.18643685695015905","AA622","false"
"3","A3","34","Eim","1.1749296188354492","0.3527243328036261","AA622","false"
"3","A3","35","Eim","1.4699597358703613","0.6412288677925301","AA622","false"
"3","A3","36","Eim","1.9084292650222778","1.0731728148984383","AA622","false"
"3","A3","37","Eim","2.480637788772583","1.6388557566027355","AA622","false"
"3","A3","38","Eim","2.9870128631591797","2.1387052489433245","AA622","false"
"3","A3","39","Eim","3.241894483566284","2.387061287304421","AA622","false"
"3","A3","40","Eim","3.307422161102295","2.4460633827944234","AA622","false"
"4","A4","1","Eim","0.5620856285095215","-0.019708530473102188","AA651","false"
"4","A4","2","Eim","0.5668188333511353","-0.02089526528626486","AA651","false"
"4","A4","3","Eim","0.5850582718849182","-0.00857576640725834","AA651","false"
"4","A4","4","Eim","0.5906614065170288","-0.008892571429924185","AA651","false"
"4","A4","5","Eim","0.602446973323822","-0.0030269442779074134","AA651","false"
"4","A4","6","Eim","0.6185163855552673","0.007122528298761459","AA651","false"
"4","A4","7","Eim","0.6288121938705444","0.011498396959262119","AA651","false"
"4","A4","8","Eim","0.629091739654541","0.00585800308848237","AA651","false"
"4","A4","9","Eim","0.6282385587692261","-9.151174516090115E-4","AA651","false"
"4","A4","10","Eim","0.6388041973114014","0.003730581435789841","AA651","false"
"4","A4","11","Eim","0.6441805958747864","0.0031870403443984103","AA651","false"
"4","A4","12","Eim","0.6477553844451904","8.418892600260226E-4","AA651","false"
"4","A4","13","Eim","0.6533705592155457","5.371243756048067E-4","AA651","false"
"4","A4","14","Eim","0.6545460820198059","-0.00420729247491138","AA651","false"
"4","A4","15","Eim","0.6637576222419739","-9.156919075198515E-4","AA651","false"
"4","A4","16","Eim","0.6660204529762268","-0.004572800828043362","AA651","false"
"4","A4","17","Eim","0.6751400232315063","-0.0013731702275402618","AA651","false"
"4","A4","18","Eim","0.6807431578636169","-0.0016899752502061065","AA651","false"
"4","A4","19","Eim","0.6915308237075806","0.003177750938981076","AA651","false"
"4","A4","20","Eim","0.6924890279769897","-0.0017839844463861847","AA651","false"
"4","A4","21","Eim","0.697490930557251","-0.0027020215209012837","AA651","false"
"4","A4","22","Eim","0.7161055207252502","0.009992628992321544","AA651","false"
"4","A4","23","Eim","0.7419977784156799","0.02996494702797479","AA651","false"
"4","A4","24","Eim","0.7865042090415955","0.06855143799911388","AA651","false"
"4","A4","25","Eim","0.8827149868011475","0.15884227610388943","AA651","false"
"4","A4","26","Eim","1.06069815158844","0.3309055012364055","AA651","false"
"4","A4","27","Eim","1.3680278062820435","0.6323152162752326","AA651","false"
"4","A4","28","Eim","1.8258979320526123","1.084265402391025","AA651","false"
"4","A4","29","Eim","2.309964418411255","1.5624119490948911","AA651","false"
"4","A4","30","Eim","2.626729726791382","1.8732573178202416","AA651","false"
"4","A4","31","Eim","2.8105978965759277","2.0512055479500106","AA651","false"
"4","A4","32","Eim","2.9731736183166504","2.207861330035957","AA651","false"
"4","A4","33","Eim","3.1571743488311768","2.3859421208957072","AA651","false"
"4","A4","34","Eim","3.3380420207977295","2.5608898532074833","AA651","false"
"4","A4","35","Eim","3.5153417587280273","2.7322696514830045","AA651","false"
"4","A4","36","Eim","3.702303647994995","2.913311601095196","AA651","false"
"4","A4","37","Eim","3.8671209812164307","3.0722089946618554","AA651","false"
"4","A4","38","Eim","4.021117210388184","3.2202852841788316","AA651","false"
"4","A4","39","Eim","4.161818504333496","3.355066638469368","AA651","false"
"4","A4","40","Eim","4.270917892456055","3.45824608693715","AA651","false"
"5","A5","1","Eim","0.480116605758667","-0.03722501606271975","AA651","false"
"5","A5","2","Eim","0.48862096667289734","-0.036245609061759866","AA651","false"
"5","A5","3","Eim","0.5169466137886047","-0.015444915859322814","AA651","false"
"5","A5","4","Eim","0.5279834866523743","-0.011932996908823632","AA651","false"
"5","A5","5","Eim","0.5409812331199646","-0.00646020435450365","AA651","false"
"5","A5","6","Eim","0.5545343160629272","-4.3207532481146383E-4","AA651","false"
"5","A5","7","Eim","0.5639115571975708","0.0014202118965617417","AA651","false"
"5","A5","8","Eim","0.5798954367637634","0.00987913754948402","AA651","false"
