# File Name: qPCR_eimeria_field_faeces_JK_07022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 01:32:05 PM UTC
# Run End Date/Time: 2022-02-07 02:51:33 PM UTC
# Run Duration: 79 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:40:32 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:40:46 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","203497.77","56893.023","142575.27"
"2","A2","1","184509.62","49404.836","121562.52"
"3","A3","1","181298.66","48966.22","116190.7"
"4","A4","1","169389.67","45581.793","115684.31"
"5","A5","1","168557.7","44700.36","102248.8"
"6","A6","1","182144.56","45384.457","102227.07"
"7","A7","1","91456.49","31671.285","109458.42"
"8","A8","1","99863.33","30815.902","94047.6"
"9","A9","1","105720.336","35913.89","116049.12"
"10","A10","1","73996.39","25745.555","83589.14"
"11","A11","1","130338.945","39795.438","116480.164"
"12","A12","1","109940.39","33929.742","101151.83"
"13","B1","1","144995.08","44834.22","129926.586"
"14","B2","1","184473.89","49544.484","124576.74"
"15","B3","1","161393.02","42805.83","107395.59"
"16","B4","1","107156.016","33450.137","109297.85"
"17","B5","1","113007.31","33542.387","100878.75"
"18","B6","1","103490.805","28516.84","82181.164"
"19","B7","1","133407.92","35096.094","95923.69"
"20","B8","1","115639.44","29801.756","85385.125"
"21","B9","1","141844.06","34383.797","87889.266"
"22","B10","1","120145.4","37002.633","109453.305"
"23","B11","1","116080.445","31649.82","89070.87"
"24","B12","1","122042.32","36304.418","91994.89"
"25","C1","1","85122.21","34098.43","124205.97"
"26","C2","1","118775.734","36109.44","107781.52"
"27","C3","1","105749.97","32415.732","99776.2"
"28","C4","1","132421.45","43680.53","141809.34"
"29","C5","1","128714.266","37392.21","112094.34"
"30","C6","1","134841.03","35073.914","96288.71"
"31","C7","1","81963.6","29821.814","102393.445"
"32","C8","1","91831.555","30254.088","96217.43"
"33","C9","1","84838.36","28108.436","88255.36"
"34","C10","1","160446.36","48473.95","139281.1"
"35","C11","1","121676.93","32925.04","85708.04"
"36","C12","1","136912.78","37463.586","89409.164"
"37","D1","1","159628.45","48881.72","137494.06"
"38","D2","1","200962.67","53830.08","134820.75"
"39","D3","1","167643.03","40880.938","96791.04"
"40","D4","1","125120.695","42194.68","136411.3"
"41","D5","1","117529.18","37026.355","114527.875"
"42","D6","1","79674.086","24664.418","76483.695"
"43","D7","1","138761.64","44066.74","134462.2"
"44","D8","1","143185.88","42967.44","131336.48"
"45","D9","1","138157.53","41586.47","122273.125"
"46","D10","1","148019.8","41141.87","110255.21"
"47","D11","1","142169.44","39541.867","99784.22"
"48","D12","1","119343.125","33553.414","78488.26"
"49","E1","1","132017.28","43227.76","137848.9"
"50","E2","1","140893.6","42627.434","127762.09"
"51","E3","1","102205.78","30602.113","87436.57"
