"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A","-","-","negative"
"B11","CXCR3","-","-","negative"
"C11","IL-12rb1","-","-","negative"
"D11","B-actin","-","-","negative"
"E11","GAPDH",34.51,"-","negative"
"A1","AA_0106",27.36,"-","CXCR3"
"A2","AA_0106",27.34,"-","CXCR3"
"B1","AA_0113",25.82,"-","CXCR3"
"B2","AA_0113",25.85,"-","CXCR3"
"C1","AA_0190",26.97,"-","CXCR3"
"C2","AA_0190",26.8,"-","CXCR3"
"D1","AA_0173",26.44,"-","CXCR3"
"D2","AA_0173",26.22,"-","CXCR3"
"E1","AA_0209",24.59,"-","CXCR3"
"E2","AA_0209",25.08,"-","CXCR3"
"F1","AA_0176",25.36,"-","CXCR3"
"F2","AA_0176",25.66,"-","CXCR3"
"G1","AA_0090",27.82,"-","CXCR3"
"G2","AA_0090",28.41,"-","CXCR3"
"H1","AA_0121",25.56,"-","CXCR3"
"H2","AA_0121",26.16,"-","CXCR3"
"A3","AA_0106",24.02,"-","IRG6"
"A4","AA_0106",24.54,"-","IRG6"
"B3","AA_0113",22.46,"-","IRG6"
"B4","AA_0113",23.08,"-","IRG6"
"C3","AA_0190",24.45,"-","IRG6"
"C4","AA_0190",24.88,"-","IRG6"
"D3","AA_0173",22.75,"-","IRG6"
"D4","AA_0173",22.86,"-","IRG6"
"E3","AA_0209",22.61,"-","IRG6"
"E4","AA_0209",22.91,"-","IRG6"
"F3","AA_0176",23.49,"-","IRG6"
"F4","AA_0176",23.81,"-","IRG6"
"G3","AA_0090",25.2,"-","IRG6"
"G4","AA_0090",25.18,"-","IRG6"
"H3","AA_0121",22.06,"-","IRG6"
"H4","AA_0121",21.9,"-","IRG6"
"A5","AA_0106",27.91,"-","IL-12"
"A6","AA_0106",27.22,"-","IL-12"
"B5","AA_0113",26.3,"-","IL-12"
"B6","AA_0113",25.51,"-","IL-12"
"C5","AA_0190",21.14,"-","IL-12"
"C6","AA_0190",27.24,"-","IL-12"
"D5","AA_0173",25.91,"-","IL-12"
"D6","AA_0173",25.64,"-","IL-12"
"E5","AA_0209",25.78,"-","IL-12"
"E6","AA_0209",24.76,"-","IL-12"
"F5","AA_0176",26.24,"-","IL-12"
"F6","AA_0176",26.04,"-","IL-12"
"G5","AA_0090",30.97,"-","IL-12"
"G6","AA_0090",27.4,"-","IL-12"
"H5","AA_0121",24.15,"-","IL-12"
"H6","AA_0121",25.43,"-","IL-12"
"A7","AA_0106",20.06,"-","GAPDH"
"A8","AA_0106",20.25,"-","GAPDH"
"B7","AA_0113",18.54,"-","GAPDH"
"B8","AA_0113",18.57,"-","GAPDH"
"C7","AA_0190",20.28,"-","GAPDH"
"C8","AA_0190",20.4,"-","GAPDH"
"D7","AA_0173",18.72,"-","GAPDH"
"D8","AA_0173",18.98,"-","GAPDH"
"E7","AA_0209",18.56,"-","GAPDH"
"E8","AA_0209",18.58,"-","GAPDH"
"F7","AA_0176",20.2,"-","GAPDH"
"F8","AA_0176",19.23,"-","GAPDH"
"G7","AA_0090",20.77,"-","GAPDH"
"G8","AA_0090",21.21,"-","GAPDH"
"H7","AA_0121",18.17,"-","GAPDH"
"H8","AA_0121",18.97,"-","GAPDH"
"A9","AA_0106",23.82,"-","B-actin"
"A10","AA_0106",23.93,"-","B-actin"
"B9","AA_0113",22.51,"-","B-actin"
"B10","AA_0113",22.49,"-","B-actin"
"C9","AA_0190",24.04,"-","B-actin"
"C10","AA_0190",23.79,"-","B-actin"
"D9","AA_0173",23.15,"-","B-actin"
"D10","AA_0173",22.83,"-","B-actin"
"E9","AA_0209",22.26,"-","B-actin"
"E10","AA_0209",22.32,"-","B-actin"
"F9","AA_0176",22.69,"-","B-actin"
"F10","AA_0176",22.61,"-","B-actin"
"G9","AA_0090",23.91,"-","B-actin"
"G10","AA_0090",24.79,"-","B-actin"
"H9","AA_0121",22.89,"-","B-actin"
"H10","AA_0121",22.91,"-","B-actin"
