"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A","-","-","negative"
"B11","CXCR3","-","-","negative"
"C11","IL-12rb1","-","-","negative"
"D11","B-actin","-","-","negative"
"E11","GAPDH",36.2,"-","negative"
"A1","AA_0237",24.8,"-","CXCR3"
"A2","AA_0237",24.79,"-","CXCR3"
"B1","AA_0259",31.17,"-","CXCR3"
"B2","AA_0259",33.41,"-","CXCR3"
"C1","AA_0298",31.05,"-","CXCR3"
"C2","AA_0298",32.12,"-","CXCR3"
"D1","AA_0303",25.32,"-","CXCR3"
"D2","AA_0303",25.54,"-","CXCR3"
"E1","AA_0314",28.45,"-","CXCR3"
"E2","AA_0314",28.52,"-","CXCR3"
"F1","AA_0316",31.37,"-","CXCR3"
"F2","AA_0316",31.42,"-","CXCR3"
"G1","AA_0345",25.08,"-","CXCR3"
"G2","AA_0345",25.44,"-","CXCR3"
"H1","AA_0347",25.03,"-","CXCR3"
"H2","AA_0347",24.98,"-","CXCR3"
"A3","AA_0237",22.31,"-","IRG6"
"A4","AA_0237",22.2,"-","IRG6"
"B3","AA_0259",24.64,"-","IRG6"
"B4","AA_0259",23.31,"-","IRG6"
"C3","AA_0298",33.11,"-","IRG6"
"C4","AA_0298",32,"-","IRG6"
"D3","AA_0303",23.03,"-","IRG6"
"D4","AA_0303",23,"-","IRG6"
"E3","AA_0314",26.89,"-","IRG6"
"E4","AA_0314",26.12,"-","IRG6"
"F3","AA_0316",30.55,"-","IRG6"
"F4","AA_0316",27.7,"-","IRG6"
"G3","AA_0345",22.82,"-","IRG6"
"G4","AA_0345",21.6,"-","IRG6"
"H3","AA_0347",22.31,"-","IRG6"
"H4","AA_0347",22.15,"-","IRG6"
"A5","AA_0237",24.31,"-","IL-12"
"A6","AA_0237",24.08,"-","IL-12"
"B5","AA_0259","","-","IL-12"
"B6","AA_0259",34.9,"-","IL-12"
"C5","AA_0298",34.85,"-","IL-12"
"C6","AA_0298",38.89,"-","IL-12"
"D5","AA_0303",25.2,"-","IL-12"
"D6","AA_0303",25.4,"-","IL-12"
"E5","AA_0314",30.36,"-","IL-12"
"E6","AA_0314",29.52,"-","IL-12"
"F5","AA_0316",33.26,"-","IL-12"
"F6","AA_0316",37.21,"-","IL-12"
"G5","AA_0345",23.46,"-","IL-12"
"G6","AA_0345",23.14,"-","IL-12"
"H5","AA_0347",23.72,"-","IL-12"
"H6","AA_0347",23.7,"-","IL-12"
"A7","AA_0237",17.77,"-","GAPDH"
"A8","AA_0237",17.22,"-","GAPDH"
"B7","AA_0259",25.31,"-","GAPDH"
"B8","AA_0259",25.43,"-","GAPDH"
"C7","AA_0298",24.2,"-","GAPDH"
"C8","AA_0298",24.54,"-","GAPDH"
"D7","AA_0303",17.97,"-","GAPDH"
"D8","AA_0303",18.19,"-","GAPDH"
"E7","AA_0314",20.81,"-","GAPDH"
"E8","AA_0314",20.68,"-","GAPDH"
"F7","AA_0316",23.49,"-","GAPDH"
"F8","AA_0316",23.45,"-","GAPDH"
"G7","AA_0345",18.53,"-","GAPDH"
"G8","AA_0345",18.41,"-","GAPDH"
"H7","AA_0347",17.58,"-","GAPDH"
"H8","AA_0347",17.73,"-","GAPDH"
"A9","AA_0237",21.98,"-","B-actin"
"A10","AA_0237",22.3,"-","B-actin"
"B9","AA_0259",30.45,"-","B-actin"
"B10","AA_0259",23.27,"-","B-actin"
"C9","AA_0298",28.75,"-","B-actin"
"C10","AA_0298",28.82,"-","B-actin"
"D9","AA_0303",22.91,"-","B-actin"
"D10","AA_0303",22.75,"-","B-actin"
"E9","AA_0314",25.51,"-","B-actin"
"E10","AA_0314",25.88,"-","B-actin"
"F9","AA_0316",28.19,"-","B-actin"
"F10","AA_0316",28.6,"-","B-actin"
"G9","AA_0345",22.63,"-","B-actin"
"G10","AA_0345",22.84,"-","B-actin"
"H9","AA_0347",19.5,"-","B-actin"
"H10","AA_0347",19.67,"-","B-actin"
