"Pos","Name","Ct.SYBR","Ct.Mean.SYBR","Ct.Dev..SYBR","Amount.SYBR..Copies.","Amount.Mean.SYBR","Amount.Dev..SYBR","Target.SYBR","fileName","tissue","EH_ID"
"D2","CEWE_AA_0344","20.85",20.88,"0.15","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0344"
"D3","CEWE_AA_0344","21.04",20.88,"0.15","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0344"
"D4","CEWE_AA_0344","31.11",31.63,"0.49","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0344"
"D5","CEWE_AA_0344","31.7",31.63,"0.49","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0344"
"D6","CEWE_AA_0344","32.08",31.63,"0.49","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0344"
"D7","ILWE_AA_0344","23.36",23.51,"0.14","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0344"
"D8","ILWE_AA_0344","23.63",23.51,"0.14","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0344"
"D9","ILWE_AA_0344","23.54",23.51,"0.14","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0344"
"D10","ILWE_AA_0344","36.89",35.81,"1.08","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0344"
"D11","ILWE_AA_0344","34.73",35.81,"1.08","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0344"
"D12","ILWE_AA_0344","35.81",35.81,"1.08","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0344"
"E1","CEWE_AA_0345","21.22",21.37,"0.15","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0345"
"E2","CEWE_AA_0345","21.36",21.37,"0.15","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0345"
"E3","CEWE_AA_0345","21.52",21.37,"0.15","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0345"
"E4","CEWE_AA_0345","30.23",30.19,"0.41","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0345"
"E5","CEWE_AA_0345","30.58",30.19,"0.41","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0345"
"E6","CEWE_AA_0345","29.76",30.19,"0.41","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0345"
"E7","ILWE_AA_0345","21.93",22.03,"0.23","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0345"
"E8","ILWE_AA_0345","21.86",22.03,"0.23","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0345"
"E9","ILWE_AA_0345","22.3",22.03,"0.23","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0345"
"E10","ILWE_AA_0345","33.96",34.55,"0.52","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0345"
"E11","ILWE_AA_0345","34.85",34.55,"0.52","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0345"
"E12","ILWE_AA_0345","34.86",34.55,"0.52","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0345"
"F1","CEWE_AA_0346","21.94",21.88,"0.06","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0346"
"F2","CEWE_AA_0346","21.9",21.88,"0.06","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0346"
"F3","CEWE_AA_0346","21.82",21.88,"0.06","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0346"
"F4","CEWE_AA_0346","33.94",33.63,"0.27","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0346"
"F5","CEWE_AA_0346","33.48",33.63,"0.27","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0346"
"F6","CEWE_AA_0346","33.46",33.63,"0.27","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0346"
"F7","ILWE_AA_0346","21.13",21.57,"0.39","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0346"
"F8","ILWE_AA_0346","21.72",21.57,"0.39","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0346"
"F9","ILWE_AA_0346","21.87",21.57,"0.39","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0346"
"F10","ILWE_AA_0346","33.1",33.04,"0.3","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0346"
"F11","ILWE_AA_0346","33.3",33.04,"0.3","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0346"
"F12","ILWE_AA_0346","32.72",33.04,"0.3","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0346"
"G1","CEWE_AA_0347","20.38",20.52,"0.18","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0347"
"G2","CEWE_AA_0347","20.72",20.52,"0.18","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0347"
"G3","CEWE_AA_0347","20.46",20.52,"0.18","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","CEWE","AA_0347"
"G4","CEWE_AA_0347","33.16",33.16,"0.61","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0347"
"G5","CEWE_AA_0347","33.77",33.16,"0.61","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0347"
"G6","CEWE_AA_0347","32.56",33.16,"0.61","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","CEWE","AA_0347"
"G7","ILWE_AA_0347","21.91",21.91,"0.05","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0347"
"G8","ILWE_AA_0347","21.87",21.91,"0.05","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0347"
"G9","ILWE_AA_0347","21.97",21.91,"0.05","1",NA,NA,"mouse "," QPCR01.06.2018.XLS.csv","ILWE","AA_0347"
"G10","ILWE_AA_0347","32.93",33.46,"0.57","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0347"
"G11","ILWE_AA_0347","33.39",33.46,"0.57","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0347"
"G12","ILWE_AA_0347","34.07",33.46,"0.57","1",NA,NA,"eimeria "," QPCR01.06.2018.XLS.csv","ILWE","AA_0347"
"A1","CEWE_AA_0349","21.46",23.41,"2.53","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0349"
"A2","CEWE_AA_0349","22.5",23.41,"2.53","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0349"
"A3","CEWE_AA_0349","26.28",23.41,"2.53","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0349"
"A4","CEWE_AA_0349","37.95",34.86,"4.59","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0349"
"A5","CEWE_AA_0349","37.05",34.86,"4.59","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0349"
"A6","CEWE_AA_0349","29.58",34.86,"4.59","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0349"
"A7","ILWE_AA_0349","21.42",21.39,"0.04","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0349"
"A8","ILWE_AA_0349","21.34",21.39,"0.04","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0349"
"A9","ILWE_AA_0349","21.39",21.39,"0.04","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0349"
"A10","ILWE_AA_0349","32.81",33.79,"1.19","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0349"
"A11","ILWE_AA_0349","33.44",33.79,"1.19","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0349"
"A12","ILWE_AA_0349","35.11",33.79,"1.19","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0349"
"B1","CEWE_AA_0350","19.76",20.08,"0.71","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0350"
"B2","CEWE_AA_0350","19.59",20.08,"0.71","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0350"
"B3","CEWE_AA_0350","20.89",20.08,"0.71","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0350"
"B4","CEWE_AA_0350","33.79",33.45,"0.79","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0350"
"B5","CEWE_AA_0350","34.01",33.45,"0.79","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0350"
"B6","CEWE_AA_0350","32.55",33.45,"0.79","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0350"
"B7","ILWE_AA_0350","22.68",21.93,"1.29","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0350"
"B8","ILWE_AA_0350","22.67",21.93,"1.29","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0350"
"B9","ILWE_AA_0350","20.45",21.93,"1.29","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0350"
"B10","ILWE_AA_0350","31.53",33.68,"1.91","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0350"
"B11","ILWE_AA_0350","34.32",33.68,"1.91","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0350"
"B12","ILWE_AA_0350","35.19",33.68,"1.91","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0350"
"C1","CEWE_AA_0351","23.04",22.18,"1.39","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0351"
"C2","CEWE_AA_0351","22.92",22.18,"1.39","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0351"
"C3","CEWE_AA_0351","20.57",22.18,"1.39","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0351"
"C4","CEWE_AA_0351","30.36",30.19,"0.25","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0351"
"C5","CEWE_AA_0351","30.3",30.19,"0.25","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0351"
"C6","CEWE_AA_0351","29.9",30.19,"0.25","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0351"
"C7","ILWE_AA_0351","22.67",22.95,"0.37","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0351"
"C8","ILWE_AA_0351","23.37",22.95,"0.37","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0351"
"C9","ILWE_AA_0351","22.82",22.95,"0.37","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","ILWE","AA_0351"
"C10","ILWE_AA_0351","33.71",33.77,"0.93","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0351"
"C11","ILWE_AA_0351","32.87",33.77,"0.93","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0351"
"C12","ILWE_AA_0351","34.72",33.77,"0.93","1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","ILWE","AA_0351"
"D1","CEWE_AA_0352","23.22",22.89,"0.29","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0352"
"D2","CEWE_AA_0352","22.77",22.89,"0.29","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0352"
"D3","CEWE_AA_0352","22.67",22.89,"0.29","1",NA,NA,"mouse "," QPCR01.07.2018.XLS.csv","CEWE","AA_0352"
"D4","CEWE_AA_0352","35.8",NA,NA,"1",NA,NA,"eimeria "," QPCR01.07.2018.XLS.csv","CEWE","AA_0352"
