"","Mouse_ID","Sex","Longitude","Latitude","Year","HI_NLoci","HI","Body_weight","Body_length","Species","Spleen_mass","Status","mean_neubauer","OPG","delta_ct_cewe_MminusE","eimeriaSpecies","observer"
"1","AA_0053","F",13.9289,52.5028,2016,"HI 12",0.608695652,20.184,85,"mus musculus",NA,NA,0,0,-0.27,"E_ferrisi","Mert"
"2","AA_0064","F",13.4642,52.4164,2016,"HI 13",0.08,16.199,73,"mus musculus","48",NA,NA,NA,-2.13,"E_ferrisi","Tabea"
"3","AA_0065","M",13.4642,52.4164,2016,"HI 14",0,14,75,"mus musculus","37",NA,0.25,10000,-2.2166666667,"E_ferrisi","Mert"
"4","AA_0066","F",13.4642,52.4164,2016,"HI 13",0.12,19.447,87,"mus musculus","0.02",NA,NA,NA,-2.58,"E_ferrisi","Tabea"
"5","AA_0067","M",13.4642,52.4164,2016,"HI 14",0.1,18.73,79,"mus musculus","26",NA,0.125,5000,-3.5933333333,"E_ferrisi","Mert"
"6","AA_0068","F",13.4642,52.4164,2016,"HI 13",0.04,16.799,83,"mus musculus","34",NA,2.125,85000,-1.15,"E_ferrisi","Victor"
"7","AA_0070","F",13.4642,52.4164,2016,"HI 13",0,13.956,72,"mus musculus","21",NA,0,0,-3.94,"E_ferrisi","Tabea&Victor"
"8","AA_0080c",NA,NA,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E_ferrisi",NA
"9","AA_0094","F",13.3047,52.9936,2016,"HI 13",0.04,16.76,81,"mus musculus","33",NA,2.5,250000,0.9433333333,"E_ferrisi","Mert"
"10","AA_0100","F",13.4639,51.8625,2016,"HI 12",0,5.823,59,"mus musculus","8",NA,0.25,12500,1.96,"E_ferrisi","Mert"
"11","AA_0113","M",13.84,52.2678,2016,"HI 13",0.157894737,9.768,64,"mus musculus","0.03",NA,NA,NA,-1.45,"E_ferrisi","Mert"
"12","AA_0120","F",13.895,52.9581,2016,"HI 12",0.869565217,15.73,84,"mus musculus","42",NA,0,0,-2.77,"E_ferrisi","Mert"
"13","AA_0121","F",13.895,52.9581,2016,"HI 9",0.888888889,21.55,94,"mus musculus","43",NA,NA,NA,-3.1266666667,"E_ferrisi","Mert"
"14","AA_0139","M",14.0403,52.4317,2016,"HI 14",0.85,9.8,64,"mus musculus","14",NA,0.125,NA,-1.9033333333,"E_ferrisi","Mert"
"15","AA_0165","F",13.847336,51.853542,2016,"HI 13",0.4,11.39,73,"mus musculus","27",NA,0,0,-2.2533333333,"E_ferrisi","Mert"
"16","AA_0167","F",13.847336,51.853542,2016,"HI 13",0.52,18.09,89,"mus musculus","38",NA,0,0,-4.6866666667,"E_ferrisi","Mert"
"17","AA_0168","F",13.847336,51.853542,2016,"HI 13",0.52,11.83,70,"mus musculus","0.05",NA,0,0,-3.35,"E_ferrisi","Mert"
"18","AA_0169","M",13.847336,51.853542,2016,"HI 7",0.2307692308,17.1,81,"mus musculus","33",NA,NA,NA,-4.8333333333,"E_ferrisi","Mert"
"19","AA_0173","M",14.0358,53.02,2016,"HI 14",0.9,17.61,83,"mus musculus","0.09",NA,7,233333.333333333,1.13,"E_ferrisi","Mert"
"20","AA_0175","F",13.847336,51.853542,2016,"HI 12",0.3043478261,15.9,81,"mus musculus","0.04",NA,0.125,3125,-2.8966666667,"E_ferrisi","Mert"
"21","AA_0190","F",13.847336,51.853542,2016,"HI 13",0.56,21.23,95,"mus musculus","33",NA,0,0,-3.0766666667,"E_ferrisi","Mert"
"22","AA_0237","F",13.666418,52.733898,2017,"HI 13",0,21.69,83.04,"Mus musculus","0.0303","pregnant",0,0,-4.82,"E_ferrisi","Lorenzo"
"23","AA_0243","M",13.8119,52.8875,2017,"HI 14",0.85,11.13,70.42,"Mus musculus","0.0164","adult",3.125,578703.703703704,-2.375,"E_ferrisi","Lorenzo"
"24","AA_0248","F",13.6025,52.2225,2017,"HI 13",0,14.87,80.11,"Mus musculus","0.0331","adult",0.125,30487.8048780488,-6.685,"E_ferrisi","Lorenzo"
"25","AA_0252","M",13.6025,52.2225,2017,"HI 14",0.05,18.36,84.24,"Mus musculus","0.0316","adult",0,0,-8.63,"E_ferrisi","Lorenzo"
"26","AA_0257","M",13.6025,52.2225,2017,"HI 14",0,16.84,82.62,"Mus musculus","0.03","adult",14.625,1720588.23529412,-1.61,"E_ferrisi","Lorenzo"
"27","AA_0259","F",13.6025,52.2225,2017,"HI 12",0.083333333,12.85,71.94,"Mus musculus","0.05","adult",5.25,1875000,-4.55,"E_ferrisi","Lorenzo"
"28","AA_0260","F",13.6025,52.2225,2017,"HI 10",0,17.82,83.01,"Mus musculus","0.07","adult",1.25,367647.058823529,-7.17,"E_ferrisi","Lorenzo"
"29","AA_0296","M",14.0953,52.7383,2017,"HI 14",0.95,14.62,77.35,"Mus musculus","0.0288","adult",14,1538461.53846154,-3.435,"E_ferrisi","Lorenzo"
"30","AA_0298","F",14.0953,52.7383,2017,"HI 13",0.76,9.58,69.5,"Mus musculus","0.0235","young",21,16153846.1538462,-4.73,"E_ferrisi","Lorenzo"
"31","AA_0299","M",14.0953,52.7383,2017,"HI 13",0.894736842,16.97,85.87,"Mus musculus","48","adult",0,0,-11.1,"E_ferrisi","Lorenzo"
"32","AA_0303","M",13.8675,52.2428,2017,"HI 14",0.2,18.92,83.28,"Mus musculus","0.0528","adult",1.125,2812500,-2.07,"E_ferrisi","Lorenzo"
"33","AA_0308","M",13.8675,52.2428,2017,"HI 14",0.3,14.44,75.23,"Mus musculus","0.0395","adult",4.625,889423.076923077,-6.32,"E_ferrisi","Lorenzo"
"34","AA_0309","F",13.8675,52.2428,2017,"HI 13",0.24,15.87,83.14,"Mus musculus","0.0544","adult",1,1666666.66666667,NA,"E_ferrisi","Lorenzo"
"35","AA_0312","F",14.0953,52.7383,2017,"HI 13",0.96,19.84,78.14,"Mus musculus","0.07","adult",6.5,144444.444444444,-11.41,"E_ferrisi","Lorenzo"
"36","AA_0314","M",13.8675,52.2428,2017,"HI 14",0.3,13.68,66.99,"Mus musculus","28","adult",9.25,7708333.33333333,-2.82,"E_ferrisi","Lorenzo"
"37","AA_0316","M",14.1161,52.7914,2017,"HI 13",0.631578947,10.59,69.08,"Mus musculus","0.02","adult",9.375,302419.35483871,-3.06,"E_ferrisi","Lorenzo"
"38","AA_0317","M",13.8675,52.2428,2017,"HI 14",0.25,17.55,82.54,"Mus musculus","0.03","adult",0.75,153061.224489796,-6.98,"E_ferrisi","Lorenzo"
"39","AA_0319","F",13.8103,51.8978,2017,"HI 13",0.08,14.2,73.41,"Mus musculus","0.02","adult",25.875,3080357.14285714,-7.82,"E_ferrisi","Lorenzo"
"40","AA_0348","M",13.4408,53.0497,2017,"HI 13",0.777777778,17.49,77.47,"Mus musculus","0.07",NA,0,0,-4.945,"E_ferrisi","Lorenzo"
"41","AA_0350","M",13.4408,53.0497,2017,"HI 14",0.75,17.18,80.78,"Mus musculus","0.05",NA,1.375,30555.5555555556,-11.77,"E_ferrisi","Lorenzo"
"42","AA_0374","M",14.1808,52.0747,2017,"HI 14",0.55,15.4,77.68,"Mus musculus","0.0246","adult",0,0,-6.88,"E_ferrisi","Lorenzo"
"43","AA_0375","M",14.1808,52.0747,2017,"HI 10",0.75,16.8,81.48,"Mus musculus","0.0305","adult",0,0,-12.34,"E_ferrisi","Lorenzo"
"44","AA_0393","F",14.1442,52.0172,2017,"HI 12",0.869565217,19.03,85.09,"Mus musculus","49","post partum",0,0,-14.115,"E_ferrisi","Lorenzo"
"45","AA_0409","F",14.1808,52.0747,2017,"HI 13",0.8,12.98,67.4,"Mus musculus","0.03","adult",9.375,1266891.89189189,-7.05,"E_ferrisi","Lorenzo"
"46","AA_0413","F",14.1808,52.0747,2017,"HI 12",0.391304348,20.03,84.76,"Mus musculus","0.05","adult",0,0,-2.85,"E_ferrisi","Lorenzo"
"47","AA_0417","M",14.2775,52.6867,2017,"HI 13",0.736842105,8.44,66.83,"Mus musculus",NA,"young",NA,NA,NA,"E_ferrisi",NA
"48","AA_0428","F",14.2775,52.6867,2017,"HI 12",0.826086957,11,71.29,"Mus musculus","0.0168","young",6.875,577731.092436975,-1.13,"E_ferrisi","Lorenzo"
"49","AA_0430","M",14.2775,52.6867,2017,"HI 13",0.947368421,10.31,69.68,"Mus musculus","0.0164","adult",98,15312500,-7.96,"E_ferrisi","Lorenzo"
"50","AA_0431","M",14.2769,52.6778,2017,"HI 13",0.894736842,12.98,73.32,"Mus musculus","0.0288","adult",6,882352.94117647,-4.985,"E_ferrisi","Lorenzo"
"51","AA_0441","F",14.2606,52.0875,2017,"HI 12",0.869565217,13.8,76.45,"Mus musculus","0.0459","adult",0,0,-5.68,"E_ferrisi","Lorenzo"
"52","AA_0446","M",14.2775,52.6867,2017,"HI 13",0.842105263,8.89,69.46,"Mus musculus","0.03","adult",93.375,40597826.0869565,-3.53,"E_ferrisi","Lorenzo"
"53","AA_0452","F",13.6506,53.2108,2017,"HI 12",0.956521739,9.69,65.32,"Mus musculus","0.03","adult",5.25,228260.869565217,-3.22,"E_ferrisi","Lorenzo"
"54","AA_0454","F",14.2606,52.0875,2017,"HI 12",0.826086957,8.99,67.68,"Mus musculus","0.02","young",30.875,11875000,1.33,"E_ferrisi","Lorenzo"
"55","AA_0455","F",14.2606,52.0875,2017,"HI 12",0.826086957,13.35,71.54,"Mus musculus","0.03","adult",9.625,1782407.40740741,-7.88,"E_ferrisi","Lorenzo"
"56","AA_0458","F",14.2697,52.0439,2017,"HI 12",0.826086957,15.58,75.52,"Mus musculus","0.03","adult",0.125,21551.724137931,0.350000000000001,"E_ferrisi","Lorenzo"
