"Mouse_ID","Feces_Weight","Year","counter","date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","Ncells","PBS_dil_in_mL","OPG","mean_neubauer"
"AA_0858",0.18,2021,"Josi","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"AA_0859",0.61,2021,"Josi","",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"AA_0860",0.8,2021,"Josi","November2021",0,0,0,0,NA,NA,NA,NA,4,1,NA,NA
"AA_0861",0.23,2021,"Josi","November2021",8,6,2,12,NA,NA,NA,NA,4,1,NA,NA
"AA_0862",0.18,2021,"Josi","December2021",2,0,0,1,3,1,0,2,8,1,7812.5,1.125
"AA_0863",0.08,2021,"Josi","December2021",1,1,1,2,1,3,0,3,8,1,23437.5,1.5
"AA_0864",0.46,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0865",0.35,2021,"Josi","December2021",1,0,0,0,0,0,0,0,8,1,446.428571428571,0.125
"AA_0866",0.23,2021,"Josi","December2021",1,1,0,0,0,0,0,0,8,1,1358.69565217391,0.25
"AA_0867",0.44,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0868",0.18,2021,"Josi","December2021",0,0,0,0,1,0,0,0,8,1,868.055555555556,0.125
"AA_0869",0.24,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0870",0.17,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0871",0.34,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0872",0.29,2021,"Josi","December2021",0,0,1,0,0,0,0,0,8,1,538.793103448276,0.125
"AA_0873",0.2,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0874",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0875",0.21,2021,"Josi","December2021",0,1,0,1,0,0,1,0,8,1,2232.14285714286,0.375
"AA_0876",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0877",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0878",0.31,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
"AA_0879",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0880",0.2,2021,"Josi","December2021",2,4,0,1,0,1,1,2,8,1,8593.75,1.375
"AA_0881",NA,2021,"Josi","December2021",NA,NA,NA,NA,NA,NA,NA,NA,8,1,NA,NA
"AA_0882",0.13,2021,"Josi","December2021",0,0,0,1,0,0,0,0,8,1,1201.92307692308,0.125
"AA_0883",0.09,2021,"Josi","December2021",0,0,0,0,0,0,0,0,8,1,0,0
