Mouse_ID,DNA_Dilution_ng/microliter,dest_Water,Nanodrop_1,Nanodrop_2,ILWE_260/280,ILWE_260/230,ILWE_Tissue_used_up,Date_Extraction,ILWE_DNA_Content_ng/microliter
AA_0524,10.15,89.85,,,2.0,1.97,NA,NA,492.4
AA_0525,17.91,82.09,,,1.9,1.84,NA,NA,279.2
AA_0526,17.00,83.00,,,2.1,1.96,NA,NA,294.2
AA_0527,62.97,37.03,,,2.2,1.37,NA,NA,79.4
AA_0528,20.84,79.16,,,1.9,1.30,NA,NA,239.9
AA_0529,19.22,80.78,,,2.0,2.00,NA,NA,260.2
AA_0530,41.32,58.68,,,2.0,0.99,NA,NA,121.0
AA_0531,17.34,82.66,,,2.0,1.54,NA,NA,288.4
AA_0532,15.30,84.70,,,1.9,2.01,NA,NA,326.9
AA_0533,25.48,74.52,,,2.0,1.11,NA,NA,196.2
AA_0534,27.67,72.33,,,2.0,1.61,NA,NA,180.7
AA_0535,15.85,84.15,,,1.9,1.36,NA,NA,315.5
AA_0536,28.89,71.11,,,2.0,1.89,NA,NA,173.1
AA_0537,60.39,39.61,,,2.0,1.33,NA,NA,82.8
AA_0538,25.24,74.76,,,2.1,1.81,NA,NA,198.1
AA_0539,20.00,80.00,,,1.9,2.10,NA,NA,250.0
AA_0540,24.59,75.41,,,2.0,2.03,NA,NA,203.3
AA_0541,30.07,69.93,,,2.2,1.83,NA,NA,166.3
AA_0542,69.64,30.36,,,1.5,0.56,NA,NA,71.8
AA_0543,9.33,90.67,,,1.9,2.13,NA,NA,535.9
AA_0544,25.00,75.00,,,2.0,1.37,NA,NA,200.0
AA_0545,25.06,74.94,,,2.0,1.73,NA,NA,199.5
AA_0546,36.52,63.48,,,2.1,2.38,NA,NA,136.9
AA_0547,44.68,55.32,,,2.2,1.78,NA,NA,111.9
AA_0548,28.26,71.74,,,2.0,1.59,NA,NA,176.9
AA_0549,37.45,62.55,,,2.0,1.45,NA,NA,133.5
AA_0550,15.32,84.68,,,1.9,2.15,NA,NA,326.3
AA_0551,17.93,82.07,,,1.9,1.66,NA,NA,278.8
AA_0552,44.09,55.91,,,2.2,1.63,NA,NA,113.4
AA_0553,38.82,61.18,,,2.0,1.92,NA,NA,128.8
