# File Name: qPCR_eimeria_field_faeces_FW_27012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-27 02:45:26 PM UTC
# Run End Date/Time: 2022-01-27 04:06:06 PM UTC
# Run Duration: 80 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 02:47:00 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 02:47:27 PM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","69","Eim","80.5413589477539","232879.0625","32285.66796875"
"1","A1","70","Eim","80.8435287475586","220374.484375","33500.87109375"
"1","A1","71","Eim","81.14569854736328","206610.46875","34644.65625"
"1","A1","72","Eim","81.4478759765625","195399.421875","35374.2109375"
"1","A1","73","Eim","81.75004577636719","183989.5","35451.6640625"
"1","A1","74","Eim","82.05221557617188","171154.828125","34756.46875"
"1","A1","75","Eim","82.35438537597656","156416.375","33299.34765625"
"1","A1","76","Eim","82.65655517578125","146213.5625","31228.916015625"
"1","A1","77","Eim","82.95872497558594","134853.890625","28808.01171875"
"1","A1","78","Eim","83.26090240478516","129147.0","26342.138671875"
"1","A1","79","Eim","83.56307220458984","124399.375","24076.9765625"
"1","A1","80","Eim","83.86524200439453","118630.5","22112.404296875"
"1","A1","81","Eim","84.16741943359375","112482.0078125","20384.283203125"
"1","A1","82","Eim","84.46958923339844","104015.7890625","18729.1484375"
"1","A1","83","Eim","84.77175903320312","95977.2578125","16996.703125"
"1","A1","84","Eim","85.07392883300781","91747.40625","15144.5966796875"
"1","A1","85","Eim","85.3760986328125","87681.3515625","13206.1318359375"
"1","A1","86","Eim","85.67826843261719","86227.390625","11347.8857421875"
"1","A1","87","Eim","85.9804458618164","84740.625","9812.3720703125"
"1","A1","88","Eim","86.2826156616211","80499.078125","8681.31640625"
"1","A1","89","Eim","86.58478546142578","81085.484375","7923.16357421875"
"1","A1","90","Eim","86.88695526123047","75900.078125","7425.267578125"
"1","A1","91","Eim","87.18913269042969","75265.859375","7053.80078125"
"1","A1","92","Eim","87.49130249023438","71849.9921875","6706.5703125"
"1","A1","93","Eim","87.79347229003906","70993.9765625","6336.07666015625"
"1","A1","94","Eim","88.09564208984375","68948.8671875","5938.9384765625"
"1","A1","95","Eim","88.39781188964844","69524.4609375","5525.5732421875"
"1","A1","96","Eim","88.69998168945312","66041.40625","5093.5244140625"
"1","A1","97","Eim","89.00215911865234","64626.234375","4623.5615234375"
"1","A1","98","Eim","89.30432891845703","63226.4609375","4099.7314453125"
"1","A1","99","Eim","89.60650634765625","62110.08203125","3535.3515625"
"1","A1","100","Eim","89.90867614746094","63001.37890625","2980.69921875"
"1","A1","101","Eim","90.21084594726562","62166.73828125","2502.6083984375"
"1","A1","102","Eim","90.51301574707031","62906.4765625","2148.5126953125"
"1","A1","103","Eim","90.815185546875","60725.74609375","1919.91796875"
"1","A1","104","Eim","91.11735534667969","60969.77734375","1773.4833984375"
"1","A1","105","Eim","91.41952514648438","59302.69921875","1647.3388671875"
"1","A1","106","Eim","91.7217025756836","59571.85546875","1494.44921875"
"1","A1","107","Eim","92.02387237548828","58793.796875","1302.2734375"
"1","A1","108","Eim","92.32604217529297","59628.1640625","1089.6357421875"
"1","A1","109","Eim","92.62821960449219","59916.1171875","887.505859375"
"1","A1","110","Eim","92.93038940429688","58199.01953125","718.94140625"
"1","A1","111","Eim","93.23255920410156","58514.1015625","590.2587890625"
"1","A1","112","Eim","93.53472900390625","58867.28125","494.2685546875"
"1","A1","113","Eim","93.83689880371094","59814.9609375","418.103515625"
"1","A1","114","Eim","94.13906860351562","57544.0","348.255859375"
"1","A1","115","Eim","94.44123840332031","58269.10546875","272.443359375"
"1","A1","116","Eim","94.74341583251953","58775.1953125","181.541015625"
"2","A2","1","Eim","59.99369812011719","704388.3125","14846.744140625"
"2","A2","2","Eim","60.29587173461914","710201.4375","14815.5693359375"
"2","A2","3","Eim","60.59804153442383","709142.0625","15059.6552734375"
"2","A2","4","Eim","60.90021514892578","704394.125","15527.318359375"
"2","A2","5","Eim","61.20238494873047","700100.75","16094.6123046875"
"2","A2","6","Eim","61.50455856323242","696217.4375","16595.94921875"
"2","A2","7","Eim","61.80672836303711","688707.25","16888.12109375"
"2","A2","8","Eim","62.10890197753906","683148.25","16894.587890625"
"2","A2","9","Eim","62.41107177734375","677816.3125","16619.67578125"
"2","A2","10","Eim","62.71324157714844","672136.3125","16133.1884765625"
"2","A2","11","Eim","63.01541519165039","666137.5","15538.5615234375"
"2","A2","12","Eim","63.31758499145508","662121.125","14936.6357421875"
"2","A2","13","Eim","63.61975860595703","656672.0625","14375.6552734375"
"2","A2","14","Eim","63.92192840576172","653721.9375","13901.541015625"
"2","A2","15","Eim","64.2240982055664","650200.875","13501.0693359375"
"2","A2","16","Eim","64.52627563476562","644723.9375","13147.4638671875"
"2","A2","17","Eim","64.82844543457031","640455.1875","12825.115234375"
"2","A2","18","Eim","65.130615234375","637114.6875","12540.275390625"
"2","A2","19","Eim","65.43278503417969","631515.875","12311.203125"
"2","A2","20","Eim","65.73495483398438","629036.8125","12149.296875"
"2","A2","21","Eim","66.03712463378906","626660.3125","12048.6669921875"
"2","A2","22","Eim","66.33930206298828","621495.375","11991.9970703125"
"2","A2","23","Eim","66.64147186279297","618362.3125","11968.390625"
"2","A2","24","Eim","66.94364166259766","613855.125","11985.68359375"
"2","A2","25","Eim","67.24581146240234","609411.6875","12065.6328125"
"2","A2","26","Eim","67.54798889160156","606465.125","12222.5927734375"
"2","A2","27","Eim","67.85015869140625","603385.5625","12445.3037109375"
"2","A2","28","Eim","68.15232849121094","599505.0","12697.82421875"
"2","A2","29","Eim","68.45449829101562","596003.25","12942.4609375"
"2","A2","30","Eim","68.75666809082031","589044.125","13167.150390625"
"2","A2","31","Eim","69.05884552001953","585028.875","13396.056640625"
"2","A2","32","Eim","69.36101531982422","582894.5","13674.435546875"
"2","A2","33","Eim","69.6631851196289","577091.6875","14038.455078125"
"2","A2","34","Eim","69.9653549194336","574177.3125","14493.0859375"
"2","A2","35","Eim","70.26753234863281","569891.375","15007.982421875"
"2","A2","36","Eim","70.5697021484375","564802.0625","15531.27734375"
