# File Name: qPCR_eimeria_field_faeces_JK_07022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-07 01:32:05 PM UTC
# Run End Date/Time: 2022-02-07 02:51:33 PM UTC
# Run Duration: 79 minutes 27 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-07 03:40:32 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-07 03:40:46 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"24","B12","false","AA676","Eim","UNKNOWN","SYBR","None","Amp","1.4641007225895093","","","31.703079662624518","0.8364372453457963","31.330716505462917","0.3965411037990582","true","0.10398790081334369","true","3","28","81.61296844482422","","",""
"25","C1","false","AA569","Eim","UNKNOWN","SYBR","None","Amp","1.4672652267746404","","","24.229531668066848","0.9847957052970776","23.59910519194189","0.5459880524723909","true","0.10398790081334369","true","3","20","74.93733215332031","","",""
"26","C2","false","AA569","Eim","UNKNOWN","SYBR","None","Amp","1.4501997510837745","","","23.27891228592967","0.9444524259513725","23.59910519194189","0.5459880524723909","true","0.10398790081334369","true","3","19","74.78638458251953","","",""
"27","C3","false","AA569","Eim","UNKNOWN","SYBR","None","Amp","1.4584093357088057","","","23.288871621829166","0.935430780822184","23.59910519194189","0.5459880524723909","true","0.10398790081334369","true","3","19","74.78638458251953","","",""
"28","C4","false","AA581","Eim","UNKNOWN","SYBR","None","Amp","1.4657238207746601","","","25.953951273575697","0.917613528885432","25.496744853062804","0.5452449557375798","true","0.10398790081334369","true","3","22","75.3901596069336","","",""
"29","C5","false","AA581","Eim","UNKNOWN","SYBR","None","Amp","1.4499572662570654","","","25.64299331819079","0.8877766559338859","25.496744853062804","0.5452449557375798","true","0.10398790081334369","true","3","21","75.40067291259766","","",""
"30","C6","false","AA581","Eim","UNKNOWN","SYBR","None","Amp","1.4438395677499587","","","24.89328996742192","0.8456758170668701","25.496744853062804","0.5452449557375798","true","0.10398790081334369","true","3","22","75.55172729492188","","",""
"31","C7","false","AA652","Eim","UNKNOWN","SYBR","None","Amp","1.4610341308744927","","","29.962379693150112","0.9261852368380081","29.93517169750767","0.13608660092564764","true","0.10398790081334369","true","3","26","75.70278930664062","79.32817077636719","",""
"32","C8","false","AA652","Eim","UNKNOWN","SYBR","None","Amp","1.4575128515381968","","","30.055598877705265","0.9067936838089169","29.93517169750767","0.13608660092564764","true","0.10398790081334369","true","3","26","75.55172729492188","79.32817077636719","",""
"33","C9","false","AA652","Eim","UNKNOWN","SYBR","None","Amp","1.461693106738542","","","29.787536521667633","0.8893339685227313","29.93517169750767","0.13608660092564764","true","0.10398790081334369","true","3","26","75.4144058227539","79.49638366699219","",""
