"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A",38.21,"-","negative"
"B11","CXCR3",34.46,"-","negative"
"C11","IL-12rb1","-","-","negative"
"D11","B-actin",33.17,"-","negative"
"E11","GAPDH",34.42,"-","negative"
"A1","AA_0454",25.71,"-","CXCR3"
"A2","AA_0454",25.34,"-","CXCR3"
"B1","AA_0375",25.08,"-","CXCR3"
"B2","AA_0375",25.41,"-","CXCR3"
"C1","AA_0115",24.58,"-","CXCR3"
"C2","AA_0115",24.22,"-","CXCR3"
"D1","AA_0078",23.74,"-","CXCR3"
"D2","AA_0078",23.9,"-","CXCR3"
"E1","AA_0389",25.04,"-","CXCR3"
"E2","AA_0389",25.06,"-","CXCR3"
"F1","AA_0429",23.65,"-","CXCR3"
"F2","AA_0429",23.96,"-","CXCR3"
"G1","AA_0082",23.4,"-","CXCR3"
"G2","AA_0082",23.62,"-","CXCR3"
"H1","AA_0370",22.71,"-","CXCR3"
"H2","AA_0370",22.83,"-","CXCR3"
"A3","AA_0454",24.04,"-","IRG6"
"A4","AA_0454",25.49,"-","IRG6"
"B3","AA_0375",23.85,"-","IRG6"
"B4","AA_0375",23.37,"-","IRG6"
"C3","AA_0115",22.51,"-","IRG6"
"C4","AA_0115",22.62,"-","IRG6"
"D3","AA_0078",23.05,"-","IRG6"
"D4","AA_0078",23.22,"-","IRG6"
"E3","AA_0389",22.82,"-","IRG6"
"E4","AA_0389",23.44,"-","IRG6"
"F3","AA_0429",21.65,"-","IRG6"
"F4","AA_0429",21.53,"-","IRG6"
"G3","AA_0082",21.91,"-","IRG6"
"G4","AA_0082",22.3,"-","IRG6"
"H3","AA_0370",21.41,"-","IRG6"
"H4","AA_0370",21.67,"-","IRG6"
"A5","AA_0454",28.96,"-","IL-12"
"A6","AA_0454",27.56,"-","IL-12"
"B5","AA_0375",25.67,"-","IL-12"
"B6","AA_0375",24.99,"-","IL-12"
"C5","AA_0115",25.37,"-","IL-12"
"C6","AA_0115",24.26,"-","IL-12"
"D5","AA_0078",25.92,"-","IL-12"
"D6","AA_0078",25.16,"-","IL-12"
"E5","AA_0389",25.28,"-","IL-12"
"E6","AA_0389",24.81,"-","IL-12"
"F5","AA_0429",23.6,"-","IL-12"
"F6","AA_0429",23.17,"-","IL-12"
"G5","AA_0082",13.78,"-","IL-12"
"G6","AA_0082",23.78,"-","IL-12"
"H5","AA_0370",23.55,"-","IL-12"
"H6","AA_0370",23.41,"-","IL-12"
"A7","AA_0454",19.28,"-","GAPDH"
"A8","AA_0454",18.58,"-","GAPDH"
"B7","AA_0375",19.03,"-","GAPDH"
"B8","AA_0375",18.8,"-","GAPDH"
"C7","AA_0115",18.28,"-","GAPDH"
"C8","AA_0115",18.48,"-","GAPDH"
"D7","AA_0078",19.22,"-","GAPDH"
"D8","AA_0078",19.44,"-","GAPDH"
"E7","AA_0389",18.88,"-","GAPDH"
"E8","AA_0389",18.51,"-","GAPDH"
"F7","AA_0429",17.11,"-","GAPDH"
"F8","AA_0429",16.61,"-","GAPDH"
"G7","AA_0082",17.32,"-","GAPDH"
"G8","AA_0082",17.19,"-","GAPDH"
"H7","AA_0370",19.17,"-","GAPDH"
"H8","AA_0370",17.15,"-","GAPDH"
"A9","AA_0454",21.08,"-","B-actin"
"A10","AA_0454",22.73,"-","B-actin"
"B9","AA_0375",21.88,"-","B-actin"
"B10","AA_0375",22.59,"-","B-actin"
"C9","AA_0115",22.06,"-","B-actin"
"C10","AA_0115",22.41,"-","B-actin"
"D9","AA_0078",22.42,"-","B-actin"
"D10","AA_0078",22.24,"-","B-actin"
"E9","AA_0389",21.35,"-","B-actin"
"E10","AA_0389",21.47,"-","B-actin"
"F9","AA_0429",21.08,"-","B-actin"
"F10","AA_0429",21.54,"-","B-actin"
"G9","AA_0082",20.99,"-","B-actin"
"G10","AA_0082",21.71,"-","B-actin"
"H9","AA_0370",20.69,"-","B-actin"
"H10","AA_0370",21.08,"-","B-actin"
