"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A",36.85,"-","negative"
"B11","CXCR3","-","-","negative"
"C11","IL-12rb1","-","-","negative"
"D11","B-actin","-","-","negative"
"E11","GAPDH",32.29,"-","negative"
"A1","AA_0171",23.81,"-","CXCR3"
"A2","AA_0171",23.35,"-","CXCR3"
"B1","AA_0390",19.9,"-","CXCR3"
"B2","AA_0390",26.52,"-","CXCR3"
"C1","AA_0169",25.56,"-","CXCR3"
"C2","AA_0169",24.75,"-","CXCR3"
"D1","AA_0438",25.94,"-","CXCR3"
"D2","AA_0438",24.73,"-","CXCR3"
"E1","AA_0101",26.82,"-","CXCR3"
"E2","AA_0101",16.94,"-","CXCR3"
"F1","AA_0094","","-","CXCR3"
"F2","AA_0094",24.6,"-","CXCR3"
"G1","AA_0424",25.09,"-","CXCR3"
"G2","AA_0424",24.76,"-","CXCR3"
"H1","AA_0167",24.39,"-","CXCR3"
"H2","AA_0167",23.84,"-","CXCR3"
"A3","AA_0171",21.18,"-","IRG6"
"A4","AA_0171",20.61,"-","IRG6"
"B3","AA_0390",24.49,"-","IRG6"
"B4","AA_0390",24.28,"-","IRG6"
"C3","AA_0169",22.58,"-","IRG6"
"C4","AA_0169",22.47,"-","IRG6"
"D3","AA_0438",22.64,"-","IRG6"
"D4","AA_0438",22.31,"-","IRG6"
"E3","AA_0101",23.83,"-","IRG6"
"E4","AA_0101",22.85,"-","IRG6"
"F3","AA_0094",23.17,"-","IRG6"
"F4","AA_0094",23.22,"-","IRG6"
"G3","AA_0424",23.53,"-","IRG6"
"G4","AA_0424",23.23,"-","IRG6"
"H3","AA_0167",22.71,"-","IRG6"
"H4","AA_0167",22.55,"-","IRG6"
"A5","AA_0171",22.19,"-","IL-12"
"A6","AA_0171",22.29,"-","IL-12"
"B5","AA_0390",26.15,"-","IL-12"
"B6","AA_0390",25.9,"-","IL-12"
"C5","AA_0169",24.18,"-","IL-12"
"C6","AA_0169",23.91,"-","IL-12"
"D5","AA_0438",24.02,"-","IL-12"
"D6","AA_0438",24.1,"-","IL-12"
"E5","AA_0101",25.38,"-","IL-12"
"E6","AA_0101",25.49,"-","IL-12"
"F5","AA_0094",25.28,"-","IL-12"
"F6","AA_0094",25.21,"-","IL-12"
"G5","AA_0424",25.27,"-","IL-12"
"G6","AA_0424",24.63,"-","IL-12"
"H5","AA_0167",23.96,"-","IL-12"
"H6","AA_0167",23.94,"-","IL-12"
"A7","AA_0171",16.25,"-","GAPDH"
"A8","AA_0171",16.25,"-","GAPDH"
"B7","AA_0390",19.69,"-","GAPDH"
"B8","AA_0390",19.65,"-","GAPDH"
"C7","AA_0169",18.51,"-","GAPDH"
"C8","AA_0169",18.41,"-","GAPDH"
"D7","AA_0438",18.32,"-","GAPDH"
"D8","AA_0438",18.17,"-","GAPDH"
"E7","AA_0101",19.76,"-","GAPDH"
"E8","AA_0101",19.49,"-","GAPDH"
"F7","AA_0094",19.05,"-","GAPDH"
"F8","AA_0094",18.91,"-","GAPDH"
"G7","AA_0424",18.68,"-","GAPDH"
"G8","AA_0424",18.81,"-","GAPDH"
"H7","AA_0167",18.57,"-","GAPDH"
"H8","AA_0167",18.05,"-","GAPDH"
"A9","AA_0171",20.52,"-","B-actin"
"A10","AA_0171",20.69,"-","B-actin"
"B9","AA_0390",23.37,"-","B-actin"
"B10","AA_0390",21.57,"-","B-actin"
"C9","AA_0169",22.69,"-","B-actin"
"C10","AA_0169",22.51,"-","B-actin"
"D9","AA_0438",26.45,"-","B-actin"
"D10","AA_0438","","-","B-actin"
"E9","AA_0101",25.73,"-","B-actin"
"E10","AA_0101",23.63,"-","B-actin"
"F9","AA_0094",22.9,"-","B-actin"
"F10","AA_0094",22.9,"-","B-actin"
"G9","AA_0424",22.3,"-","B-actin"
"G10","AA_0424",34.08,"-","B-actin"
"H9","AA_0167",22.4,"-","B-actin"
"H10","AA_0167",25.07,"-","B-actin"
