"Pos","Name","Ct SYBR","Ct Mean SYBR","Ct Dev. SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A","-","","","-","negative"
"B11","CXCR3","-","","","-","negative"
"C11","IL-12rb1","-","","","-","negative"
"D11","B-actin",37.68,"","","-","negative"
"E11","GAPDH",33.94,"","","-","negative"
"A1","AA_0067",26.3,26.5,0.28,"-","CXCR3"
"A2","AA_0067",26.7,26.5,0.28,"-","CXCR3"
"B1","AA_0352",15.07,23.77,12.3,"-","CXCR3"
"B2","AA_0352",32.47,23.77,12.3,"-","CXCR3"
"C1","AA_0240",23.95,24.06,0.16,"-","CXCR3"
"C2","AA_0240",24.17,24.06,0.16,"-","CXCR3"
"D1","AA_0280",29.89,29.97,0.11,"-","CXCR3"
"D2","AA_0280",30.05,29.97,0.11,"-","CXCR3"
"E1","AA_0261",24.33,24.49,0.22,"-","CXCR3"
"E2","AA_0261",24.65,24.49,0.22,"-","CXCR3"
"F1","AA_0243",25.34,25.16,0.26,"-","CXCR3"
"F2","AA_0243",24.97,25.16,0.26,"-","CXCR3"
"G1","AA_0312",29.86,"","","-","B-actin"
"G2","AA_0312",29.48,"","","-","CXCR3"
"H1","AA_0257",30.5,"","","-","CXCR3"
"H2","AA_0257",31.86,"","","-","CXCR3"
"A3","AA_0067",23.33,23.52,0.26,"-","IRG6"
"A4","AA_0067",23.7,23.52,0.26,"-","IRG6"
"B3","AA_0352",28.95,28.95,0,"-","IRG6"
"B4","AA_0352",28.95,28.95,0,"-","IRG6"
"C3","AA_0240",22.35,21.87,0.68,"-","IRG6"
"C4","AA_0240",21.39,21.87,0.68,"-","IRG6"
"D3","AA_0280",28.23,28.18,0.07,"-","IRG6"
"D4","AA_0280",28.13,28.18,0.07,"-","IRG6"
"E3","AA_0261",21.7,21.84,0.2,"-","IRG6"
"E4","AA_0261",21.99,21.84,0.2,"-","IRG6"
"F3","AA_0243",21.83,21.94,0.16,"-","IRG6"
"F4","AA_0243",22.06,21.94,0.16,"-","IRG6"
"G3","AA_0312",29.52,"","","-","IRG6"
"G4","AA_0312",29.67,"","","-","IRG6"
"H3","AA_0257",27.97,"","","-","IRG6"
"H4","AA_0257",28.09,"","","-","IRG6"
"A5","AA_0067",25.55,25.58,0.04,"-","IL-12"
"A6","AA_0067",25.61,25.58,0.04,"-","IL-12"
"B5","AA_0352",34.32,33.5,1.16,"-","IL-12"
"B6","AA_0352",32.68,33.5,1.16,"-","IL-12"
"C5","AA_0240",24.56,24.56,0.01,"-","IL-12"
"C6","AA_0240",24.57,24.56,0.01,"-","IL-12"
"D5","AA_0280",31.95,32.1,0.21,"-","IL-12"
"D6","AA_0280",32.26,32.1,0.21,"-","IL-12"
"E5","AA_0261",24.02,23.97,0.07,"-","IL-12"
"E6","AA_0261",23.92,23.97,0.07,"-","IL-12"
"F5","AA_0243",24.4,24.58,0.26,"-","IL-12"
"F6","AA_0243",24.76,24.58,0.26,"-","IL-12"
"G5","AA_0312",35.38,"","","-","IL-12"
"G6","AA_0312",35.67,"","","-","IL-12"
"H5","AA_0257",31.84,"","","-","IL-12"
"H6","AA_0257",32.85,"","","-","IL-12"
"A7","AA_0067",19.52,19.53,0.03,"-","GAPDH"
"A8","AA_0067",19.55,19.53,0.03,"-","GAPDH"
"B7","AA_0352",24.1,24.1,0.01,"-","GAPDH"
"B8","AA_0352",24.09,24.1,0.01,"-","GAPDH"
"C7","AA_0240",18.44,18.43,0.02,"-","GAPDH"
"C8","AA_0240",18.41,18.43,0.02,"-","GAPDH"
"D7","AA_0280",23.06,23.13,0.1,"-","GAPDH"
"D8","AA_0280",23.21,23.13,0.1,"-","GAPDH"
"E7","AA_0261",17.68,17.65,0.04,"-","GAPDH"
"E8","AA_0261",17.63,17.65,0.04,"-","GAPDH"
"F7","AA_0243",18.29,18.32,0.04,"-","GAPDH"
"F8","AA_0243",18.35,18.32,0.04,"-","GAPDH"
"G7","AA_0312",22.92,"","","-","GAPDH"
"G8","AA_0312",22.83,"","","-","GAPDH"
"H7","AA_0257",23.8,"","","-","GAPDH"
"H8","AA_0257",23.74,"","","-","GAPDH"
"A9","AA_0067",24.26,24.65,0.56,"-","B-actin"
"A10","AA_0067",25.05,24.65,0.56,"-","B-actin"
"B9","AA_0352",28.64,28.78,0.19,"-","B-actin"
"B10","AA_0352",28.91,28.78,0.19,"-","B-actin"
"C9","AA_0240",22.62,23.07,0.65,"-","B-actin"
"C10","AA_0240",23.53,23.07,0.65,"-","B-actin"
"D9","AA_0280",24.72,26.65,2.73,"-","B-actin"
"D10","AA_0280",28.58,26.65,2.73,"-","B-actin"
"E9","AA_0261",22.27,23.39,1.6,"-","B-actin"
"E10","AA_0261",24.52,23.39,1.6,"-","B-actin"
"F9","AA_0243",22.94,23.29,0.48,"-","B-actin"
"F10","AA_0243",23.63,23.29,0.48,"-","B-actin"
"G9","AA_0312",26.97,"","","-","B-actin"
"G10","AA_0312",28.46,"","","-","B-actin"
"H9","AA_0257",28.68,"","","-","B-actin"
"H10","AA_0257",28.01,"","","-","B-actin"
