"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A11","IRG6A",6.42,"-","negative"
"B11","CXCR3","-","-","negative"
"C11","IL-12rb1","-","-","negative"
"D11","B-actin","-","-","negative"
"E11","GAPDH","-","-","negative"
"A1","AA_0393",22.26,"-","CXCR3"
"A2","AA_0393",22.08,"-","CXCR3"
"B1","AA_0105",24.08,"-","CXCR3"
"B2","AA_0105",24.2,"-","CXCR3"
"C1","AA_0183",25.27,"-","CXCR3"
"C2","AA_0183",25.12,"-","CXCR3"
"D1","AA_0168",24.08,"-","CXCR3"
"D2","AA_0168",23.8,"-","CXCR3"
"E1","AA_0112",22,"-","CXCR3"
"E2","AA_0112",21.33,"-","CXCR3"
"F1","AA_0165",23.55,"-","CXCR3"
"F2","AA_0165",23.24,"-","CXCR3"
"G1","AA_0175",24.67,"-","CXCR3"
"G2","AA_0175",24.45,"-","CXCR3"
"H1","AA_0129",24.18,"-","CXCR3"
"H2","AA_0129",24.34,"-","CXCR3"
"A3","AA_0393",20.22,"-","IRG6"
"A4","AA_0393",20.48,"-","IRG6"
"B3","AA_0105",22.49,"-","IRG6"
"B4","AA_0105",22.22,"-","IRG6"
"C3","AA_0183",22.46,"-","IRG6"
"C4","AA_0183",22.3,"-","IRG6"
"D3","AA_0168",21.76,"-","IRG6"
"D4","AA_0168",21.87,"-","IRG6"
"E3","AA_0112",17.76,"-","IRG6"
"E4","AA_0112",17.74,"-","IRG6"
"F3","AA_0165",21.23,"-","IRG6"
"F4","AA_0165",21.17,"-","IRG6"
"G3","AA_0175",22.52,"-","IRG6"
"G4","AA_0175",22.36,"-","IRG6"
"H3","AA_0129",22.46,"-","IRG6"
"H4","AA_0129",22.36,"-","IRG6"
"A5","AA_0393",22.68,"-","IL-12"
"A6","AA_0393",22.91,"-","IL-12"
"B5","AA_0105",24.74,"-","IL-12"
"B6","AA_0105",24.92,"-","IL-12"
"C5","AA_0183",24.75,"-","IL-12"
"C6","AA_0183",24.55,"-","IL-12"
"D5","AA_0168",24.16,"-","IL-12"
"D6","AA_0168",24.61,"-","IL-12"
"E5","AA_0112",20.93,"-","IL-12"
"E6","AA_0112",20.96,"-","IL-12"
"F5","AA_0165",23.54,"-","IL-12"
"F6","AA_0165",23.9,"-","IL-12"
"G5","AA_0175",24.88,"-","IL-12"
"G6","AA_0175",24.8,"-","IL-12"
"H5","AA_0129",24.63,"-","IL-12"
"H6","AA_0129",24.71,"-","IL-12"
"A7","AA_0393",16.43,"-","GAPDH"
"A8","AA_0393",16.49,"-","GAPDH"
"B7","AA_0105",18.48,"-","GAPDH"
"B8","AA_0105",18.63,"-","GAPDH"
"C7","AA_0183",18.55,"-","GAPDH"
"C8","AA_0183",18.85,"-","GAPDH"
"D7","AA_0168",18.11,"-","GAPDH"
"D8","AA_0168",18.1,"-","GAPDH"
"E7","AA_0112",14.93,"-","GAPDH"
"E8","AA_0112",14.76,"-","GAPDH"
"F7","AA_0165",17.51,"-","GAPDH"
"F8","AA_0165",17.48,"-","GAPDH"
"G7","AA_0175",18.74,"-","GAPDH"
"G8","AA_0175",18.66,"-","GAPDH"
"H7","AA_0129",18.6,"-","GAPDH"
"H8","AA_0129",24.88,"-","GAPDH"
"A9","AA_0393",20.02,"-","B-actin"
"A10","AA_0393",20.24,"-","B-actin"
"B9","AA_0105",22.27,"-","B-actin"
"B10","AA_0105",22.21,"-","B-actin"
"C9","AA_0183",22.87,"-","B-actin"
"C10","AA_0183",22.58,"-","B-actin"
"D9","AA_0168",21.92,"-","B-actin"
"D10","AA_0168",21.92,"-","B-actin"
"E9","AA_0112",19.16,"-","B-actin"
"E10","AA_0112",19.8,"-","B-actin"
"F9","AA_0165",21.34,"-","B-actin"
"F10","AA_0165",21.3,"-","B-actin"
"G9","AA_0175",22.27,"-","B-actin"
"G10","AA_0175",21.76,"-","B-actin"
"H9","AA_0129",22.46,"-","B-actin"
"H10","AA_0129",22.32,"-","B-actin"
