"","Got.the.sheet.","location","Adress","GPS.coordinates.long","GPS.coordinates.lat","trapping_date","trapping_time","number_of_traps","collection_date","collection_time","number_of_mice","collection_team","comment..by.catch..etc.","area"
"14","","E_HOHE","Hohenwutzener chaussee 3, hohenwutzen",52.83667,14.0997,"22.09.2016","16h30",15,"23.09.2016","10h10",3,"Gregor-Pedro","2 spitzmaus","C"
"15","no","HOPPE1","Münchehofer Straße 1, Hoppegarten",52.497666,13.676085,"22.09.2016","12h00",24,"23.09.2016","12h00",4,"Fiona- Irina","","D"
"16","no","E_ZIND","Zindorf",52.50186,13.928061,"22.09.2016","15h00",24,"23.09.2016","11h20",4,"Fiona- Irina","","D"
"22","","E_PAPP","Pappelweg 8c; 16775 Löwenberg",52.90833,13.3066,"22.09.2016","13h00",10,"23.09.2016","15h30",3,"Thomas-Jana-Lisa-Kati","domesticus","A"
"26","","SCHEN8h","an den eiskuten 8, 15749 Mittenwalde",52.273117,13.599425,"22.09.2016","12h50",31,"23.09.2016","11h30",2,"Nadine-Nicole-Sascha","","E"
"27","no","E_WOLZ","Wolziger hautpstrasse 24, Wolzig",52.267513,13.840138,"22.09.2016","14h00",7,"23.09.2016","17h05",1,"Nadine-Nicole-Sascha","","E"
"38","","E_LIEB","Dorfallee 39, 16559 Liebenthal",52.9161,13.4638,"23.09.2016","11h00",16,"24.09.2016","12h30",9,"Paula-Naomi","2 dead Mus musculus","B"
"39","","E_KLAN","Klandorfer Str. 60, Marienwerder",52.8421,13.5998,"23.09.2016","16h55",5,"24.09.2016","11h25",1,"Paula-Naomi","","B"
"44","","HOPPE1","Münchehofer Straße 1, Hoppegarten",52.497666,13.676085,"23.09.2016","13h00",15,"24.09.2016","13h30",6,"Fiona- Irina","","D"
"54","","E_MIL1","Mildenberger Str. 1, Mildenberg",52.9935,13.30472,"23.09.2016","",28,"24.09.2016","",4,"Thomas-Jana-Lisa-Kati","4 + eine entlaufene","A"
"55","","E_GRAB","Dorfanger 7, 15754 Gräbendorf",52.242122,13.707342,"23.09.2016","16h30",12,"24.09.2016","16h40",1,"Nadine-Nicole-Sascha","","E"
"56","","E_WOLZ","Wolziger hautpstrasse 24, Wolzig",52.267513,13.840138,"23.09.2016","17h30",8,"24.09.2016","17h00",7,"Nadine-Nicole-Sascha","","E"
"58","","E_AMTO","Am Tonsee 4, Mittenwalde",52.21563,13.58843,"23.09.2016","13h40",25,"24.09.2016","12h50",2,"Nadine-Nicole-Sascha","","E"
"61","","RUDN21","Bahnhofstr. 21, Bernau (Rüdnitz)",52.716944,13.64,"24.09.2016","15h15",10,"25.09.2016","11h45",2,"Gregor-Pedro","","C"
"69","","E_ZEH8","Zehdenicker Str 8, 16247 Joachimsthal",52.9784,13.7336,"24.09.2016","16h30",28,"25.09.2016","12h00",13,"Paula-Naomi","","B"
"72","","E_MU14","Mühlengasse 14, 16348 Wandlitz (Prenden)",52.78755,13.55461,"22.09.2016","10h45",24,"23.09.2016","7h45",2,"Paula-Naomi","","B"
"73","","E_GRAB","Dorfanger 7, 15754 Gräbendorf",52.242122,13.707342,"24.09.2016","16h20",14,"25.09.2016","14h20",1,"Nadine-Nicole-Sascha","2 dead Mus musculus","E"
"76","","E_MIL1","Mildenberger Str. 1, Mildenberg",52.9935,13.30472,"24.09.2016","10h00",16,"25.09.2016","10h15",6,"Thomas-Jana-Lisa-Kati","","A"
"81","","E_GRAF","Siedlung 11, Gräfendorf",51.909612,13.1949,"24.09.2016","14h54",25,"25.09.2016","16h20",1,"Emanuel-Victor","","F"
"83","","E_RO38","15936 Rosenthal 38",51.862758,13.463558,"24.09.2016","16h00",13,"25.09.2016","11h15",3,"Emanuel-Victor","d1 died in the lab","F"
"86","","E_GR17","14913 Grüna 17",52.031213,13.082355,"24.09.2016","11h36",15,"25.09.2016","13h00",1,"Emanuel-Victor","","F"
"89","","E_OE62","Oehna 62",51.929943,13.043982,"24.09.2016","13h00",8,"25.09.2016","15h30",1,"Emanuel-Victor","","F"
"90","","E_KIR1","Kirchstr. 1, Groß Ziethen",52.95691,13.89739,"25.09.2016","14h30",5,"26.09.2016","10h00",5,"Gregor-Pedro","","C"
