Mouse_ID,OD
AA_0692,0.0395
AA_0693,0.9615
AA_0702,0.016666666666667
AA_0703,2.51516666666667
AA_0710,0.0415
AA_0713,0.144666666666667
AA_0714,0.371833333333333
AA_0716,0.2445
AA_0720,0.281333333333333
AA_0727,0.112833333333333
AA_0731,0.825666666666667
AA_0732,0.0405
AA_0733,0.415833333333333
AA_0734,1.306
AA_0735,0.028833333333333
AA_0736,0.162666666666667
AA_0737,0.209
AA_0738,0.027
AA_0739,1.64666666666667
AA_0740,0.3345
AA_0849,0.862833333333333
AA_0852,1.55633333333333
AA_0853,0.604
AA_0854,0.073
AA_0855,1.58016666666667
AA_0856,0.095833333333333
AA_0857,0.745166666666667
AA_0741,0.8735
AA_0742,0.263666666666667
AA_0743,1.541
AA_0744,0.577166666666667
AA_0745,0.034666666666667
AA_0746,0.847
AA_0747,0.224833333333333
AA_0748,0.984333333333333
AA_0749,0.073166666666667
AA_0750,0.457166666666667
AA_0751,0.051
AA_0752,0.545666666666667
AA_0753,0.555833333333333
