"","Mouse_ID","IFNy"
"1","AA_0682",17.1154869809471
"2","AA_0684",463.798876711237
"3","AA_0686",NA
"4","AA_0712",21.7407263879409
"5","AA_0715",30.7142601406632
"6","AA_0762",61.5859358002492
"7","AA_0774",11.2982790313474
"8","AA_0775",11.9543892107134
"9","AA_0809",7.4041538006493
"10","AA_0825",27.4264203485479
"11","AA_0830",29.6075148735655
"12","AA_0842",15.88182076634
"13","AA_0850",17.9392149676293
"14","AA_0851",8.22511749424512
"15","1",20.7875785155625
"16","2",64.6586526808859
"17","3",66.3078365198891
"18","4",86.0681895697546
"19","5",38.2811509994226
"20","6",264.143903959328
"21","7",25.7820406092397
"22","8",108.263650485904
"23","9",916.888636873929
"24","10",122.952407167836
"25","11",214.606923211642
"26","12",21.6766207471745
"27","13",11.4724322280817
"28","14",31.6287217547885
"29","15",NA
"30","16",NA
"31","17",133.679258760397
"32","18",21.4613032713458
"33","19",35.0842022081647
"34","20",21.9389964424636
"35","21",NA
"36","22",16.3952304651993
"37","23",29.3065307802482
"38","24",7.38230691769908
"39","25",5.35792013692603
"40","26",17.8763763167597
"41","27",26.8490499753658
"42","28",3.84097665990173
"43","29",16.187899344412
"44","30",21.8675246208082
"45","31",NA
"46","32",111.527010259291
"47","33",15.3505048874582
"48","34",9.54454588992076
"49","35",16.187899344412
"50","36",NA
