Conc,OD
1000,2.786
1000,2.685
1000,2.83
1000,2.702
1000,2.818
1000,2.702
500,1.976
500,2.223
500,1.977
500,2.22
500,1.972
500,2.209
250,1.36
250,1.28
250,1.352
250,1.299
250,1.342
250,1.302
125,0.805
125,0.704
125,0.806
125,0.714
125,0.798
125,0.711
62.5,0.399
62.5,0.419
62.5,0.397
62.5,0.42
62.5,0.397
62.5,0.419
31.25,0.179
31.25,0.198
31.25,0.183
31.25,0.199
31.25,0.182
31.25,0.199
15.625,0.107
15.625,0.08
15.625,0.107
15.625,0.082
15.625,0.107
15.625,0.082
0,0.007
0,-0.007
0,0.006
0,-0.006
0,0.006
0,-0.006
