Conc,OD
1000,3.384
1000,3.369
1000,3.402
1000,3.367
1000,3.378
1000,3.368
500,2.418
500,2.439
500,2.423
500,2.443
500,2.426
500,2.445
250,1.561
250,1.417
250,1.563
250,1.421
250,1.564
250,1.425
125,0.802
125,0.822
125,0.803
125,0.823
125,0.805
125,0.825
62.5,0.433
62.5,0.499
62.5,0.435
62.5,0.498
62.5,0.436
62.5,0.498
31.25,0.227
31.25,0.213
31.25,0.227
31.25,0.214
31.25,0.227
31.25,0.215
15.625,0.119
15.625,0.116
15.625,0.119
15.625,0.116
15.625,0.118
15.625,0.116
0,0.001
0,-0.001
0,0.001
0,-0.001
0,0.001
0,-0.001
