Mouse_ID,OD
AA_0771,2071.33333333333
AA_0729,106.166666666667
AA_0770,151.333333333333
AA_0730,81.6666666666667
AA_0763,185.833333333333
AA_0764,19.8333333333333
AA_0765,132.666666666667
AA_0766,81.6666666666667
AA_0767,43.5
AA_0769,149
AA_0778,3.33333333333333
AA_0779,159.333333333333
AA_0780,21.1666666666667
AA_0782,81.5
AA_0783,5.33333333333333
AA_0784,69
AA_0785,165.333333333333
AA_0786,52.3333333333333
AA_0787,38.5
AA_0788,134
AA_0789,387.5
AA_0790,69.6666666666667
AA_0791,165.833333333333
AA_0792,960.5
AA_0794,185.333333333333
AA_0795,373
AA_0796,44.3333333333333
AA_0797,177
AA_0798,277.666666666667
AA_0799,94.8333333333333
AA_0800,118
AA_0801,432.833333333333
AA_0803,306
AA_0804,935.333333333333
AA_0805,334.5
AA_0806,478.833333333333
AA_0807,175.166666666667
