Mouse_ID,OD
AA_0681,151.166666666667
AA_0683,503.166666666667
AA_0685,517.333333333333
AA_0687,687.666666666667
AA_0688,282.666666666667
AA_0689,1965.16666666667
AA_0690,186.666666666667
AA_0691,876.666666666667
AA_0694,3586.5
AA_0695,998.5
AA_0696,1670
AA_0697,157.333333333333
AA_0698,91.6666666666667
AA_0699,230.5
AA_0700,16.3333333333333
AA_0701,31.1666666666667
AA_0704,1085.33333333333
AA_0705,155.833333333333
AA_0706,257.333333333333
AA_0707,159.166666666667
AA_0708,18
AA_0709,121.833333333333
AA_0717,212.833333333333
AA_0718,69.5
AA_0719,59.8333333333333
AA_0721,131.5
AA_0722,194.5
AA_0723,53.3333333333333
AA_0724,120.5
AA_0725,158.666666666667
AA_0726,-2.66666666666667
AA_0777,904
AA_0773,115.166666666667
AA_0776,80.8333333333333
AA_0772,120.5
AA_0728,-12
