Conc,OD
2000,4000
2000,4000
2000,4000
2000,4000
2000,4000
2000,4000
1000,3906
1000,3841
1000,4000
1000,3813
1000,3849
1000,3721
500,2739
500,2792
500,2769
500,2808
500,2785
500,2836
250,1905
250,1807
250,1909
250,1818
250,1915
250,1827
125,1020
125,1061
125,1030
125,1062
125,1045
125,1057
62.5,490
62.5,494
62.5,489
62.5,504
62.5,489
62.5,515
31.25,261
31.25,254
31.25,258
31.25,256
31.25,259
31.25,258
0,2
0,2
0,2
0,-2
0,-2
0,-2
