

Software Version;3.08.01



Experiment File Path:;C:\Users\User\Documents\Experiments\Lubomir\IFN-y_mouse_samples_Lubomir_Bednar_200624_0002.xpt
Protocol File Path:;C:\Users\User\Documents\Protocols\IFN-y_mouse_samples_Lubomir_Bednar.prt



Plate Number;Plate 1
Date;6/24/2020
Time;1:48:34 PM
Reader Type:;Synergy HTX
Reader Serial Number:;1708301D
Reading Type;Reader

Procedure Details

Plate Type;96 WELL PLATE
Eject plate on completion;
Read;IFNy1
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy2
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
Shake;Orbital: 0:10 (MM:SS)
;Frequency: 205 cpm (5 mm)
Read;IFNy3
;Absorbance Endpoint
;Full Plate
;Wavelengths:  450
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8

Layout
;1;2;3;4;5;6;7;8;9;10;11;12
A;STD1;STD1;SPL1;SPL1;SPL9;SPL9;SPL17;SPL17;SPL25;SPL25;SPL33;SPL33;Well ID
;500;500;;;;;;;;;;;Conc/Dil
B;STD2;STD2;SPL2;SPL2;SPL10;SPL10;SPL18;SPL18;SPL26;SPL26;SPL34;SPL34;Well ID
;250;250;;;;;;;;;;;Conc/Dil
C;STD3;STD3;SPL3;SPL3;SPL11;SPL11;SPL19;SPL19;SPL27;SPL27;SPL35;SPL35;Well ID
;125;125;;;;;;;;;;;Conc/Dil
D;STD4;STD4;SPL4;SPL4;SPL12;SPL12;SPL20;SPL20;SPL28;SPL28;SPL36;SPL36;Well ID
;62.5;62.5;;;;;;;;;;;Conc/Dil
E;STD5;STD5;SPL5;SPL5;SPL13;SPL13;SPL21;SPL21;SPL29;SPL29;SPL37;SPL37;Well ID
;31.25;31.25;;;;;;;;;;;Conc/Dil
F;STD6;STD6;SPL6;SPL6;SPL14;SPL14;SPL22;SPL22;SPL30;SPL30;SPL38;SPL38;Well ID
;15.625;15.625;;;;;;;;;;;Conc/Dil
G;STD7;STD7;SPL7;SPL7;SPL15;SPL15;SPL23;SPL23;SPL31;SPL31;SPL39;SPL39;Well ID
;7.8125;7.8125;;;;;;;;;;;Conc/Dil
H;BLK;BLK;SPL8;SPL8;SPL16;SPL16;SPL24;SPL24;SPL32;SPL32;SPL40;SPL40;Well ID
;;;;;;;;;;;;;Conc/Dil



Actual Temperature:;29.3

IFNy1:450
;1;2;3;4;5;6;7;8;9;10;11;12
A;2.921;2.819;0.421;0.386;0.403;0.411;1.460;1.433;0.482;0.475;0.716;0.622;IFNy1:450
B;2.111;2.357;2.815;2.436;0.769;0.852;1.004;0.914;0.272;0.267;0.840;0.770;IFNy1:450
C;1.495;1.415;0.327;0.316;0.863;0.754;0.788;0.830;0.128;0.138;0.239;0.232;IFNy1:450
D;0.939;0.839;0.439;0.437;0.841;0.877;0.739;0.771;0.258;0.275;0.526;0.547;IFNy1:450
E;0.533;0.553;0.569;0.507;0.545;0.563;0.523;0.530;0.739;0.669;0.331;0.334;IFNy1:450
F;0.314;0.333;0.339;0.364;0.424;0.448;0.356;0.353;0.554;0.546;0.345;0.336;IFNy1:450
G;0.242;0.215;0.294;0.280;2.086;2.201;0.507;0.472;0.204;0.211;0.319;0.329;IFNy1:450
