Mouse_ID,OD
AA_0754,0.269666666666667
AA_0755,2.49883333333333
AA_0756,0.187833333333333
AA_0757,0.3045
AA_0758,0.406
AA_0759,0.214666666666667
AA_0760,0.1535
AA_0761,0.443
AA_0781,0.272666666666667
AA_0793,0.672666666666667
AA_0808,0.6785
AA_0810,0.731333333333333
AA_0811,0.428333333333333
AA_0812,0.3035
AA_0813,2.02866666666667
AA_0814,1.36016666666667
AA_0815,1.3255
AA_0816,0.826333333333333
AA_0817,0.6805
AA_0818,0.624833333333333
AA_0819,0.397
AA_0820,0.223
AA_0821,0.363333333333333
AA_0822,0.342833333333333
AA_0823,0.353
AA_0824,0.137
BLK2,-0.000666666666667
AA_0827,0.135333333333333
AA_0828,0.5815
AA_0829,0.424
AA_0831,0.075
AA_0832,0.472833333333333
AA_0833,0.541166666666667
AA_0834,0.672
AA_0835,0.101833333333333
AA_0836,0.411
AA_0837,0.200666666666667
AA_0838,0.212
AA_0839,0.190666666666667
AA_0840,0.4325
