# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Reading Number","Target","Temperature","Fluorescence","Derivative"
"1","A1","69","Eim","80.53377532958984","110694.7109375","13891.779296875"
"1","A1","70","Eim","80.8358383178711","107473.328125","14213.6513671875"
"1","A1","71","Eim","81.13790893554688","101214.1484375","14499.2412109375"
"1","A1","72","Eim","81.43997192382812","97557.65625","14704.162109375"
"1","A1","73","Eim","81.74203491210938","91370.8046875","14783.0302734375"
"1","A1","74","Eim","82.04409790039062","87702.890625","14702.609375"
"1","A1","75","Eim","82.3461685180664","82945.875","14446.6875"
"1","A1","76","Eim","82.64823150634766","77842.5625","14014.1484375"
"1","A1","77","Eim","82.95030212402344","74801.1015625","13416.38671875"
"1","A1","78","Eim","83.25236511230469","68702.25","12678.3486328125"
"1","A1","79","Eim","83.55442810058594","65215.26171875","11834.859375"
"1","A1","80","Eim","83.85649871826172","63013.41796875","10939.5615234375"
"1","A1","81","Eim","84.15856170654297","59218.1015625","10044.599609375"
"1","A1","82","Eim","84.46063232421875","56735.140625","9186.591796875"
"1","A1","83","Eim","84.7626953125","54535.96484375","8384.09375"
"1","A1","84","Eim","85.06475830078125","52834.3046875","7645.33251953125"
"1","A1","85","Eim","85.3668212890625","47184.0703125","6980.3232421875"
"1","A1","86","Eim","85.66889190673828","47963.48046875","6404.4873046875"
"1","A1","87","Eim","85.97095489501953","45855.6171875","5928.57958984375"
"1","A1","88","Eim","86.27302551269531","44721.29296875","5544.02978515625"
"1","A1","89","Eim","86.57508850097656","42182.640625","5220.27783203125"
"1","A1","90","Eim","86.87715148925781","38973.30078125","4920.12353515625"
"1","A1","91","Eim","87.1792221069336","39438.24609375","4620.41796875"
"1","A1","92","Eim","87.48128509521484","38232.40625","4317.8359375"
"1","A1","93","Eim","87.78335571289062","38471.921875","4013.99609375"
"1","A1","94","Eim","88.08541870117188","34708.71484375","3695.9873046875"
"1","A1","95","Eim","88.38748168945312","33727.87890625","3334.216796875"
"1","A1","96","Eim","88.68954467773438","33421.44140625","2902.5478515625"
"1","A1","97","Eim","88.99161529541016","31387.794921875","2403.736328125"
"1","A1","98","Eim","89.2936782836914","33382.65234375","1877.9599609375"
"1","A1","99","Eim","89.59574890136719","31973.115234375","1387.400390625"
"1","A1","100","Eim","89.89781188964844","32209.1953125","988.5"
"1","A1","101","Eim","90.19987487792969","31050.673828125","709.6611328125"
"1","A1","102","Eim","90.50193786621094","33007.48046875","544.3994140625"
"1","A1","103","Eim","90.80400848388672","31173.443359375","459.4443359375"
"1","A1","104","Eim","91.1060791015625","30567.05078125","411.537109375"
"1","A1","105","Eim","91.40814208984375","30492.138671875","365.529296875"
"1","A1","106","Eim","91.710205078125","31010.265625","306.1689453125"
"1","A1","107","Eim","92.01226806640625","30088.828125","237.8125"
"1","A1","108","Eim","92.31433868408203","31661.04296875","172.880859375"
"1","A1","109","Eim","92.61640167236328","29941.513671875","118.0068359375"
"1","A1","110","Eim","92.91847229003906","29040.53125","68.7109375"
"1","A1","111","Eim","93.22053527832031","31216.513671875","15.9306640625"
"1","A1","112","Eim","93.52259826660156","29037.212890625","-42.806640625"
"1","A1","113","Eim","93.82466125488281","29908.86328125","-98.5712890625"
"1","A1","114","Eim","94.1267318725586","31461.6640625","-137.03515625"
"1","A1","115","Eim","94.42880249023438","28047.65625","-149.81640625"
"1","A1","116","Eim","94.73086547851562","30480.599609375","-141.46875"
"2","A2","1","Eim","59.99330139160156","613461.625","7726.69775390625"
"2","A2","2","Eim","60.29536819458008","615047.3125","7986.4912109375"
"2","A2","3","Eim","60.59743118286133","612710.375","8258.0234375"
"2","A2","4","Eim","60.899497985839844","609059.875","8535.0615234375"
