# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"17","B5","1","62899.016","27946.65","103012.875"
"18","B6","1","56368.37","29027.895","111528.63"
"19","B7","1","64539.418","29259.994","110321.94"
"20","B8","1","48497.457","21513.566","83322.64"
"21","B9","1","50729.348","22664.633","86950.64"
"22","B10","1","52521.67","26476.143","101324.55"
"23","B11","1","58478.54","22968.096","88953.875"
"24","B12","1","42792.633","22471.73","88515.805"
"25","C1","1","53429.234","32636.215","142260.19"
"26","C2","1","66165.09","31180.184","122648.45"
"27","C3","1","59266.78","29486.117","113278.79"
"28","C4","1","62906.89","33135.617","131241.4"
"29","C5","1","49602.17","25229.639","96824.54"
"30","C6","1","48262.684","24310.164","92441.88"
"31","C7","1","56449.434","34957.312","139776.9"
"32","C8","1","49424.668","24495.9","92925.875"
"33","C9","1","49297.92","27753.385","106669.55"
"34","C10","1","52473.07","28134.684","109905.27"
"35","C11","1","42677.926","18556.324","74537.62"
"36","C12","1","41209.71","17278.885","66400.875"
"37","D1","1","60629.973","32513.246","133881.86"
"38","D2","1","65272.86","31999.53","124990.72"
"39","D3","1","58613.055","29452.637","112474.97"
"40","D4","1","63940.297","33987.266","132399.36"
"41","D5","1","59292.297","30571.04","117179.35"
"42","D6","1","45120.98","22808.414","88702.11"
"43","D7","1","59198.934","30135.059","114121.51"
"44","D8","1","55931.594","29163.14","114824.37"
"45","D9","1","43392.83","21451.613","83449.336"
"46","D10","1","62833.22","30555.066","116358.44"
"47","D11","1","47891.562","22481.016","86703.625"
"48","D12","1","45163.97","21378.771","83304.07"
"49","E1","1","57793.758","26585.846","112919.516"
"50","E2","1","63484.703","28488.25","109540.05"
"51","E3","1","40553.688","20783.818","82774.41"
"52","E4","1","59023.59","31186.805","122128.586"
"53","E5","1","51816.688","26410.994","99981.01"
"54","E6","1","52488.21","27090.453","101894.734"
"55","E7","1","65005.465","32586.248","121146.16"
"56","E8","1","53026.582","23135.412","86432.234"
"57","E9","1","48681.26","23578.045","84573.29"
"58","E10","1","62880.348","30733.244","107407.016"
"59","E11","1","59570.402","26054.1","93957.66"
"60","E12","1","59186.094","24555.656","87635.69"
"61","F1","1","72652.34","32581.95","132186.58"
"62","F2","1","68327.31","32366.537","129281.23"
"63","F3","1","59069.96","26524.232","102082.59"
"64","F4","1","59114.574","32352.438","127917.83"
"65","F5","1","63469.562","32202.225","118769.51"
"66","F6","1","66995.0","27321.76","96967.55"
"67","F7","1","64522.566","33137.934","121541.336"
"68","F8","1","46418.08","20938.309","79763.24"
"69","F9","1","47583.348","19329.666","72122.6"
"70","F10","1","39510.125","24207.377","97970.85"
"71","F11","1","51532.223","25629.805","101115.38"
"72","F12","1","45876.074","22399.531","90679.78"
"73","G1","1","70041.555","36994.543","159820.22"
"74","G2","1","63311.598","31207.396","125349.08"
"75","G3","1","58349.336","30460.03","120036.98"
"76","G4","1","56782.53","32010.11","127026.1"
"77","G5","1","44568.062","23988.82","92353.33"
"78","G6","1","45225.508","25531.668","98010.875"
"79","G7","1","51982.64","30658.205","117881.53"
"80","G8","1","56069.63","28920.477","107536.05"
"81","G9","1","38478.516","20343.203","78295.65"
"82","G10","1","44206.527","24600.309","94329.555"
"83","G11","1","54785.227","24407.225","89053.52"
"84","G12","1","56992.434","26431.322","107599.27"
"85","H1","1","71629.164","37795.098","163005.1"
"86","H2","1","63377.85","32275.316","127670.83"
"87","H3","1","69777.22","32065.818","123829.46"
"88","H4","1","56220.293","33040.53","130162.81"
"89","H5","1","56753.055","30342.469","116920.79"
"90","H6","1","58228.59","28099.588","107448.73"
"91","H7","1","64310.19","33420.734","129013.34"
"92","H8","1","56735.15","29669.117","113067.29"
"93","H9","1","37328.656","20436.006","80218.15"
"94","H10","1","38331.11","24980.836","108966.42"
"95","H11","1","37882.777","26901.41","120147.0"
"96","H12","1","38808.785","23614.012","121621.44"
"1","A1","2","131942.08","42024.355","138567.83"
"2","A2","2","125587.64","38820.004","128231.81"
"3","A3","2","107358.64","33920.03","102526.086"
"4","A4","2","104782.984","37863.293","131224.23"
"5","A5","2","102490.09","34300.953","105434.766"
"6","A6","2","94369.68","31182.855","97443.086"
"7","A7","2","138529.64","38530.48","112334.97"
"8","A8","2","134699.84","37568.652","106391.21"
"9","A9","2","109593.33","31411.396","88111.37"
"10","A10","2","109661.445","35130.29","109078.87"
"11","A11","2","79276.625","23120.463","65334.355"
"12","A12","2","141821.75","42409.754","115758.59"
"13","B1","2","127766.016","42052.996","134281.33"
"14","B2","2","184957.86","53316.176","151416.31"
"15","B3","2","186586.12","49659.36","132233.2"
"16","B4","2","147667.7","45968.09","144073.36"
"17","B5","2","147464.92","39122.203","108149.51"
"18","B6","2","147716.39","41220.2","115822.8"
"19","B7","2","134078.34","38772.97","115472.26"
"20","B8","2","110449.22","29834.506","86976.79"
"21","B9","2","117399.914","31623.104","90962.58"
"22","B10","2","117835.195","35710.465","105635.19"
"23","B11","2","131962.28","35329.285","92588.05"
"24","B12","2","122312.06","36788.805","92565.555"
"25","C1","2","138619.44","47473.547","148762.05"
"26","C2","2","157015.78","45252.848","127791.53"
"27","C3","2","149169.84","42229.08","118796.41"
"28","C4","2","124441.5","41102.664","136815.39"
"29","C5","2","109574.79","32590.672","101254.164"
"30","C6","2","113426.07","32407.643","96498.45"
"31","C7","2","117645.945","42520.8","145559.47"
"32","C8","2","99183.45","31384.686","96594.805"
"33","C9","2","116575.336","36822.1","111585.05"
"34","C10","2","129159.51","39322.215","115427.086"
"35","C11","2","98866.26","27659.775","77306.35"
"36","C12","2","98929.74","27897.66","69410.52"
"37","D1","2","131232.34","43831.367","140827.67"
"38","D2","2","146568.02","43731.1","130639.086"
"39","D3","2","138509.12","40038.09","117643.23"
"40","D4","2","125298.61","42231.227","137610.66"
"41","D5","2","128229.62","39342.48","121690.31"
"42","D6","2","103393.53","29917.258","92545.45"
"43","D7","2","122069.5","38159.926","120725.75"
"44","D8","2","129700.305","39037.797","121603.12"
"45","D9","2","107659.43","30017.225","87447.625"
"46","D10","2","141665.78","41565.95","121517.83"
"47","D11","2","114591.52","32824.273","90495.48"
"48","D12","2","115381.805","33707.344","86723.7"
"49","E1","2","119005.58","37384.113","118564.19"
"50","E2","2","134259.1","38792.742","114175.125"
"51","E3","2","99107.41","29306.229","86276.836"
"52","E4","2","119961.06","39769.258","128040.22"
"53","E5","2","114862.914","34013.77","105196.07"
"54","E6","2","124814.76","36251.656","108197.28"
"55","E7","2","164085.61","44972.867","129016.99"
"56","E8","2","126136.375","32724.791","90819.77"
"57","E9","2","133259.92","33870.57","88580.92"
"58","E10","2","179213.33","47131.2","116252.35"
"59","E11","2","175676.08","42948.31","98484.266"
"60","E12","2","169127.62","43206.61","91272.234"
"61","F1","2","128803.43","41615.086","139000.56"
"62","F2","2","145007.9","43286.6","134885.72"
"63","F3","2","131869.3","36949.168","106482.46"
"64","F4","2","126377.66","41176.566","134266.5"
"65","F5","2","151939.88","43347.75","124412.52"
"66","F6","2","154570.48","38030.375","101903.33"
"67","F7","2","149996.31","43386.81","127542.77"
"68","F8","2","113864.28","30097.469","83727.04"
"69","F9","2","119679.766","28839.014","75711.914"
"70","F10","2","91422.94","31860.809","102613.79"
"71","F11","2","118947.95","36095.316","105913.26"
"72","F12","2","116577.47","34777.316","94401.734"
"73","G1","2","141479.84","49449.344","167520.78"
"74","G2","2","132219.17","41749.29","131762.3"
"75","G3","2","134309.34","41304.46","125574.875"
"76","G4","2","120371.5","41465.586","133673.89"
"77","G5","2","100351.4","31210.424","96355.06"
"78","G6","2","112695.59","34150.02","102680.46"
"79","G7","2","123401.03","39654.41","123205.57"
"80","G8","2","133421.73","39401.457","113966.2"
"81","G9","2","99788.7","28806.793","81771.71"
"82","G10","2","95800.375","31610.219","99815.195"
"83","G11","2","130552.36","35371.44","92906.664"
"84","G12","2","130461.555","39188.383","112032.125"
