# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA687","Eim","3","-","0","19.0411435747211","0.2601496974730776","0.15019749786568107",
"AA691","Eim","3","-","0","29.86195893579882","0.5945404691189197","0.34325809988993466",
"AA696","Eim","3","-","0","31.147305598213972","0.18062522801194872","0.10428402401513613",
"AA702","Eim","3","-","0","30.229879040068358","0.4752245050569998","0.2743709959201655",
"AA703","Eim","3","-","0","31.12597294825606","0.4477263889907209","0.2584949512070918",
"AA715","Eim","3","-","0","31.73411133140006","0.5014383879527302","0.2895055882665208",
"AA730","Eim","3","-","0","29.658630356679197","1.7996993702203445","1.039056915857116",
"AA737","Eim","3","-","0","18.928415938292165","0.5093553705327807","0.2940764602902825",
"AA739","Eim","3","-","0","32.59492893783757","0.8419346414269131","0.48609119186789934",
"AA743","Eim","3","-","0","32.22212965948287","0.58073496635753","0.3352874891543482",
"AA751","Eim","3","-","0","31.925338798660334","0.6523830629257447","0.37665353699493126",
"AA757","Eim","3","-","0","30.931713414060567","0.21853466410308828","0.12617104714718247",
"AA773","Eim","3","-","0","31.038708054894204","0.25925790246741776","0.14968261977910138",
"AA776","Eim","3","-","0","30.26877186110323","0.4737222811747737","0.2735036865573792",
"AA777","Eim","3","-","0","23.238860912552326","0.14097660824395752","0.0813928827190893",
"AA785","Eim","3","-","0","29.474747733391595","0.17263715104700672","0.09967210562911942",
"AA791","Eim","3","-","0","27.501060562451034","0.19116701440133121","0.11037032722478565",
"AA794","Eim","3","-","0","30.770240213522857","0.11945101578543314","0.06896507611869407",
"AA814","Eim","3","-","0","27.575341582636298","4.317315439891201","3.0528030240684503",
"AA816","Eim","3","-","0","30.876689193681823","0.39455949169867927","0.2277990287435544",
"AA819","Eim","3","-","0","31.54811176800949","0.5302887138694139","0.30616233170072654",
"AA821","Eim","3","-","0","30.657565749002504","0.4682471201403775","0.27034260086031403",
"AA825","Eim","3","-","0","31.082678643377083","0.11800194149353219","0.06812845268618928",
"AA828","Eim","3","-","0","24.306211552630987","0.12655675680890555","0.07306757761138763",
"AA831","Eim","3","-","0","30.03484278348588","0.14976669777106216","0.08646784327376407",
"AA836","Eim","3","-","0","30.795787587635292","0.6662586312844003","0.3846646001219602",
"AA844","Eim","3","-","0","32.50151240552515","0.6426020013884556","0.37100643848341713",
"AA845","Eim","3","-","0","30.3103050801738","0.1280129158660582","0.07390829143501762",
"AA846","Eim","3","-","0","28.041859537104017","0.3128103219730553","0.18060112359643699",
"AA852","Eim","3","-","0","31.679859924290984","0.2777965272681516","0.16038589979821055",
"AA855","Eim","3","-","0","29.970633710098863","0.2120278687973088","0.1224143471258289",
"NTC","Eim","3","-","0","","","",
