# File Name: qPCR_eimeria_field_faeces_JK_09022022_2.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-02-09 12:17:00 PM UTC
# Run End Date/Time: 2022-02-09 01:35:11 PM UTC
# Run Duration: 78 minutes 10 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-02-09 12:52:46 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-02-09 12:53:35 PM UTC
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"20","B8","AA777","Eim","91.87836456298828","143.98681640625"
"21","B9","AA777","Eim","74.96613311767578","115142.03125"
"21","B9","AA777","Eim","67.55533599853516","11566.04296875"
"21","B9","AA777","Eim","0.0","0.0"
"21","B9","AA777","Eim","0.0","0.0"
"21","B9","AA777","Eim","0.0","0.0"
"22","B10","AA819","Eim","81.01576232910156","28734.07421875"
"22","B10","AA819","Eim","62.26191329956055","6203.70947265625"
"22","B10","AA819","Eim","77.2347412109375","22445.83203125"
"22","B10","AA819","Eim","0.0","0.0"
"22","B10","AA819","Eim","0.0","0.0"
"23","B11","AA819","Eim","84.64553833007812","32742.87109375"
"23","B11","AA819","Eim","76.4785385131836","22203.9921875"
"23","B11","AA819","Eim","80.5620346069336","24798.46484375"
"23","B11","AA819","Eim","93.56874084472656","110.0771484375"
"23","B11","AA819","Eim","0.0","0.0"
"24","B12","AA819","Eim","76.4785385131836","29565.48828125"
"24","B12","AA819","Eim","84.19181060791016","24013.7421875"
"24","B12","AA819","Eim","81.01576232910156","23228.794921875"
"24","B12","AA819","Eim","93.719970703125","459.2529296875"
"24","B12","AA819","Eim","0.0","0.0"
"25","C1","AA845","Eim","80.53377532958984","44102.109375"
"25","C1","AA845","Eim","71.62283325195312","19509.470703125"
"25","C1","AA845","Eim","61.6546630859375","12133.837890625"
"25","C1","AA845","Eim","0.0","0.0"
"25","C1","AA845","Eim","0.0","0.0"
"26","C2","AA845","Eim","81.59100341796875","48046.26953125"
"26","C2","AA845","Eim","62.258792877197266","4245.53759765625"
"26","C2","AA845","Eim","78.26828002929688","37783.1875"
"26","C2","AA845","Eim","0.0","0.0"
"26","C2","AA845","Eim","0.0","0.0"
"27","C3","AA845","Eim","74.945556640625","37206.3203125"
"27","C3","AA845","Eim","78.4193115234375","33678.44140625"
"27","C3","AA845","Eim","82.04409790039062","32896.05078125"
"27","C3","AA845","Eim","61.503631591796875","11213.71875"
"27","C3","AA845","Eim","92.31433868408203","167.5771484375"
"28","C4","AA737","Eim","75.24761962890625","218878.203125"
"28","C4","AA737","Eim","65.5815200805664","31494.44140625"
"28","C4","AA737","Eim","0.0","0.0"
"28","C4","AA737","Eim","0.0","0.0"
"28","C4","AA737","Eim","0.0","0.0"
"29","C5","AA737","Eim","75.25550842285156","151757.9375"
"29","C5","AA737","Eim","88.85602569580078","720.228271484375"
"29","C5","AA737","Eim","0.0","0.0"
"29","C5","AA737","Eim","0.0","0.0"
"29","C5","AA737","Eim","0.0","0.0"
"30","C6","AA737","Eim","75.25550842285156","153890.546875"
"30","C6","AA737","Eim","67.69966125488281","17012.4921875"
"30","C6","AA737","Eim","0.0","0.0"
"30","C6","AA737","Eim","0.0","0.0"
"30","C6","AA737","Eim","0.0","0.0"
"31","C7","AA852","Eim","77.67337799072266","46033.99609375"
"31","C7","AA852","Eim","84.32251739501953","25170.513671875"
"31","C7","AA852","Eim","68.15300750732422","7807.17724609375"
"31","C7","AA852","Eim","62.86391830444336","4529.078125"
"31","C7","AA852","Eim","0.0","0.0"
"32","C8","AA852","Eim","79.78901672363281","52285.84765625"
"32","C8","AA852","Eim","0.0","0.0"
"32","C8","AA852","Eim","0.0","0.0"
"32","C8","AA852","Eim","0.0","0.0"
"32","C8","AA852","Eim","0.0","0.0"
"33","C9","AA852","Eim","83.43560791015625","41328.4921875"
"33","C9","AA852","Eim","77.385986328125","39844.89453125"
"33","C9","AA852","Eim","80.10831451416016","39721.71875"
"33","C9","AA852","Eim","94.47618103027344","465.5703125"
"33","C9","AA852","Eim","0.0","0.0"
"34","C10","AA828","Eim","74.81488800048828","156241.046875"
"34","C10","AA828","Eim","0.0","0.0"
"34","C10","AA828","Eim","0.0","0.0"
"34","C10","AA828","Eim","0.0","0.0"
"34","C10","AA828","Eim","0.0","0.0"
"35","C11","AA828","Eim","74.66365051269531","90505.859375"
"35","C11","AA828","Eim","67.10161590576172","9202.994140625"
"35","C11","AA828","Eim","0.0","0.0"
"35","C11","AA828","Eim","0.0","0.0"
"35","C11","AA828","Eim","0.0","0.0"
"36","C12","AA828","Eim","74.66365051269531","85858.8671875"
"36","C12","AA828","Eim","67.55533599853516","9319.681640625"
"36","C12","AA828","Eim","0.0","0.0"
"36","C12","AA828","Eim","0.0","0.0"
"36","C12","AA828","Eim","0.0","0.0"
"37","D1","AA702","Eim","82.04409790039062","48505.2734375"
"37","D1","AA702","Eim","77.96621704101562","38639.6484375"
"37","D1","AA702","Eim","62.8629264831543","2993.36181640625"
"37","D1","AA702","Eim","92.31433868408203","-150.98974609375"
"37","D1","AA702","Eim","0.0","0.0"
"38","D2","AA702","Eim","74.64349365234375","32688.01171875"
"38","D2","AA702","Eim","82.04409790039062","45736.453125"
"38","D2","AA702","Eim","61.805694580078125","5887.16455078125"
"38","D2","AA702","Eim","79.17447662353516","40888.26171875"
"38","D2","AA702","Eim","94.42880249023438","625.7080078125"
"39","D3","AA702","Eim","79.32550811767578","41372.51171875"
"39","D3","AA702","Eim","62.258792877197266","3185.183837890625"
"39","D3","AA702","Eim","82.49720001220703","34187.13671875"
"39","D3","AA702","Eim","0.0","0.0"
"39","D3","AA702","Eim","0.0","0.0"
"40","D4","AA831","Eim","84.15856170654297","37440.37890625"
"40","D4","AA831","Eim","62.258792877197266","6681.9609375"
"40","D4","AA831","Eim","76.90898132324219","41930.6875"
"40","D4","AA831","Eim","79.17447662353516","41274.90625"
"40","D4","AA831","Eim","92.31433868408203","561.373046875"
"41","D5","AA831","Eim","84.624755859375","45704.76171875"
"41","D5","AA831","Eim","74.49992370605469","35503.79296875"
"41","D5","AA831","Eim","62.108333587646484","4563.1943359375"
"41","D5","AA831","Eim","80.54460144042969","33640.6953125"
"41","D5","AA831","Eim","92.33171081542969","230.1640625"
"42","D6","AA831","Eim","74.49992370605469","37632.55859375"
"42","D6","AA831","Eim","80.24236297607422","26904.197265625"
"42","D6","AA831","Eim","62.41056823730469","3161.873046875"
"42","D6","AA831","Eim","0.0","0.0"
"42","D6","AA831","Eim","0.0","0.0"
"43","D7","AA846","Eim","75.40662384033203","120804.7265625"
"43","D7","AA846","Eim","82.81134796142578","2726.81494140625"
"43","D7","AA846","Eim","0.0","0.0"
"43","D7","AA846","Eim","0.0","0.0"
"43","D7","AA846","Eim","0.0","0.0"
