# File Name: qPCR_eimeria_field_faeces_FW_28012022.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2022-01-28 02:33:23 PM UTC
# Run End Date/Time: 2022-01-28 03:54:21 PM UTC
# Run Duration: 80 minutes 58 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 3
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2022-01-28 03:12:47 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Relative Quantification v1.5.0
# Exported By: guest
# Exported On: 2022-01-28 03:13:03 PM UTC
"Well","Well Position","Cycle Number","SYBR","ROX"
"1","A1","147","327966.3","0.0"
"1","A1","148","317154.12","0.0"
"1","A1","149","310238.9","0.0"
"1","A1","150","300168.06","0.0"
"1","A1","151","290366.6","0.0"
"1","A1","152","279877.7","0.0"
"1","A1","153","269127.38","0.0"
"1","A1","154","260291.62","0.0"
"1","A1","155","250877.44","0.0"
"1","A1","156","243055.16","0.0"
"1","A1","157","233602.7","0.0"
"1","A1","158","222687.28","0.0"
"1","A1","159","212310.48","0.0"
"1","A1","160","193149.06","0.0"
"1","A1","161","179722.55","0.0"
"1","A1","162","172101.39","0.0"
"1","A1","163","164169.92","0.0"
"1","A1","164","144884.77","0.0"
"1","A1","165","116995.914","0.0"
"1","A1","166","95872.016","0.0"
"1","A1","167","88938.41","0.0"
"1","A1","168","87815.43","0.0"
"1","A1","169","86275.33","0.0"
"1","A1","170","84017.33","0.0"
"1","A1","171","80789.58","0.0"
"1","A1","172","77429.68","0.0"
"1","A1","173","72581.51","0.0"
"1","A1","174","71467.6","0.0"
"1","A1","175","68991.98","0.0"
"1","A1","176","68369.95","0.0"
"1","A1","177","68516.92","0.0"
"1","A1","178","65744.27","0.0"
"1","A1","179","67852.79","0.0"
"1","A1","180","65085.234","0.0"
"1","A1","181","67479.31","0.0"
"1","A1","182","65744.58","0.0"
"1","A1","183","66814.1","0.0"
"1","A1","184","66029.56","0.0"
"1","A1","185","65148.992","0.0"
"1","A1","186","64465.297","0.0"
"1","A1","187","65028.426","0.0"
"1","A1","188","63805.645","0.0"
"1","A1","189","63465.09","0.0"
"1","A1","190","63600.36","0.0"
"1","A1","191","63806.53","0.0"
"1","A1","192","63518.08","0.0"
"1","A1","193","63294.31","0.0"
"1","A1","194","63442.934","0.0"
"1","A1","195","63022.297","0.0"
"1","A1","196","63323.72","0.0"
"2","A2","1","199443.55","180288.95"
"2","A2","2","103427.68","173380.88"
"2","A2","3","203037.38","180352.19"
"2","A2","4","105146.0","173846.45"
"2","A2","5","211135.72","181202.58"
"2","A2","6","108482.66","174888.89"
"2","A2","7","216430.77","182015.58"
"2","A2","8","110512.28","174983.45"
"2","A2","9","219912.02","182008.94"
"2","A2","10","111724.75","174944.25"
"2","A2","11","222624.4","181843.47"
"2","A2","12","113183.07","174974.16"
"2","A2","13","225741.92","181711.17"
"2","A2","14","113478.664","175317.53"
"2","A2","15","228669.23","181613.06"
"2","A2","16","115045.35","175290.92"
"2","A2","17","230403.67","181653.42"
"2","A2","18","118022.17","175218.81"
"2","A2","19","232355.92","181563.11"
"2","A2","20","119149.77","175490.05"
"2","A2","21","234437.16","181563.95"
"2","A2","22","119254.4","175498.53"
"2","A2","23","234893.42","182060.22"
"2","A2","24","119384.266","175553.1"
"2","A2","25","235966.6","182333.98"
"2","A2","26","119300.59","175495.34"
"2","A2","27","237486.12","182243.52"
"2","A2","28","119578.52","175765.61"
"2","A2","29","239183.88","182270.39"
"2","A2","30","120823.75","176137.28"
"2","A2","31","240440.84","182744.56"
"2","A2","32","121712.664","176091.83"
"2","A2","33","240570.66","182944.36"
"2","A2","34","121500.48","176287.64"
"2","A2","35","241637.66","183153.23"
"2","A2","36","121186.19","176938.6"
"2","A2","37","243354.47","183053.06"
"2","A2","38","121867.31","177171.97"
"2","A2","39","243024.34","182968.6"
"2","A2","40","122925.64","176975.11"
"2","A2","41","242426.78","183265.75"
"2","A2","42","123153.81","176562.69"
"2","A2","43","243229.25","183274.08"
"2","A2","44","122711.59","176430.92"
"2","A2","45","244938.77","183184.53"
"2","A2","46","122658.836","176865.64"
"2","A2","47","245453.47","183373.69"
"2","A2","48","123859.9","177076.52"
"2","A2","49","246015.6","183327.97"
"2","A2","50","124181.97","177129.62"
"2","A2","51","246299.67","183492.5"
"2","A2","52","125541.31","177049.69"
"2","A2","53","247512.86","183684.72"
"2","A2","54","125789.734","177036.55"
"2","A2","55","248134.22","183584.27"
"2","A2","56","126792.57","177300.06"
"2","A2","57","249422.78","183567.53"
"2","A2","58","127465.11","177208.19"
"2","A2","59","251759.22","183510.45"
"2","A2","60","130554.266","177271.2"
"2","A2","61","256444.33","183462.22"
"2","A2","62","136356.23","177633.8"
"2","A2","63","263963.5","183865.72"
"2","A2","64","144221.73","177817.95"
"2","A2","65","278538.03","183988.02"
"2","A2","66","160140.19","177807.42"
"2","A2","67","299099.3","184001.55"
"2","A2","68","187570.69","177723.75"
"2","A2","69","332544.94","183953.52"
"2","A2","70","227915.12","177881.48"
"2","A2","71","376514.47","183855.12"
"2","A2","72","273707.6","178002.9"
"2","A2","73","430641.2","184047.98"
"2","A2","74","306384.6","178143.81"
"2","A2","75","490238.25","184015.23"
"2","A2","76","320742.97","178126.42"
"2","A2","77","559505.2","184079.05"
"2","A2","78","330206.88","178450.0"
"2","A2","79","616795.0","184185.23"
"2","A2","80","338439.28","178405.97"
"2","A2","81","589675.7","0.0"
"2","A2","82","589371.4","0.0"
"2","A2","83","586219.9","0.0"
"2","A2","84","583293.7","0.0"
"2","A2","85","576121.8","0.0"
"2","A2","86","572553.06","0.0"
"2","A2","87","565574.94","0.0"
"2","A2","88","559609.9","0.0"
"2","A2","89","551633.5","0.0"
"2","A2","90","546884.94","0.0"
"2","A2","91","541745.2","0.0"
"2","A2","92","536206.4","0.0"
"2","A2","93","528524.25","0.0"
"2","A2","94","524408.1","0.0"
"2","A2","95","521289.22","0.0"
"2","A2","96","518246.06","0.0"
"2","A2","97","511936.6","0.0"
"2","A2","98","508685.47","0.0"
"2","A2","99","504053.88","0.0"
"2","A2","100","502207.47","0.0"
"2","A2","101","499213.66","0.0"
"2","A2","102","492607.38","0.0"
"2","A2","103","489042.53","0.0"
"2","A2","104","485747.1","0.0"
"2","A2","105","480928.28","0.0"
"2","A2","106","477068.28","0.0"
"2","A2","107","473179.22","0.0"
"2","A2","108","469865.84","0.0"
"2","A2","109","468210.1","0.0"
"2","A2","110","462723.78","0.0"
"2","A2","111","460257.22","0.0"
"2","A2","112","456078.3","0.0"
"2","A2","113","455150.94","0.0"
"2","A2","114","449230.5","0.0"
"2","A2","115","447113.9","0.0"
"2","A2","116","442198.53","0.0"
"2","A2","117","438346.8","0.0"
"2","A2","118","435125.28","0.0"
"2","A2","119","430845.94","0.0"
"2","A2","120","427074.56","0.0"
"2","A2","121","423910.8","0.0"
"2","A2","122","418422.5","0.0"
"2","A2","123","410595.44","0.0"
"2","A2","124","405076.2","0.0"
"2","A2","125","397103.0","0.0"
"2","A2","126","384896.38","0.0"
"2","A2","127","368808.94","0.0"
"2","A2","128","350725.28","0.0"
"2","A2","129","329244.25","0.0"
"2","A2","130","312571.6","0.0"
"2","A2","131","301416.3","0.0"
"2","A2","132","293937.06","0.0"
"2","A2","133","292040.47","0.0"
"2","A2","134","287983.94","0.0"
"2","A2","135","283902.62","0.0"
"2","A2","136","277947.25","0.0"
"2","A2","137","274900.28","0.0"
"2","A2","138","268711.16","0.0"
"2","A2","139","263794.2","0.0"
"2","A2","140","258192.69","0.0"
"2","A2","141","253595.55","0.0"
"2","A2","142","250095.44","0.0"
"2","A2","143","243726.0","0.0"
"2","A2","144","239002.58","0.0"
"2","A2","145","234379.84","0.0"
"2","A2","146","227169.05","0.0"
"2","A2","147","221501.31","0.0"
"2","A2","148","215441.23","0.0"
"2","A2","149","210422.42","0.0"
"2","A2","150","200916.39","0.0"
"2","A2","151","193874.64","0.0"
"2","A2","152","186667.9","0.0"
"2","A2","153","178674.97","0.0"
"2","A2","154","171088.03","0.0"
"2","A2","155","162886.14","0.0"
"2","A2","156","157375.22","0.0"
"2","A2","157","149105.67","0.0"
"2","A2","158","142353.9","0.0"
"2","A2","159","137239.06","0.0"
"2","A2","160","127364.04","0.0"
"2","A2","161","119572.586","0.0"
"2","A2","162","114438.4","0.0"
"2","A2","163","108837.87","0.0"
"2","A2","164","102593.63","0.0"
"2","A2","165","94303.09","0.0"
"2","A2","166","88700.12","0.0"
"2","A2","167","87633.77","0.0"
"2","A2","168","84533.65","0.0"
"2","A2","169","82486.66","0.0"
"2","A2","170","80767.66","0.0"
"2","A2","171","74909.68","0.0"
"2","A2","172","68405.36","0.0"
"2","A2","173","65650.17","0.0"
"2","A2","174","63156.45","0.0"
"2","A2","175","63382.754","0.0"
"2","A2","176","62998.023","0.0"
"2","A2","177","62077.727","0.0"
"2","A2","178","62185.04","0.0"
"2","A2","179","61643.49","0.0"
"2","A2","180","60546.215","0.0"
"2","A2","181","60862.777","0.0"
"2","A2","182","60049.574","0.0"
"2","A2","183","59104.12","0.0"
"2","A2","184","60463.113","0.0"
"2","A2","185","59672.363","0.0"
"2","A2","186","58330.973","0.0"
"2","A2","187","60097.918","0.0"
"2","A2","188","58510.906","0.0"
"2","A2","189","57589.08","0.0"
"2","A2","190","57478.883","0.0"
"2","A2","191","56502.723","0.0"
"2","A2","192","56765.87","0.0"
"2","A2","193","58800.92","0.0"
"2","A2","194","56913.38","0.0"
"2","A2","195","57354.523","0.0"
"2","A2","196","57976.914","0.0"
"3","A3","1","195211.28","178192.17"
"3","A3","2","98366.43","172595.55"
"3","A3","3","199932.5","179094.98"
"3","A3","4","100517.734","173171.83"
"3","A3","5","208587.5","180071.61"
"3","A3","6","104956.58","174087.66"
"3","A3","7","214570.48","180363.03"
"3","A3","8","106631.84","174381.12"
"3","A3","9","218910.84","180399.94"
"3","A3","10","108743.41","174350.94"
"3","A3","11","222642.48","180542.98"
"3","A3","12","109806.625","174666.64"
"3","A3","13","226286.22","180656.28"
"3","A3","14","111742.28","175163.1"
"3","A3","15","227687.25","180806.28"
"3","A3","16","113983.75","175346.25"
"3","A3","17","230793.22","181077.97"
"3","A3","18","115925.52","175354.8"
"3","A3","19","234679.83","181076.08"
"3","A3","20","116411.88","175573.53"
"3","A3","21","236886.4","181437.89"
"3","A3","22","117913.34","175834.23"
"3","A3","23","238531.08","181921.92"
"3","A3","24","118962.516","176062.97"
"3","A3","25","240162.44","181894.5"
"3","A3","26","119118.125","176379.66"
"3","A3","27","242195.69","181855.9"
"3","A3","28","120402.77","176261.52"
"3","A3","29","243143.75","181768.22"
"3","A3","30","120612.17","176026.61"
"3","A3","31","243713.69","182060.48"
"3","A3","32","121584.62","176045.4"
"3","A3","33","245576.98","182108.89"
"3","A3","34","122694.46","176610.0"
"3","A3","35","247057.22","182138.75"
"3","A3","36","122703.95","176707.17"
"3","A3","37","248612.6","182253.69"
"3","A3","38","123055.21","176747.95"
"3","A3","39","249436.45","182326.73"
"3","A3","40","123219.35","176742.42"
"3","A3","41","249771.89","182205.58"
"3","A3","42","124237.92","176665.12"
"3","A3","43","250303.83","182255.25"
"3","A3","44","123396.3","176991.92"
"3","A3","45","250595.11","182384.7"
"3","A3","46","123377.29","177007.53"
"3","A3","47","251374.36","182545.4"
"3","A3","48","126064.29","177163.69"
"3","A3","49","251789.52","182482.39"
"3","A3","50","126721.22","177037.25"
"3","A3","51","251700.08","182813.98"
"3","A3","52","126258.234","176892.33"
"3","A3","53","253379.08","182976.97"
"3","A3","54","126388.0","177152.3"
"3","A3","55","253652.0","182755.31"
"3","A3","56","129132.11","177261.4"
"3","A3","57","255204.89","182555.88"
"3","A3","58","130498.57","177514.73"
"3","A3","59","260200.89","182730.1"
"3","A3","60","133259.83","177629.88"
"3","A3","61","266245.44","182975.38"
"3","A3","62","140409.39","177908.33"
"3","A3","63","274979.88","183240.72"
"3","A3","64","150249.31","177806.7"
"3","A3","65","288607.22","183489.27"
"3","A3","66","166292.84","177800.75"
"3","A3","67","307651.88","183282.31"
"3","A3","68","193361.45","177668.98"
"3","A3","69","343366.84","182857.05"
"3","A3","70","240504.02","177742.86"
"3","A3","71","396002.56","182724.6"
"3","A3","72","310667.06","177917.84"
"3","A3","73","458046.06","183229.58"
"3","A3","74","387059.84","177905.27"
"3","A3","75","516711.72","183151.53"
"3","A3","76","433499.94","177725.42"
"3","A3","77","581949.06","183157.67"
"3","A3","78","450905.22","177770.69"
"3","A3","79","637866.3","183662.2"
"3","A3","80","456186.9","178069.34"
"3","A3","81","649390.94","0.0"
"3","A3","82","654213.9","0.0"
"3","A3","83","653927.9","0.0"
"3","A3","84","653892.2","0.0"
"3","A3","85","652872.4","0.0"
"3","A3","86","654523.44","0.0"
"3","A3","87","650759.06","0.0"
"3","A3","88","649097.4","0.0"
"3","A3","89","646726.06","0.0"
"3","A3","90","644840.2","0.0"
"3","A3","91","642739.75","0.0"
"3","A3","92","638586.56","0.0"
"3","A3","93","636890.06","0.0"
"3","A3","94","636380.06","0.0"
"3","A3","95","636744.8","0.0"
"3","A3","96","634384.0","0.0"
"3","A3","97","632974.56","0.0"
"3","A3","98","630054.3","0.0"
"3","A3","99","627125.4","0.0"
"3","A3","100","626343.44","0.0"
"3","A3","101","626776.1","0.0"
"3","A3","102","622247.2","0.0"
"3","A3","103","620974.6","0.0"
"3","A3","104","618181.94","0.0"
"3","A3","105","614904.4","0.0"
"3","A3","106","614138.25","0.0"
"3","A3","107","612575.2","0.0"
"3","A3","108","607625.8","0.0"
"3","A3","109","606084.8","0.0"
"3","A3","110","604279.3","0.0"
"3","A3","111","601442.3","0.0"
"3","A3","112","597336.3","0.0"
"3","A3","113","595273.56","0.0"
"3","A3","114","593042.56","0.0"
"3","A3","115","588261.56","0.0"
"3","A3","116","585971.44","0.0"
"3","A3","117","581529.4","0.0"
"3","A3","118","578618.4","0.0"
"3","A3","119","572340.5","0.0"
"3","A3","120","569652.1","0.0"
"3","A3","121","565222.44","0.0"
"3","A3","122","559420.1","0.0"
"3","A3","123","554334.0","0.0"
"3","A3","124","551178.44","0.0"
