File Name,qPCR_eimeria_field_CEWE_JK_04032022_2.eds,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,
Operator,DEFAULT,,,,,,,,,,,,,,,,,,,,,,,
Barcode,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 1 System,,,,,,,,,,,,,,,,,,,,,,,
Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,2721220100840,,,,,,,,,,,,,,,,,,,,,,,
Heated Cover Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Block Serial Number,,,,,,,,,,,,,,,,,,,,,,,,
Run Start Date/Time,2022-03-04 12:03:55 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run End Date/Time,2022-03-04 01:22:04 PM UTC,,,,,,,,,,,,,,,,,,,,,,,
Run Duration,78 minutes 8 seconds,,,,,,,,,,,,,,,,,,,,,,,
Sample Volume,20.0,,,,,,,,,,,,,,,,,,,,,,,
Cover Temperature,105.0,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,
PCR Stage/Step Number,Stage 2 Step 3,,,,,,,,,,,,,,,,,,,,,,,
Melt Stage Number,3,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,CT,,,,,,,,,,,,,,,,,,,,,,,
Analysis Date/Time,2022-03-11 10:48:35 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
Software Name and Version,Design & Analysis Software v2.6.1,,,,,,,,,,,,,,,,,,,,,,,
Plugin Name and Version,"Primary Analysis v1.7.0, Relative Quantification v1.5.0",,,,,,,,,,,,,,,,,,,,,,,
Exported By,guest,,,,,,,,,,,,,,,,,,,,,,,
Exported On,2022-03-11 10:49:57 AM UTC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample,Target,Task,Reporter,Quencher,Amp Status,Amp Score,Curve Quality,Result Quality Issues,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4
49,E1,FALSE,V10_0,COI,UNKNOWN,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.09989161717,TRUE,3,39,88.13238525,75.81207275,82.20037842,71.85740662
50,E2,FALSE,V10_0,COI,UNKNOWN,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.09989161717,TRUE,3,39,79.00622559,85.39453125,64.86067963,92.39125061
51,E3,FALSE,V10_0,COI,UNKNOWN,SYBR,None,No Amp,0,,,Undetermined,0,,,TRUE,0.09989161717,TRUE,3,39,84.63401794,80.5272522,88.28448486,68.05484009
52,E4,FALSE,V10_1,COI,UNKNOWN,SYBR,None,Amp,1.472101373,,,30.50320369,0.989075781,30.02090029,0.4391680039,TRUE,0.09989161717,TRUE,3,26,74.44314575,,,
53,E5,FALSE,V10_1,COI,UNKNOWN,SYBR,None,Amp,1.456748575,,,29.91541768,0.9936510331,30.02090029,0.4391680039,TRUE,0.09989161717,TRUE,3,25,74.60569763,,,
54,E6,FALSE,V10_1,COI,UNKNOWN,SYBR,None,Amp,1.483508852,,,29.64407948,0.9882992189,30.02090029,0.4391680039,TRUE,0.09989161717,TRUE,3,25,74.60569763,,,
61,F1,FALSE,V10_2,COI,UNKNOWN,SYBR,None,Amp,1.457993715,,,26.33645073,0.9916208376,26.22141258,0.1118324986,TRUE,0.09989161717,TRUE,3,21,74.44314575,,,
62,F2,FALSE,V10_2,COI,UNKNOWN,SYBR,None,Amp,1.462835577,,,26.21469877,0.9960594946,26.22141258,0.1118324986,TRUE,0.09989161717,TRUE,3,22,74.44314575,,,
63,F3,FALSE,V10_2,COI,UNKNOWN,SYBR,None,Amp,1.467143854,,,26.11308823,0.9836476902,26.22141258,0.1118324986,TRUE,0.09989161717,TRUE,3,22,74.59524536,,,
64,F4,FALSE,V10_3,COI,UNKNOWN,SYBR,None,Amp,1.465876692,,,22.60157505,0.9938504814,22.52147015,0.1831289737,TRUE,0.09989161717,TRUE,3,18,74.1389389,,,
65,F5,FALSE,V10_3,COI,UNKNOWN,SYBR,None,Amp,1.466065458,,,22.65089816,0.9935021262,22.52147015,0.1831289737,TRUE,0.09989161717,TRUE,3,19,73.69239807,,,
66,F6,FALSE,V10_3,COI,UNKNOWN,SYBR,None,Amp,1.463662894,,,22.31193725,0.9918281369,22.52147015,0.1831289737,TRUE,0.09989161717,TRUE,3,17,74.14904785,,,
73,G1,FALSE,V10_4,COI,UNKNOWN,SYBR,None,Amp,1.477339416,,,18.28955357,0.9937235837,18.289991,0.07482071569,TRUE,0.09989161717,TRUE,3,14,74.44314575,,,
74,G2,FALSE,V10_4,COI,UNKNOWN,SYBR,None,Amp,1.474363785,,,18.36502947,0.9888587523,18.289991,0.07482071569,TRUE,0.09989161717,TRUE,3,15,74.44314575,,,
75,G3,FALSE,V10_4,COI,UNKNOWN,SYBR,None,Amp,1.489334168,,,18.21538995,0.995413776,18.289991,0.07482071569,TRUE,0.09989161717,TRUE,3,14,74.44314575,,,
76,G4,FALSE,V10_5,COI,UNKNOWN,SYBR,None,Amp,1.487837081,,,14.86411783,0.9930857189,14.47469055,0.338116902,TRUE,0.09989161717,TRUE,3,11,74.1389389,,,
77,G5,FALSE,V10_5,COI,UNKNOWN,SYBR,None,Amp,1.483079817,,,14.30411887,0.993354303,14.47469055,0.338116902,TRUE,0.09989161717,TRUE,3,10,74.14904785,,,
78,G6,FALSE,V10_5,COI,UNKNOWN,SYBR,None,Amp,1.483302754,,,14.25583494,0.9927895947,14.47469055,0.338116902,TRUE,0.09989161717,TRUE,3,10,74.3012619,,,
85,H1,FALSE,V10_6,COI,UNKNOWN,SYBR,None,Amp,1.417249812,,,11.43630912,0.9936308821,11.21641721,0.190545335,TRUE,0.09989161717,TRUE,3,8,74.1389389,,,
86,H2,FALSE,V10_6,COI,UNKNOWN,SYBR,None,Amp,1.43222546,,,11.09989968,0.9955430799,11.21641721,0.190545335,TRUE,0.09989161717,TRUE,3,7,74.1389389,,,
87,H3,FALSE,V10_6,COI,UNKNOWN,SYBR,None,Amp,1.431159821,,,11.11304284,0.9876696743,11.21641721,0.190545335,TRUE,0.09989161717,TRUE,3,7,74.1389389,,,
