"Mouse_ID","inf","Target","NE","HI","deltaCtMmE_tissue"
"AA_0531",TRUE,"IL-6",4.81833333333333,0,0.940000000000001
"AA_0531",TRUE,"IL-12b",2.345,0,0.940000000000001
"AA_0531",TRUE,"CXCR3",4.00166666666667,0,0.940000000000001
"AA_0531",TRUE,"IRG6",2.18833333333333,0,0.940000000000001
"AA_0532",FALSE,"IRG6",2.55166666666667,0.1,-8.52
"AA_0532",FALSE,"IL-6",5.135,0.1,-8.52
"AA_0532",FALSE,"GBP2",5.48166666666667,0.1,-8.52
"AA_0532",FALSE,"CXCR3",5.65166666666667,0.1,-8.52
"AA_0532",FALSE,"IL-12b",3.84166666666667,0.1,-8.52
"AA_0533",FALSE,"IRG6",2.02333333333333,0,-8.55
"AA_0533",FALSE,"CXCR3",4.65333333333333,0,-8.55
"AA_0533",FALSE,"GBP2",8.57333333333333,0,-8.55
"AA_0533",FALSE,"IL-6",5.33666666666667,0,-8.55
"AA_0533",FALSE,"IL-12b",4.97333333333333,0,-8.55
"AA_0534",FALSE,"IRG6",2.41,0.1,-7.49
"AA_0534",FALSE,"GBP2",9.38666666666667,0.1,-7.49
"AA_0534",FALSE,"CXCR3",5.53333333333333,0.1,-7.49
"AA_0534",FALSE,"IL-12b",4.87,0.1,-7.49
"AA_0534",FALSE,"IL-6",4.66666666666667,0.1,-7.49
"AA_0535",FALSE,"IL-12b",4.65166666666666,0.15,-9.2
"AA_0535",FALSE,"GBP2",7.59166666666667,0.15,-9.2
"AA_0535",FALSE,"IRG6",1.92833333333333,0.15,-9.2
"AA_0535",FALSE,"IL-6",5.40833333333333,0.15,-9.2
"AA_0535",FALSE,"CXCR3",5.275,0.15,-9.2
"AA_0536",FALSE,"IL-12b",3.53833333333333,0.1,-10.73
"AA_0536",FALSE,"IRG6",1.26166666666667,0.1,-10.73
"AA_0536",FALSE,"IL-6",4.24166666666667,0.1,-10.73
"AA_0536",FALSE,"GBP2",7.235,0.1,-10.73
"AA_0536",FALSE,"CXCR3",4.38166666666667,0.1,-10.73
"AA_0537",FALSE,"IRG6",1.945,0.05,-8.99
"AA_0537",FALSE,"CXCR3",4.775,0.05,-8.99
"AA_0537",FALSE,"IL-12b",3.76166666666667,0.05,-8.99
"AA_0537",FALSE,"GBP2",6.14166666666667,0.05,-8.99
"AA_0537",FALSE,"IL-6",4.34833333333334,0.05,-8.99
"AA_0538",FALSE,"CXCR3",3.855,0,-10.6
"AA_0538",FALSE,"IRG6",2.315,0,-10.6
"AA_0538",FALSE,"GBP2",6.845,0,-10.6
"AA_0538",FALSE,"IL-12b",4.41833333333333,0,-10.6
"AA_0538",FALSE,"IL-6",4.545,0,-10.6
"AA_0539",FALSE,"CXCR3",4.80833333333334,0.111111111,-8.27
"AA_0539",FALSE,"IL-12b",4.63166666666667,0.111111111,-8.27
"AA_0539",FALSE,"GBP2",7.93833333333334,0.111111111,-8.27
"AA_0539",FALSE,"IRG6",2.28166666666667,0.111111111,-8.27
"AA_0539",FALSE,"IL-6",5.00166666666667,0.111111111,-8.27
"AA_0540",FALSE,"IL-6",5.34666666666667,0,-7.98
"AA_0540",FALSE,"IL-12b",4.59666666666667,0,-7.98
"AA_0540",FALSE,"CXCR3",4.33666666666667,0,-7.98
"AA_0540",FALSE,"IRG6",2.80666666666667,0,-7.98
"AA_0540",FALSE,"GBP2",4.72333333333334,0,-7.98
"AA_0542",TRUE,"IL-6",8,0.882352941,-1.69
"AA_0542",TRUE,"IRG6",5.28666666666667,0.882352941,-1.69
"AA_0542",TRUE,"CXCR3",NA,0.882352941,-1.69
"AA_0542",TRUE,"IL-12b",NA,0.882352941,-1.69
"AA_0542",TRUE,"GBP2",4.04333333333333,0.882352941,-1.69
"AA_0543",FALSE,"IL-6",4.755,0,-8.91
"AA_0543",FALSE,"CXCR3",3.75166666666667,0,-8.91
"AA_0543",FALSE,"IRG6",2.625,0,-8.91
"AA_0543",FALSE,"GBP2",8.105,0,-8.91
"AA_0543",FALSE,"IL-12b",3.74166666666667,0,-8.91
"AA_0544",FALSE,"GBP2",4.45833333333333,0.894736842,-6.88
"AA_0544",FALSE,"CXCR3",4.73166666666667,0.894736842,-6.88
"AA_0544",FALSE,"IL-6",4.84833333333333,0.894736842,-6.88
"AA_0544",FALSE,"IL-12b",1.06166666666666,0.894736842,-6.88
"AA_0544",FALSE,"IRG6",1.895,0.894736842,-6.88
"AA_0546",FALSE,"GBP2",4.04333333333334,0.1,-8.05
"AA_0546",FALSE,"IL-6",4.47666666666667,0.1,-8.05
"AA_0546",FALSE,"IL-12b",4.09,0.1,-8.05
"AA_0546",FALSE,"CXCR3",4.51333333333334,0.1,-8.05
"AA_0546",FALSE,"IRG6",1.87333333333333,0.1,-8.05
"AA_0547",FALSE,"IL-6",7.08,0.043478261,-9.43
"AA_0547",FALSE,"IRG6",4.57,0.043478261,-9.43
"AA_0547",FALSE,"GBP2",8.50666666666666,0.043478261,-9.43
"AA_0547",FALSE,"CXCR3",5.94,0.043478261,-9.43
"AA_0547",FALSE,"IL-12b",6.62666666666667,0.043478261,-9.43
"AA_0548",FALSE,"IRG6",1.65333333333333,0.086956522,-8.65
"AA_0548",FALSE,"IL-6",4.93,0.086956522,-8.65
"AA_0548",FALSE,"CXCR3",4.09,0.086956522,-8.65
"AA_0548",FALSE,"GBP2",8.20666666666667,0.086956522,-8.65
"AA_0548",FALSE,"IL-12b",4.6,0.086956522,-8.65
"AA_0549",FALSE,"IRG6",2.34833333333333,0.04,-8.7
"AA_0549",FALSE,"GBP2",4.96833333333333,0.04,-8.7
"AA_0549",FALSE,"CXCR3",4.14166666666667,0.04,-8.7
"AA_0549",FALSE,"IL-6",7.35166666666667,0.04,-8.7
"AA_0549",FALSE,"IL-12b",3.87833333333333,0.04,-8.7
"AA_0550",FALSE,"IL-12b",4.16833333333333,0.05,-9.66
"AA_0550",FALSE,"GBP2",7.04166666666667,0.05,-9.66
"AA_0550",FALSE,"IRG6",2.28833333333333,0.05,-9.66
"AA_0550",FALSE,"IL-6",5.00166666666667,0.05,-9.66
"AA_0550",FALSE,"CXCR3",4.90166666666667,0.05,-9.66
"AA_0551",FALSE,"IL-12b",5.68666666666667,0,-9.85
"AA_0551",FALSE,"IL-6",4.51666666666667,0,-9.85
"AA_0551",FALSE,"IRG6",1.98666666666667,0,-9.85
"AA_0551",FALSE,"GBP2",4.89333333333333,0,-9.85
"AA_0551",FALSE,"CXCR3",4.58333333333334,0,-9.85
"AA_0552",FALSE,"IL-12b",4.88333333333333,0,-9.46
"AA_0552",FALSE,"IRG6",1.75333333333333,0,-9.46
"AA_0552",FALSE,"IL-6",4.70666666666667,0,-9.46
"AA_0552",FALSE,"CXCR3",4.07333333333333,0,-9.46
"AA_0552",FALSE,"GBP2",7.47666666666667,0,-9.46
"AA_0553",FALSE,"CXCR3",4.44333333333334,0.894736842,-10.21
"AA_0553",FALSE,"IRG6",1.08,0.894736842,-10.21
"AA_0553",FALSE,"IL-12b",4.90666666666667,0.894736842,-10.21
"AA_0553",FALSE,"GBP2",4.67333333333334,0.894736842,-10.21
"AA_0553",FALSE,"IL-6",4.37333333333333,0.894736842,-10.21
"AA_0554",TRUE,"CXCR3",6.19,0.88,1.25
"AA_0554",TRUE,"IL-12b",9.48,0.88,1.25
"AA_0554",TRUE,"GBP2",5.08,0.88,1.25
"AA_0554",TRUE,"IRG6",4.58,0.88,1.25
"AA_0554",TRUE,"IL-6",2.66333333333333,0.88,1.25
"AA_0555",TRUE,"IL-12b",NA,0.88,-4.85
"AA_0555",TRUE,"IL-6",5.75333333333333,0.88,-4.85
"AA_0555",TRUE,"CXCR3",8.35666666666667,0.88,-4.85
"AA_0555",TRUE,"IRG6",7.34666666666667,0.88,-4.85
"AA_0555",TRUE,"GBP2",5.85,0.88,-4.85
"AA_0556",TRUE,"IL-6",7.81333333333334,0.65,-6.83
"AA_0556",TRUE,"IL-12b",10.6933333333333,0.65,-6.83
"AA_0556",TRUE,"IRG6",6.26666666666667,0.65,-6.83
"AA_0556",TRUE,"CXCR3",10.08,0.65,-6.83
"AA_0556",TRUE,"GBP2",7.31333333333333,0.65,-6.83
"AA_0559",TRUE,"IL-6",4.80333333333333,0.857142857,1.41
"AA_0559",TRUE,"CXCR3",5.6,0.857142857,1.41
"AA_0559",TRUE,"IRG6",4.13333333333333,0.857142857,1.41
"AA_0559",TRUE,"IL-12b",8.46333333333333,0.857142857,1.41
"AA_0559",TRUE,"GBP2",4.53666666666667,0.857142857,1.41
"AA_0561",TRUE,"GBP2",6.25666666666667,0.869565217,1.31
"AA_0561",TRUE,"CXCR3",NA,0.869565217,1.31
"AA_0561",TRUE,"IL-6",6.73666666666666,0.869565217,1.31
"AA_0561",TRUE,"IL-12b",NA,0.869565217,1.31
"AA_0561",TRUE,"IRG6",NA,0.869565217,1.31
"AA_0569",TRUE,"GBP2",7.735,0,-5.74
"AA_0569",TRUE,"IL-12b",11.9616666666667,0,-5.74
"AA_0569",TRUE,"IL-6",9.22833333333333,0,-5.74
"AA_0569",TRUE,"CXCR3",9.445,0,-5.74
"AA_0569",TRUE,"IRG6",6.615,0,-5.74
"AA_0572",TRUE,"GBP2",7.945,0.04,-7.71
"AA_0572",TRUE,"IL-6",8.62166666666667,0.04,-7.71
"AA_0572",TRUE,"IL-12b",13.4083333333333,0.04,-7.71
"AA_0572",TRUE,"IRG6",9.29500000000001,0.04,-7.71
"AA_0572",TRUE,"CXCR3",8.875,0.04,-7.71
"AA_0579",TRUE,"IRG6",NA,0.95,-0.100000000000001
"AA_0579",TRUE,"IL-6",NA,0.95,-0.100000000000001
"AA_0579",TRUE,"GBP2",NA,0.95,-0.100000000000001
"AA_0579",TRUE,"CXCR3",NA,0.95,-0.100000000000001
"AA_0579",TRUE,"IL-12b",NA,0.95,-0.100000000000001
"AA_0591",TRUE,"IRG6",NA,0.611111111,3.25
"AA_0591",TRUE,"GBP2",2.13666666666667,0.611111111,3.25
"AA_0591",TRUE,"CXCR3",NA,0.611111111,3.25
"AA_0591",TRUE,"IL-6",NA,0.611111111,3.25
"AA_0591",TRUE,"IL-12b",NA,0.611111111,3.25
"AA_0620",FALSE,"GBP2",8.56666666666667,0.16,-7.81
"AA_0620",FALSE,"IL-12b",13.6733333333333,0.16,-7.81
"AA_0620",FALSE,"IRG6",7.85,0.16,-7.81
"AA_0620",FALSE,"IL-6",7.49333333333333,0.16,-7.81
"AA_0620",FALSE,"CXCR3",8.64,0.16,-7.81
"AA_0623",TRUE,"IL-12b",13,0,-6.78
"AA_0623",TRUE,"GBP2",9.33666666666667,0,-6.78
"AA_0623",TRUE,"IL-6",10.5666666666667,0,-6.78
"AA_0623",TRUE,"IRG6",7.56,0,-6.78
"AA_0623",TRUE,"CXCR3",11.1633333333333,0,-6.78
"AA_0631",TRUE,"IL-12b",NA,0.777777778,-7.74
"AA_0631",TRUE,"IRG6",8.755,0.777777778,-7.74
"AA_0631",TRUE,"IL-6",12.735,0.777777778,-7.74
"AA_0631",TRUE,"GBP2",7.94166666666666,0.777777778,-7.74
"AA_0631",TRUE,"CXCR3",NA,0.777777778,-7.74
"AA_0635",TRUE,"CXCR3",9.98333333333333,0.736842105,-5.82
"AA_0635",TRUE,"IRG6",6.71,0.736842105,-5.82
"AA_0635",TRUE,"IL-12b",11.8166666666667,0.736842105,-5.82
"AA_0635",TRUE,"GBP2",7.26666666666667,0.736842105,-5.82
